x,y,z,z2
4.38,0.0,0.007849,-0.013901
6.65,0.0,0.008662,-0.013137
8.93,0.0,0.009063,-0.012564
11.03,0.0,0.007701,-0.01399
13.3,0.0,0.005187,-0.016677
15.58,0.0,0.000421,-0.021245
17.68,0.0,-0.005401,-0.027025
19.95,0.0,-0.011473,-0.032998
22.23,0.0,-0.018014,-0.039363
24.33,0.0,-0.024113,-0.045654
26.6,0.0,-0.030518,-0.051689
28.7,0.0,-0.036085,-0.057283
30.98,0.0,-0.041372,-0.062585
33.25,0.0,-0.04594,-0.067108
35.52,0.0,-0.050358,-0.071427
37.62,0.0,-0.055413,-0.076387
39.9,0.0,-0.060407,-0.081153
42.0,0.0,-0.066131,-0.086941
44.27,0.0,-0.071821,-0.092518
46.55,0.0,-0.077724,-0.098408
48.82,0.0,-0.083861,-0.104421
50.92,0.0,-0.089498,-0.110038
53.2,0.0,-0.095694,-0.11623
55.47,0.0,-0.101781,-0.122123
57.57,0.0,-0.108476,-0.128707
59.85,0.0,-0.11464,-0.134822
62.12,0.0,-0.121489,-0.141652
64.22,0.0,-0.128395,-0.148423
66.67,0.0,-0.137108,-0.15704
68.95,0.0,-0.146245,-0.166054
71.22,0.0,-0.156319,-0.176023
73.5,0.0,-0.16797,-0.187724
75.6,0.0,-0.180167,-0.199526
77.87,0.0,-0.193257,-0.21269
80.15,0.0,-0.207021,-0.226214
82.25,0.0,-0.221264,-0.240367
84.52,0.0,-0.23594,-0.254779
86.8,0.0,-0.251722,-0.270432
89.07,0.0,-0.269427,-0.287887
91.17,0.0,-0.288401,-0.306621
93.45,0.0,-0.308115,-0.326109
95.55,0.0,-0.327138,-0.34496
97.82,0.0,-0.342868,-0.360407
100.1,0.0,-0.353796,-0.371411
102.2,0.0,-0.36061,-0.377958
104.47,0.0,-0.363207,-0.380764
106.57,0.0,-0.359671,-0.377147
108.85,0.0,-0.349067,-0.366876
111.12,0.0,-0.33049,-0.348463
113.22,0.0,-0.304658,-0.322868
115.5,0.0,-0.273799,-0.292363
117.77,0.0,-0.240586,-0.259566
119.87,0.0,-0.206633,-0.225863
122.32,0.0,-0.170533,-0.190315
124.42,0.0,-0.141076,-0.161113
126.7,0.0,-0.115989,-0.136334
128.97,0.0,-0.096073,-0.116566
131.07,0.0,-0.08285,-0.103593
133.35,0.0,-0.076778,-0.097576
135.62,0.0,-0.078596,-0.09928
137.72,0.0,-0.086932,-0.107619
140.0,0.0,-0.101449,-0.121772
142.28,0.0,-0.121375,-0.141578
144.38,0.0,-0.143925,-0.163805
146.65,0.0,-0.170823,-0.190228
148.93,0.0,-0.20183,-0.22086
151.03,0.0,-0.235955,-0.254594
153.3,0.0,-0.272979,-0.291079
155.58,0.0,-0.313931,-0.331704
157.85,0.0,-0.354322,-0.371581
159.95,0.0,-0.393586,-0.410478
162.23,0.0,-0.423894,-0.440419
164.5,0.0,-0.441134,-0.457434
166.6,0.0,-0.442354,-0.458691
168.88,0.0,-0.425182,-0.441722
171.15,0.0,-0.388531,-0.405826
173.25,0.0,-0.33529,-0.353253
175.53,0.0,-0.268728,-0.287437
177.8,0.0,-0.191103,-0.21078
179.9,0.0,-0.107394,-0.1281
182.18,0.0,-0.021483,-0.04314
184.45,0.0,0.065705,0.042692
186.55,0.0,0.148782,0.124823
188.83,0.0,0.224959,0.200061
191.1,0.0,0.29067,0.265097
193.38,0.0,0.345473,0.319555
195.48,0.0,0.389466,0.362873
197.75,0.0,0.421542,0.394549
200.03,0.0,0.442241,0.415042
202.13,0.0,0.452177,0.424863
204.4,0.0,0.452931,0.425436
206.68,0.0,0.445649,0.418591
208.95,0.0,0.432814,0.405757
211.23,0.0,0.413877,0.386906
213.5,0.0,0.392586,0.365975
215.6,0.0,0.368837,0.342691
217.88,0.0,0.344068,0.318172
219.98,0.0,0.318452,0.292885
222.25,0.0,0.293298,0.268169
224.35,0.0,0.268804,0.243911
226.63,0.0,0.246324,0.221508
228.9,0.0,0.225449,0.201179
231.18,0.0,0.20625,0.182202
233.28,0.0,0.187833,0.163979
235.55,0.0,0.170526,0.146934
237.83,0.0,0.154722,0.131194
240.1,0.0,0.139087,0.115939
242.2,0.0,0.124565,0.101493
244.48,0.0,0.110242,0.087297
246.75,0.0,0.096077,0.073434
249.03,0.0,0.081851,0.059235
251.3,0.0,0.068406,0.045893
253.4,0.0,0.056265,0.034007
255.68,0.0,0.044941,0.022849
257.95,0.0,0.035058,0.013055
260.05,0.0,0.026004,0.004266
262.33,0.0,0.017929,-0.003996
264.6,0.0,0.010736,-0.010959
266.7,0.0,0.005212,-0.016347
268.98,0.0,0.000236,-0.021344
271.08,0.0,-0.004073,-0.025796
273.35,0.0,-0.00757,-0.029049
275.63,0.0,-0.010632,-0.032092
277.73,0.0,-0.013319,-0.034782
280.0,0.0,-0.015574,-0.036942
282.28,0.0,-0.018205,-0.039566
284.55,0.0,-0.021292,-0.042579
286.83,0.0,-0.024985,-0.046322
289.1,0.0,-0.029117,-0.050441
291.55,0.0,-0.034046,-0.055386
293.83,0.0,-0.038513,-0.059606
295.93,0.0,-0.04285,-0.063962
298.2,0.0,-0.04659,-0.067635
300.83,0.0,-0.051871,-0.07294
302.93,0.0,-0.057952,-0.078768
