x,y,z
0.95,0.0,0.027528
2.35,0.0,0.027094
3.45,0.0,0.027183
4.45,0.0,0.027895
5.55,0.0,0.028936
7.3,0.0,0.031592
8.35,0.0,0.033499
9.4,0.0,0.035301
10.4,0.0,0.0371
11.4,0.0,0.039007
12.45,0.0,0.040588
13.45,0.0,0.041989
14.5,0.0,0.043129
15.55,0.0,0.043674
16.6,0.0,0.043816
17.6,0.0,0.043906
18.65,0.0,0.04385
19.7,0.0,0.043477
20.7,0.0,0.043219
21.75,0.0,0.042294
22.75,0.0,0.04178
23.75,0.0,0.041857
24.85,0.0,0.042174
25.85,0.0,0.042753
26.9,0.0,0.043462
27.9,0.0,0.043939
28.95,0.0,0.044244
29.95,0.0,0.044371
31.0,0.0,0.04462
32.0,0.0,0.04454
33.1,0.0,0.045076
34.35,0.0,0.045769
35.45,0.0,0.046404
36.5,0.0,0.046792
37.55,0.0,0.047642
38.75,0.0,0.048326
40.05,0.0,0.049146
41.15,0.0,0.049503
42.35,0.0,0.04978
43.5,0.0,0.050258
44.9,0.0,0.049756
45.95,0.0,0.049454
47.15,0.0,0.049506
48.25,0.0,0.049158
49.65,0.0,0.04881
50.65,0.0,0.048699
51.95,0.0,0.048308
57.15,0.0,0.04918
58.6,0.0,0.04962
59.85,0.0,0.049402
60.8,0.0,0.049522
62.05,0.0,0.049432
63.2,0.0,0.049149
64.65,0.0,0.048021
66.05,0.0,0.046056
67.1,0.0,0.044417
68.1,0.0,0.042686
69.2,0.0,0.041299
70.45,0.0,0.039636
71.6,0.0,0.037732
72.9,0.0,0.03527
74.3,0.0,0.032932
75.35,0.0,0.031342
76.4,0.0,0.030692
77.45,0.0,0.030224
78.6,0.0,0.030665
80.15,0.0,0.030625
81.2,0.0,0.030138
82.2,0.0,0.0297
83.25,0.0,0.029386
84.35,0.0,0.029901
85.45,0.0,0.031666
86.45,0.0,0.034097
87.5,0.0,0.037128
88.95,0.0,0.040683
90.25,0.0,0.041524
91.55,0.0,0.040705
92.65,0.0,0.039029
93.9,0.0,0.036786
95.0,0.0,0.034186
96.4,0.0,0.032002
97.8,0.0,0.029753
98.8,0.0,0.028554
99.9,0.0,0.027578
100.85,0.0,0.027165
101.95,0.0,0.026777
102.95,0.0,0.026469
104.0,0.0,0.026863
105.0,0.0,0.027858
106.05,0.0,0.029328
107.05,0.0,0.031435
108.1,0.0,0.033992
109.15,0.0,0.036641
110.15,0.0,0.039753
111.2,0.0,0.04288
112.25,0.0,0.045735
113.3,0.0,0.048653
114.35,0.0,0.05035
115.4,0.0,0.05243
116.4,0.0,0.054124
117.45,0.0,0.055239
118.45,0.0,0.055837
119.5,0.0,0.056062
120.5,0.0,0.055526
121.55,0.0,0.054543
122.6,0.0,0.052414
123.6,0.0,0.049808
124.7,0.0,0.047202
125.85,0.0,0.044201
126.85,0.0,0.042122
127.85,0.0,0.040569
128.95,0.0,0.039565
129.95,0.0,0.039916
131.0,0.0,0.040856
132.1,0.0,0.042254
133.05,0.0,0.044312
134.1,0.0,0.04661
135.15,0.0,0.049405
136.15,0.0,0.051068
137.25,0.0,0.053807
138.3,0.0,0.056592
139.3,0.0,0.060677
140.5,0.0,0.065973
141.7,0.0,0.0734
142.7,0.0,0.080366
143.75,0.0,0.08901
144.8,0.0,0.097732
145.85,0.0,0.108456
146.9,0.0,0.119867
147.95,0.0,0.131207
148.95,0.0,0.142048
150.0,0.0,0.152334
151.65,0.0,0.165631
152.7,0.0,0.170615
153.7,0.0,0.172648
154.8,0.0,0.17181
155.9,0.0,0.16555
157.1,0.0,0.155202
158.1,0.0,0.140926
159.1,0.0,0.122762
160.3,0.0,0.096906
161.3,0.0,0.072726
162.4,0.0,0.046718
163.45,0.0,0.027984
164.45,0.0,0.036102
165.5,0.0,0.061456
166.65,0.0,0.088782
167.7,0.0,0.114577
168.8,0.0,0.137032
169.85,0.0,0.153773
170.9,0.0,0.165948
171.95,0.0,0.173884
173.1,0.0,0.178055
174.1,0.0,0.177762
175.15,0.0,0.174318
176.15,0.0,0.168486
177.15,0.0,0.160375
178.2,0.0,0.150991
179.2,0.0,0.140902
180.25,0.0,0.12999
181.3,0.0,0.1191
182.8,0.0,0.103317
184.1,0.0,0.090649
185.3,0.0,0.078995
187.15,0.0,0.064694
188.45,0.0,0.055344
189.75,0.0,0.047464
0.15,9.0,0.031139
0.85,9.0,0.030739
1.95,9.0,0.030295
3.0,9.0,0.030637
4.05,9.0,0.031475
5.3,9.0,0.033299
6.35,9.0,0.035372
7.35,9.0,0.038055
8.4,9.0,0.040994
9.6,9.0,0.0443
10.6,9.0,0.047088
11.8,9.0,0.049888
12.85,9.0,0.051845
14.0,9.0,0.053101
15.05,9.0,0.053336
16.05,9.0,0.052322
17.1,9.0,0.051102
18.15,9.0,0.049941
19.15,9.0,0.048662
20.2,9.0,0.047593
21.3,9.0,0.046533
22.3,9.0,0.045914
23.35,9.0,0.046053
24.4,9.0,0.046478
25.4,9.0,0.046795
26.4,9.0,0.04665
27.5,9.0,0.04621
28.5,9.0,0.045107
29.5,9.0,0.043585
30.55,9.0,0.04178
31.6,9.0,0.040267
32.65,9.0,0.038788
33.7,9.0,0.037886
34.7,9.0,0.036555
35.75,9.0,0.035495
36.75,9.0,0.034451
37.75,9.0,0.033653
38.8,9.0,0.032606
39.8,9.0,0.03121
40.85,9.0,0.029768
41.85,9.0,0.028564
42.9,9.0,0.026835
43.9,9.0,0.02572
44.95,9.0,0.024211
46.05,9.0,0.023089
47.05,9.0,0.022353
48.1,9.0,0.021959
49.2,9.0,0.021182
50.25,9.0,0.020686
51.3,9.0,0.020637
52.35,9.0,0.020729
53.4,9.0,0.020264
54.45,9.0,0.02028
55.45,9.0,0.020578
56.5,9.0,0.021629
57.5,9.0,0.023018
58.6,9.0,0.025141
59.65,9.0,0.027692
60.75,9.0,0.031204
61.85,9.0,0.034851
62.9,9.0,0.038601
63.95,9.0,0.041731
64.95,9.0,0.044137
65.95,9.0,0.045585
67.05,9.0,0.046795
68.1,9.0,0.047057
69.2,9.0,0.046478
70.25,9.0,0.045227
71.5,9.0,0.043471
72.55,9.0,0.041715
73.55,9.0,0.040856
74.6,9.0,0.039482
75.7,9.0,0.038422
76.7,9.0,0.037137
77.75,9.0,0.035495
78.75,9.0,0.034001
79.75,9.0,0.033006
80.8,9.0,0.032707
81.85,9.0,0.03215
82.85,9.0,0.032519
83.95,9.0,0.033758
85.0,9.0,0.034596
86.05,9.0,0.036586
87.1,9.0,0.039519
88.2,9.0,0.04336
89.25,9.0,0.046792
90.25,9.0,0.049429
91.35,9.0,0.050224
92.35,9.0,0.050005
93.35,9.0,0.048869
94.35,9.0,0.046764
95.4,9.0,0.044275
96.4,9.0,0.04206
97.45,9.0,0.039975
98.5,9.0,0.038397
99.5,9.0,0.037193
100.5,9.0,0.035951
101.55,9.0,0.034636
102.6,9.0,0.033413
103.65,9.0,0.031931
104.7,9.0,0.030597
105.7,9.0,0.029275
106.8,9.0,0.028289
107.8,9.0,0.027602
108.8,9.0,0.026786
109.85,9.0,0.026185
110.85,9.0,0.02527
111.85,9.0,0.024445
112.9,9.0,0.024081
114.1,9.0,0.023326
115.1,9.0,0.023018
116.15,9.0,0.02271
117.15,9.0,0.02259
118.3,9.0,0.021863
119.3,9.0,0.021992
120.3,9.0,0.021814
121.35,9.0,0.02226
122.7,9.0,0.023015
123.7,9.0,0.023825
124.8,9.0,0.024821
125.85,9.0,0.026278
126.9,9.0,0.028222
127.9,9.0,0.030748
129.0,9.0,0.033822
130.05,9.0,0.036216
131.35,9.0,0.040363
132.35,9.0,0.043755
133.4,9.0,0.047066
134.4,9.0,0.050024
135.45,9.0,0.05397
136.5,9.0,0.057713
137.55,9.0,0.063262
138.55,9.0,0.069174
139.6,9.0,0.076952
140.7,9.0,0.08617
141.7,9.0,0.09657
142.75,9.0,0.109685
143.75,9.0,0.124642
144.85,9.0,0.142199
145.85,9.0,0.161314
146.9,9.0,0.182088
147.9,9.0,0.203961
148.95,9.0,0.226299
150.0,9.0,0.246709
150.95,9.0,0.263874
152.05,9.0,0.278221
153.05,9.0,0.28759
154.1,9.0,0.290689
155.15,9.0,0.286521
156.15,9.0,0.275251
157.15,9.0,0.256
158.2,9.0,0.228656
159.2,9.0,0.192824
160.25,9.0,0.151998
161.25,9.0,0.101533
162.3,9.0,0.055501
163.3,9.0,0.032316
164.3,9.0,0.069808
165.35,9.0,0.123739
166.35,9.0,0.171512
167.35,9.0,0.216564
168.4,9.0,0.257223
169.4,9.0,0.2882
170.4,9.0,0.312303
171.45,9.0,0.32905
172.5,9.0,0.337047
173.5,9.0,0.337331
174.6,9.0,0.329986
175.65,9.0,0.318576
176.65,9.0,0.301986
177.7,9.0,0.282248
178.8,9.0,0.260421
179.85,9.0,0.23868
180.9,9.0,0.216287
181.95,9.0,0.195033
182.85,9.0,0.174568
184.05,9.0,0.155652
185.05,9.0,0.138634
186.05,9.0,0.122655
187.05,9.0,0.108018
188.1,9.0,0.094978
189.15,9.0,0.083801
0.15,18.05,0.036678
0.9,18.05,0.036678
2.0,18.05,0.037159
3.0,18.05,0.038588
4.0,18.05,0.039959
5.1,18.05,0.042337
6.1,18.05,0.044931
7.15,18.05,0.04771
8.15,18.05,0.050276
9.2,18.05,0.053678
10.2,18.05,0.056253
11.3,18.05,0.059127
12.3,18.05,0.061866
13.65,18.05,0.065729
14.65,18.05,0.069214
15.75,18.05,0.073933
16.75,18.05,0.079457
