x,y,z,z2
7.0,0.0,0.196857,0.172562
10.5,0.0,0.197011,0.17279
14.0,0.0,0.19694,0.172479
17.68,0.0,0.197408,0.172873
21.35,0.0,0.197793,0.173043
24.85,0.0,0.198074,0.173416
28.53,0.0,0.198896,0.174709
32.2,0.0,0.199223,0.173773
35.88,0.0,0.199749,0.174925
39.37,0.0,0.199971,0.175492
42.87,0.0,0.200384,0.1756
46.55,0.0,0.200356,0.175772
49.87,0.0,0.200289,0.175939
53.55,0.0,0.199984,0.175714
57.22,0.0,0.199521,0.175255
60.72,0.0,0.199509,0.175363
64.22,0.0,0.199996,0.175594
67.72,0.0,0.200646,0.176355
71.4,0.0,0.201376,0.177251
74.9,0.0,0.202196,0.178049
78.4,0.0,0.203144,0.178794
82.07,0.0,0.204509,0.179599
85.57,0.0,0.205634,0.181127
89.07,0.0,0.207103,0.182519
92.75,0.0,0.208548,0.183477
96.25,0.0,0.209574,0.184885
99.92,0.0,0.210196,0.185578
103.42,0.0,0.210128,0.185067
106.92,0.0,0.209521,0.184669
110.42,0.0,0.208465,0.183708
113.92,0.0,0.20726,0.182319
117.6,0.0,0.205945,0.181234
121.1,0.0,0.204833,0.180002
124.77,0.0,0.203927,0.179303
128.27,0.0,0.203388,0.178761
131.77,0.0,0.203086,0.178687
135.27,0.0,0.202605,0.178252
138.77,0.0,0.202738,0.178265
142.45,0.0,0.203037,0.178545
145.95,0.0,0.203077,0.178754
149.45,0.0,0.202969,0.178782
152.95,0.0,0.202781,0.178348
156.63,0.0,0.202297,0.178058
160.13,0.0,0.201512,0.177106
163.8,0.0,0.199882,0.175812
167.3,0.0,0.197765,0.173644
170.8,0.0,0.195575,0.171253
174.3,0.0,0.192682,0.168459
177.98,0.0,0.189977,0.165738
181.48,0.0,0.187177,0.162957
184.98,0.0,0.184642,0.160686
188.48,0.0,0.182913,0.158816
192.15,0.0,0.180976,0.157082
195.65,0.0,0.179676,0.155643
199.15,0.0,0.178788,0.154941
201.43,0.0,0.178286,0.154358
206.15,0.0,0.178782,0.154827
209.83,0.0,0.179423,0.155446
213.33,0.0,0.180683,0.156539
216.48,0.0,0.182488,0.158369
220.33,0.0,0.184669,0.160132
224.0,0.0,0.187057,0.162923
227.5,0.0,0.190125,0.16572
231.0,0.0,0.192886,0.168644
234.5,0.0,0.196139,0.171487
238.18,0.0,0.199072,0.174592
241.68,0.0,0.202611,0.177938
245.35,0.0,0.205877,0.181145
248.85,0.0,0.209275,0.184882
252.35,0.0,0.212799,0.188172
255.85,0.0,0.216687,0.19202
259.35,0.0,0.2208,0.195862
263.03,0.0,0.224053,0.198918
