x,y,z,z2
7.17,0.0,-0.141026,-0.157862
10.68,0.0,-0.140601,-0.158066
14.35,0.0,-0.140583,-0.157936
17.85,0.0,-0.14102,-0.158285
22.05,0.0,-0.141877,-0.158667
25.55,0.0,-0.142721,-0.159341
29.05,0.0,-0.143337,-0.159945
32.73,0.0,-0.144104,-0.160786
36.4,0.0,-0.145007,-0.161969
39.9,0.0,-0.146106,-0.162782
43.4,0.0,-0.147397,-0.16419
46.9,0.0,-0.148602,-0.165721
50.57,0.0,-0.149973,-0.166815
54.07,0.0,-0.15082,-0.167903
57.57,0.0,-0.151205,-0.168146
61.07,0.0,-0.15167,-0.168448
64.57,0.0,-0.152524,-0.169175
68.07,0.0,-0.153294,-0.170195
71.75,0.0,-0.154702,-0.171763
75.25,0.0,-0.156941,-0.173731
78.75,0.0,-0.159049,-0.175875
82.42,0.0,-0.160524,-0.177376
85.92,0.0,-0.16228,-0.178901
89.42,0.0,-0.163414,-0.179994
92.92,0.0,-0.164618,-0.1807
96.6,0.0,-0.16558,-0.181852
100.27,0.0,-0.166251,-0.182468
103.77,0.0,-0.166436,-0.182899
107.27,0.0,-0.166827,-0.183084
110.77,0.0,-0.167225,-0.183389
114.27,0.0,-0.167188,-0.1835
117.77,0.0,-0.167314,-0.18371
121.45,0.0,-0.166766,-0.183522
124.95,0.0,-0.166553,-0.183171
128.62,0.0,-0.165669,-0.182542
132.47,0.0,-0.165111,-0.181695
135.97,0.0,-0.164236,-0.181214
139.47,0.0,-0.163429,-0.180228
142.97,0.0,-0.162628,-0.179187
146.65,0.0,-0.161895,-0.177946
150.15,0.0,-0.160866,-0.177459
153.65,0.0,-0.16058,-0.177326
157.15,0.0,-0.160127,-0.176405
160.83,0.0,-0.159403,-0.175903
164.33,0.0,-0.158497,-0.174837
168.0,0.0,-0.157154,-0.17383
171.5,0.0,-0.156217,-0.172829
175.0,0.0,-0.155401,-0.172049
178.5,0.0,-0.15428,-0.171291
182.0,0.0,-0.153784,-0.170721
185.5,0.0,-0.153084,-0.170155
188.83,0.0,-0.152265,-0.169514
192.68,0.0,-0.151402,-0.16854
196.18,0.0,-0.150792,-0.16789
199.85,0.0,-0.149569,-0.166396
203.35,0.0,-0.148423,-0.165423
206.85,0.0,-0.147216,-0.164175
210.53,0.0,-0.145912,-0.162949
214.03,0.0,-0.144696,-0.161618
217.53,0.0,-0.14359,-0.160346
221.03,0.0,-0.142191,-0.159218
224.53,0.0,-0.141171,-0.158577
228.03,0.0,-0.140635,-0.157613
231.53,0.0,-0.140022,-0.157394
235.03,0.0,-0.139994,-0.15671
238.7,0.0,-0.140438,-0.157326
242.2,0.0,-0.140376,-0.156997
245.7,0.0,-0.140068,-0.15663
249.38,0.0,-0.139406,-0.156301
252.88,0.0,-0.138744,-0.155712
256.38,0.0,-0.137644,-0.154948
260.05,0.0,-0.136572,-0.15366
263.55,0.0,-0.135342,-0.152271
267.05,0.0,-0.133152,-0.15053
270.55,0.0,-0.130641,-0.147887
274.23,0.0,-0.127819,-0.145164
277.73,0.0,-0.124997,-0.142681
281.05,0.0,-0.121892,-0.139763
284.73,0.0,-0.119434,-0.137447
288.4,0.0,-0.116741,-0.134751
291.9,0.0,-0.114424,-0.132095
295.58,0.0,-0.111985,-0.129868
299.08,0.0,-0.11005,-0.127872
302.58,0.0,-0.108201,-0.125829
306.08,0.0,-0.106566,-0.124283
309.58,0.0,-0.105336,-0.123383
313.08,0.0,-0.10395,-0.121667
316.75,0.0,-0.102702,-0.12013
320.25,0.0,-0.101784,-0.119434
323.75,0.0,-0.10123,-0.119012
