x,y,z,z2
0.0,3.67,-0.125213,-0.144387
0.0,7.17,-0.126864,-0.143737
0.0,10.85,-0.128947,-0.145518
0.0,14.7,-0.131766,-0.148885
0.0,18.2,-0.13476,-0.151261
0.0,21.7,-0.136618,-0.153454
0.0,25.2,-0.138734,-0.155715
0.0,28.88,-0.140789,-0.158281
0.0,32.38,-0.143663,-0.160444
0.0,35.88,-0.150031,-0.167037
0.0,39.55,-0.162339,-0.179258
0.0,43.05,-0.179859,-0.195749
0.0,46.72,-0.198734,-0.214039
0.0,50.22,-0.216073,-0.230817
0.0,53.72,-0.229637,-0.244199
0.0,57.4,-0.238959,-0.253263
0.0,60.9,-0.242767,-0.25724
0.0,64.4,-0.240678,-0.255379
0.0,68.07,-0.233722,-0.248343
0.0,71.22,-0.223808,-0.239002
0.0,75.42,-0.210789,-0.227212
0.0,78.92,-0.198337,-0.214621
0.0,82.42,-0.185687,-0.202819
0.0,86.1,-0.17435,-0.191322
0.0,89.6,-0.164625,-0.181833
0.0,93.1,-0.156467,-0.173115
0.0,96.6,-0.149933,-0.167443
0.0,100.27,-0.144766,-0.16208
0.0,103.77,-0.141652,-0.15883
0.0,107.27,-0.14525,-0.162179
0.0,110.77,-0.158827,-0.174782
0.0,114.27,-0.180992,-0.196855
0.0,117.77,-0.208451,-0.223297
0.0,121.45,-0.237727,-0.251618
0.0,124.95,-0.267215,-0.280299
0.0,128.45,-0.294658,-0.307449
0.0,132.12,-0.319782,-0.33151
0.0,135.62,-0.341587,-0.35289
0.0,139.3,-0.360644,-0.37187
0.0,142.8,-0.376242,-0.38773
0.0,146.3,-0.387985,-0.398833
0.0,149.97,-0.397431,-0.409082
0.0,153.48,-0.403876,-0.41492
0.0,157.15,-0.409036,-0.420391
0.0,160.65,-0.412326,-0.423786
0.0,164.15,-0.414233,-0.425502
0.0,167.83,-0.415219,-0.425977
0.0,171.33,-0.415776,-0.426744
0.0,175.0,-0.416337,-0.426799
0.0,178.5,-0.41704,-0.427807
0.0,182.0,-0.41704,-0.427856
0.0,185.5,-0.416614,-0.427268
0.0,189.18,-0.414332,-0.425077
0.0,192.68,-0.410404,-0.421463
0.0,196.18,-0.404085,-0.415345
0.0,199.85,-0.39744,-0.408842
0.0,203.18,-0.391448,-0.402911
0.0,206.85,-0.386294,-0.398124
0.0,210.53,-0.382218,-0.394014
0.0,213.85,-0.378407,-0.390484
0.0,217.53,-0.374218,-0.38642
0.0,221.03,-0.370903,-0.382948
0.0,224.7,-0.36886,-0.381223
0.0,228.2,-0.368506,-0.380659
0.0,231.7,-0.369113,-0.381353
0.0,235.2,-0.370395,-0.382523
0.0,238.88,-0.369895,-0.381698
0.0,242.38,-0.365475,-0.377878
0.0,245.88,-0.354221,-0.366953
0.0,249.55,-0.337194,-0.349812
0.0,253.05,-0.318586,-0.332157
0.0,256.55,-0.300697,-0.31455
0.0,260.23,-0.286544,-0.300564
0.0,263.73,-0.278133,-0.291963
0.0,267.23,-0.277277,-0.291075
0.0,270.9,-0.282748,-0.296088
0.0,274.4,-0.29252,-0.305977
0.0,277.9,-0.304609,-0.317949
0.0,281.58,-0.317021,-0.329729
0.0,285.08,-0.328297,-0.341146
0.0,288.58,-0.338192,-0.350749
0.0,292.08,-0.346605,-0.359054
0.0,295.58,-0.353269,-0.365767
0.0,299.08,-0.359612,-0.371775
0.0,302.75,-0.365299,-0.377354
0.0,306.25,-0.369991,-0.381685
0.0,309.75,-0.374504,-0.386457
0.0,313.25,-0.379279,-0.39057
0.0,317.1,-0.383303,-0.394634
0.0,320.6,-0.387628,-0.398645
0.0,324.28,-0.390632,-0.40179
0.0,327.6,-0.392924,-0.404218
0.0,331.28,-0.395182,-0.406168
0.0,334.95,-0.396938,-0.408358
0.0,338.45,-0.398401,-0.409612
0.0,341.95,-0.399951,-0.41143
0.0,345.45,-0.400813,-0.412206
0.0,348.95,-0.401682,-0.413124
0.0,352.63,-0.401581,-0.413078
0.0,355.95,-0.401075,-0.412631
0.0,359.63,-0.40073,-0.412437
0.0,363.13,-0.400157,-0.411744
0.0,366.63,-0.398706,-0.410096
0.0,370.13,-0.396895,-0.408438
0.0,373.8,-0.394501,-0.406155
0.0,377.48,-0.39146,-0.403293
0.0,380.98,-0.388605,-0.400404
0.0,384.48,-0.385854,-0.397656
0.0,387.8,-0.383047,-0.395277
0.0,391.48,-0.381115,-0.392662
0.0,394.98,-0.378444,-0.390259
0.0,398.65,-0.376186,-0.387736
0.0,401.98,-0.37415,-0.3859
0.0,405.65,-0.372277,-0.384227
0.0,409.15,-0.370453,-0.3824
0.0,412.83,-0.368811,-0.38069
0.0,416.33,-0.367474,-0.379162
0.0,419.83,-0.366553,-0.378266
0.0,423.33,-0.365844,-0.37764
0.0,426.83,-0.365894,-0.37768
0.0,430.33,-0.366531,-0.378682
0.0,433.83,-0.367865,-0.380173
0.0,437.68,-0.369461,-0.381661
0.0,441.18,-0.370391,-0.382699
0.0,444.68,-0.370604,-0.382603
0.0,448.18,-0.367536,-0.380003
0.0,451.85,-0.360053,-0.372551
0.0,455.35,-0.347095,-0.35988
0.0,459.03,-0.330324,-0.343823
0.0,462.53,-0.311131,-0.324766
0.0,466.2,-0.290416,-0.304363
0.0,469.7,-0.268297,-0.282872
0.0,473.2,-0.247104,-0.262542
0.0,476.88,-0.228306,-0.24358
0.0,480.38,-0.212674,-0.228552
0.0,484.05,-0.199917,-0.215885
0.0,487.55,-0.189677,-0.206421
0.0,491.05,-0.182009,-0.198531
0.0,494.9,-0.175906,-0.192733
0.0,498.4,-0.172246,-0.18895
0.0,501.9,-0.169517,-0.186378
0.0,505.58,-0.167499,-0.184338
0.0,509.43,-0.165447,-0.181569
0.0,512.93,-0.163485,-0.179634
0.0,516.43,-0.160906,-0.177326
0.0,520.1,-0.158392,-0.17525
0.0,523.78,-0.155743,-0.173337
0.0,527.45,-0.152866,-0.170044
0.0,530.95,-0.150777,-0.167542
0.0,534.45,-0.148463,-0.165398
0.0,538.13,-0.146636,-0.163559
0.0,541.63,-0.145518,-0.162564
0.0,545.3,-0.145025,-0.161695
0.0,548.8,-0.145182,-0.162055
0.0,552.3,-0.146137,-0.163041
0.0,555.98,-0.146824,-0.163066
0.0,559.48,-0.147385,-0.163978
0.0,562.98,-0.148334,-0.165
0.0,566.65,-0.148358,-0.165592
0.0,570.15,-0.147801,-0.1646
0.0,573.65,-0.147274,-0.16423
0.0,577.33,-0.146479,-0.163577
0.0,580.65,-0.145909,-0.162933
0.0,584.33,-0.145546,-0.162782
0.0,587.83,-0.145703,-0.162641
0.0,591.33,-0.145863,-0.163097
0.0,595.0,-0.14631,-0.163402
0.0,598.5,-0.146707,-0.16375
0.0,602.0,-0.146602,-0.163691
0.0,605.5,-0.145882,-0.163084
0.0,609.18,-0.145201,-0.162231
0.0,612.68,-0.14379,-0.160943
0.0,616.18,-0.141935,-0.158916
0.0,619.67,-0.139332,-0.156384
0.0,623.17,-0.13651,-0.153445
0.0,626.85,-0.133134,-0.150851
0.0,630.35,-0.130253,-0.146963
0.0,634.02,-0.127333,-0.144868
0.0,637.52,-0.124957,-0.142108
0.0,641.37,-0.122653,-0.140848
0.0,645.05,-0.121159,-0.138722
0.0,648.55,-0.120623,-0.138075
0.0,651.87,-0.119899,-0.137456
0.0,655.55,-0.119853,-0.137203
0.0,659.22,-0.119825,-0.137154
0.0,662.72,-0.120549,-0.13773
0.0,666.22,-0.120497,-0.138081
0.0,669.72,-0.121606,-0.138833
0.0,673.22,-0.122961,-0.140062
0.0,676.72,-0.124418,-0.141479
0.0,680.22,-0.125959,-0.1433
0.0,683.9,-0.127684,-0.144911
0.0,687.4,-0.129369,-0.146079
36.05,12.78,-0.131288,-0.150013
36.05,16.45,-0.132012,-0.148663
36.05,19.95,-0.132841,-0.149369
36.05,23.63,-0.133756,-0.150148
36.05,27.13,-0.134431,-0.151673
36.05,30.45,-0.135715,-0.152249
36.05,34.13,-0.135749,-0.152453
36.05,37.8,-0.136344,-0.153204
36.05,41.3,-0.137274,-0.153861
36.05,44.8,-0.137767,-0.154828
36.05,48.48,-0.1385,-0.155629
36.05,51.98,-0.138953,-0.156257
36.05,55.48,-0.138737,-0.156014
36.05,59.15,-0.139024,-0.156313
36.05,62.48,-0.138408,-0.15546
36.05,66.5,-0.138029,-0.155278
36.05,70.0,-0.137561,-0.154782
36.05,73.5,-0.137798,-0.154751
36.05,77.18,-0.137906,-0.154412
36.05,80.85,-0.137576,-0.154236
36.05,84.35,-0.136846,-0.153463
36.05,87.85,-0.135912,-0.153272
36.05,91.88,-0.134979,-0.152853
36.05,95.38,-0.133848,-0.15086
36.05,99.05,-0.132222,-0.149169
36.05,102.55,-0.130182,-0.147299
36.05,106.23,-0.127977,-0.144517
36.05,109.73,-0.125749,-0.14261
36.05,113.4,-0.123322,-0.140752
36.05,116.9,-0.121495,-0.138673
36.05,120.58,-0.12045,-0.137887
36.05,124.08,-0.122345,-0.139803
36.05,127.58,-0.128855,-0.145835
36.05,131.08,-0.140956,-0.157607
36.05,134.58,-0.160623,-0.176532
36.05,138.25,-0.185894,-0.201455
36.05,141.75,-0.214409,-0.228978
36.05,145.43,-0.240995,-0.255201
36.05,149.28,-0.26952,-0.281892
36.05,152.78,-0.293004,-0.305641
36.05,156.45,-0.313281,-0.325675
36.05,159.95,-0.331115,-0.342853
36.05,163.45,-0.345764,-0.357468
36.05,167.13,-0.357415,-0.368993
36.05,170.8,-0.365826,-0.377671
36.05,174.3,-0.369729,-0.381824
36.05,177.98,-0.372517,-0.384415
36.05,181.48,-0.374335,-0.386205
36.05,185.15,-0.375635,-0.387163
36.05,188.65,-0.376353,-0.388216
36.05,192.33,-0.376833,-0.388484
36.05,195.83,-0.377033,-0.388555
36.05,199.33,-0.376448,-0.387902
36.05,203.0,-0.376534,-0.387801
36.05,206.5,-0.377043,-0.388552
36.05,210.0,-0.378106,-0.389526
36.05,213.5,-0.379942,-0.391645
36.05,217.18,-0.382298,-0.394064
36.05,220.5,-0.386202,-0.39756
36.05,224.18,-0.390672,-0.402055
36.05,227.85,-0.396285,-0.408096
36.05,231.53,-0.401685,-0.412927
36.05,235.03,-0.40638,-0.417554
36.05,238.53,-0.409923,-0.420857
36.05,242.2,-0.412338,-0.423269
36.05,245.7,-0.414479,-0.425505
36.05,249.38,-0.416778,-0.427646
36.05,252.88,-0.419316,-0.429775
36.05,256.2,-0.421605,-0.432231
36.05,259.88,-0.423192,-0.434017
36.05,263.38,-0.424131,-0.43467
36.05,266.88,-0.424076,-0.434427
36.05,270.55,-0.423737,-0.434258
36.05,274.05,-0.423796,-0.434147
36.05,277.55,-0.423623,-0.434313
36.05,281.23,-0.424458,-0.435376
36.05,284.73,-0.426029,-0.436685
36.05,288.23,-0.427252,-0.438364
36.05,291.9,-0.427868,-0.438524
36.05,295.4,-0.427779,-0.438401
36.05,298.9,-0.427286,-0.438198
36.05,302.4,-0.425946,-0.437098
36.05,305.9,-0.425108,-0.436316
36.05,309.4,-0.424825,-0.435881
36.05,313.08,-0.424523,-0.43516
36.05,316.58,-0.424322,-0.435471
36.05,320.08,-0.423749,-0.434695
36.05,323.58,-0.422911,-0.43395
36.05,327.25,-0.422964,-0.433715
36.05,330.75,-0.423524,-0.433811
36.05,334.25,-0.424581,-0.434898
36.05,337.75,-0.425361,-0.435659
36.05,341.43,-0.42634,-0.436722
36.05,344.93,-0.42691,-0.437212
36.05,348.08,-0.426614,-0.436935
36.05,352.1,-0.425361,-0.435653
36.05,355.6,-0.424045,-0.434784
36.05,359.1,-0.423007,-0.433598
36.05,362.78,-0.422409,-0.433891
36.05,366.28,-0.422579,-0.433503
36.05,369.95,-0.423524,-0.434483
36.05,373.45,-0.423863,-0.43537
36.05,376.95,-0.424572,-0.435293
36.05,380.63,-0.425163,-0.436322
36.05,384.13,-0.425743,-0.437021
36.05,387.63,-0.426553,-0.437428
36.05,391.3,-0.427348,-0.437998
36.05,394.8,-0.427646,-0.438524
36.05,398.3,-0.427911,-0.43838
36.05,401.8,-0.427443,-0.438047
36.05,405.48,-0.426285,-0.437206
36.05,409.15,-0.425148,-0.434883
36.05,412.83,-0.42374,-0.434744
36.05,416.33,-0.422573,-0.433521
36.05,419.83,-0.421248,-0.431818
36.05,423.68,-0.419393,-0.430256
36.05,427.18,-0.417277,-0.428515
36.05,430.68,-0.414122,-0.425407
36.05,434.35,-0.409781,-0.421026
36.05,437.85,-0.40297,-0.414245
36.05,441.53,-0.393623,-0.404975
36.05,445.03,-0.381356,-0.392859
36.05,448.53,-0.365034,-0.377514
36.05,452.03,-0.345783,-0.358386
36.05,455.53,-0.324156,-0.337662
36.05,459.03,-0.302194,-0.316002
36.05,462.7,-0.279298,-0.293786
36.05,466.2,-0.258981,-0.273272
36.05,469.7,-0.241026,-0.256063
36.05,473.2,-0.226528,-0.241827
36.05,476.88,-0.214424,-0.229729
36.05,480.38,-0.205216,-0.221134
36.05,483.88,-0.198177,-0.214132
36.05,487.55,-0.193186,-0.209618
36.05,491.05,-0.189193,-0.205441
36.05,494.73,-0.186066,-0.202203
36.05,498.4,-0.183152,-0.199585
36.05,501.9,-0.181162,-0.196957
36.05,505.4,-0.178371,-0.194243
36.05,508.9,-0.175327,-0.191707
36.05,512.4,-0.171812,-0.188167
36.05,516.08,-0.167887,-0.184474
36.05,519.58,-0.164301,-0.180869
36.05,523.08,-0.160943,-0.177459
36.05,526.58,-0.158309,-0.174581
36.05,530.25,-0.156994,-0.173211
36.05,533.75,-0.15757,-0.17432
36.05,537.25,-0.159837,-0.176424
36.05,540.93,-0.16379,-0.180133
36.05,544.6,-0.168251,-0.184772
36.05,548.1,-0.172573,-0.18903
36.05,551.6,-0.176676,-0.193029
36.05,555.28,-0.180235,-0.196276
36.05,558.78,-0.182138,-0.198525
36.05,562.28,-0.183673,-0.199843
36.05,565.95,-0.184578,-0.200626
36.05,569.45,-0.184501,-0.200786
36.05,572.95,-0.184018,-0.199609
36.05,576.63,-0.182163,-0.198454
36.05,580.13,-0.180352,-0.196288
36.05,583.63,-0.17753,-0.193768
36.05,587.13,-0.175114,-0.191187
36.05,590.8,-0.172431,-0.18887
36.05,594.3,-0.170324,-0.18622
36.05,597.8,-0.167872,-0.183947
36.05,601.3,-0.166227,-0.182779
