x,y,z,z2
7.17,0.0,0.001515,-0.018334
10.68,0.0,0.001527,-0.018784
14.35,0.0,0.001376,-0.018864
17.85,0.0,0.002119,-0.01826
21.18,0.0,0.002658,-0.018001
25.03,0.0,0.003517,-0.016868
28.53,0.0,0.003844,-0.016633
31.85,0.0,0.003958,-0.016695
35.7,0.0,0.003564,-0.016843
39.2,0.0,0.003021,-0.017327
42.7,0.0,0.002661,-0.017718
46.37,0.0,0.002319,-0.018115
50.05,0.0,0.002033,-0.017977
53.55,0.0,0.002304,-0.017629
57.05,0.0,0.003169,-0.017056
60.72,0.0,0.003995,-0.015814
64.22,0.0,0.005175,-0.014745
67.72,0.0,0.00592,-0.014295
71.22,0.0,0.006832,-0.013405
75.07,0.0,0.007667,-0.013658
78.57,0.0,0.008222,-0.012484
82.25,0.0,0.008539,-0.012324
85.75,0.0,0.00844,-0.012145
89.77,0.0,0.007569,-0.012071
93.27,0.0,0.006783,-0.013174
96.77,0.0,0.005409,-0.014631
100.27,0.0,0.004494,-0.015524
103.95,0.0,0.002948,-0.017025
107.45,0.0,0.001657,-0.018547
110.95,0.0,0.000659,-0.019458
114.62,0.0,-0.00038,-0.020617
118.12,0.0,-0.001097,-0.021264
121.62,0.0,-0.001932,-0.021831
125.12,0.0,-0.002305,-0.022706
128.62,0.0,-0.002641,-0.023014
132.12,0.0,-0.003146,-0.023605
135.97,0.0,-0.003396,-0.024129
139.47,0.0,-0.004218,-0.024693
142.97,0.0,-0.004779,-0.025201
146.65,0.0,-0.00546,-0.02558
150.32,0.0,-0.006489,-0.026221
153.82,0.0,-0.007724,-0.027253
157.33,0.0,-0.008362,-0.027881
161.0,0.0,-0.009301,-0.028999
164.5,0.0,-0.010481,-0.030617
168.18,0.0,-0.011504,-0.03159
171.68,0.0,-0.012625,-0.032712
175.18,0.0,-0.013716,-0.033935
178.85,0.0,-0.014298,-0.034588
182.35,0.0,-0.014536,-0.034853
186.03,0.0,-0.01473,-0.034881
189.53,0.0,-0.014268,-0.034431
193.03,0.0,-0.013984,-0.03416
196.53,0.0,-0.013892,-0.033987
200.03,0.0,-0.014332,-0.034067
203.7,0.0,-0.015019,-0.035136
207.2,0.0,-0.016381,-0.036193
211.05,0.0,-0.017915,-0.037216
214.55,0.0,-0.019563,-0.039449
218.23,0.0,-0.020823,-0.0405
221.73,0.0,-0.022105,-0.041707
225.4,0.0,-0.022841,-0.043309
229.08,0.0,-0.023131,-0.042952
232.58,0.0,-0.023451,-0.043411
236.08,0.0,-0.02346,-0.043676
239.93,0.0,-0.022906,-0.042293
243.43,0.0,-0.022447,-0.041975
246.93,0.0,-0.021661,-0.041125
250.6,0.0,-0.02086,-0.040198
254.1,0.0,-0.020367,-0.040035
257.78,0.0,-0.019637,-0.039421
261.28,0.0,-0.019129,-0.038728
264.78,0.0,-0.019705,-0.039224
268.28,0.0,-0.020786,-0.040561
271.95,0.0,-0.022552,-0.042428
275.45,0.0,-0.024708,-0.044483
278.95,0.0,-0.026951,-0.046707
282.45,0.0,-0.029403,-0.049113
286.13,0.0,-0.031929,-0.051895
289.63,0.0,-0.03395,-0.053414
293.13,0.0,-0.035999,-0.055472
296.63,0.0,-0.037733,-0.057456
300.48,0.0,-0.039566,-0.058463
304.15,0.0,-0.040715,-0.059803
307.65,0.0,-0.041818,-0.060623
311.15,0.0,-0.042579,-0.061637
314.65,0.0,-0.043651,-0.062542
318.15,0.0,-0.044468,-0.063294
321.83,0.0,-0.045222,-0.06412
325.33,0.0,-0.045404,-0.064693
328.83,0.0,-0.046258,-0.065312
332.5,0.0,-0.046119,-0.065666
336.0,0.0,-0.047046,-0.066119
339.5,0.0,-0.047616,-0.067006
343.0,0.0,-0.048248,-0.06773
346.68,0.0,-0.049184,-0.068282
350.18,0.0,-0.049921,-0.06916
353.68,0.0,-0.050792,-0.070229
357.18,0.0,-0.051806,-0.070971
360.68,0.0,-0.052598,-0.071741
364.18,0.0,-0.053602,-0.07285
367.68,0.0,-0.054348,-0.073688
371.35,0.0,-0.055558,-0.074927
374.85,0.0,-0.057179,-0.076119
378.35,0.0,-0.058925,-0.077564
381.85,0.0,-0.060943,-0.07993
385.35,0.0,-0.063174,-0.081957
388.85,0.0,-0.065167,-0.083787
392.53,0.0,-0.06659,-0.085392
396.03,0.0,-0.067607,-0.086181
399.53,0.0,-0.068574,-0.087068
403.03,0.0,-0.069683,-0.088017
406.7,0.0,-0.071125,-0.089166
410.38,0.0,-0.072401,-0.090675
413.88,0.0,-0.073925,-0.092222
417.38,0.0,-0.075524,-0.093978
420.88,0.0,-0.077231,-0.095876
424.55,0.0,-0.078768,-0.097404
428.23,0.0,-0.080355,-0.098784
431.73,0.0,-0.081621,-0.099991
435.4,0.0,-0.082219,-0.100943
438.9,0.0,-0.08294,-0.101513
442.4,0.0,-0.083306,-0.101824
446.08,0.0,-0.083667,-0.102126
449.58,0.0,-0.08436,-0.102465
453.08,0.0,-0.084539,-0.102749
456.75,0.0,-0.084896,-0.102918
460.25,0.0,-0.085518,-0.103722
463.75,0.0,-0.086298,-0.104397
467.25,0.0,-0.087117,-0.104951
470.93,0.0,-0.088226,-0.105965
474.43,0.0,-0.089357,-0.107308
477.93,0.0,-0.090592,-0.108577
481.25,0.0,-0.091646,-0.10956
484.93,0.0,-0.09289,-0.11094
488.6,0.0,-0.094455,-0.112225
492.1,0.0,-0.095771,-0.113611
495.6,0.0,-0.097311,-0.115188
499.1,0.0,-0.098624,-0.116544
502.78,0.0,-0.100281,-0.118315
506.28,0.0,-0.101636,-0.119615
509.78,0.0,-0.103309,-0.121165
513.28,0.0,-0.104492,-0.122616
516.95,0.0,-0.105623,-0.123855
520.45,0.0,-0.106686,-0.124748
523.95,0.0,-0.107551,-0.12545
527.45,0.0,-0.10862,-0.126572
530.95,0.0,-0.109511,-0.127428
534.63,0.0,-0.110463,-0.128371
538.13,0.0,-0.111966,-0.129754
541.63,0.0,-0.113796,-0.131436
545.13,0.0,-0.115777,-0.13298
548.8,0.0,-0.11781,-0.134985
552.3,0.0,-0.11992,-0.137314
555.8,0.0,-0.12224,-0.139172
559.3,0.0,-0.124274,-0.14118
562.8,0.0,-0.126636,-0.143559
566.48,0.0,-0.129113,-0.146202
569.98,0.0,-0.131766,-0.148787
573.48,0.0,-0.133833,-0.150863
576.98,0.0,-0.136224,-0.153026
580.65,0.0,-0.137727,-0.154769
584.15,0.0,-0.139551,-0.156445
587.83,0.0,-0.141073,-0.158349
591.32,0.0,-0.141997,-0.159313
594.82,0.0,-0.142878,-0.160312
598.5,0.0,-0.143346,-0.160651
602.0,0.0,-0.143691,-0.160801
605.5,0.0,-0.143214,-0.160463
609.17,0.0,-0.143029,-0.159871
612.67,0.0,-0.142598,-0.159218
617.05,0.0,-0.141849,-0.159424
620.72,0.0,-0.141285,-0.158528
624.22,0.0,-0.140712,-0.157899
627.9,0.0,-0.140765,-0.157468
631.57,0.0,-0.140179,-0.156427
635.07,0.0,-0.14054,-0.157296
638.57,0.0,-0.140607,-0.157209
642.07,0.0,-0.14094,-0.157773
645.75,0.0,-0.141424,-0.158707
649.42,0.0,-0.141895,-0.159027
653.1,0.0,-0.141652,-0.158975
656.6,0.0,-0.141716,-0.158784
659.92,0.0,-0.141433,-0.158651
663.6,0.0,-0.140909,-0.158183
667.1,0.0,-0.140755,-0.157708
670.6,0.0,-0.140324,-0.157456
674.1,0.0,-0.1398,-0.157108
677.77,0.0,-0.139982,-0.157105
681.27,0.0,-0.139495,-0.156843
684.95,0.0,-0.139511,-0.156455
688.45,0.0,-0.139514,-0.156797
692.12,0.0,-0.139092,-0.155644
695.62,0.0,-0.138359,-0.155324
699.3,0.0,-0.138078,-0.15493
702.8,0.0,-0.137363,-0.154329
706.3,0.0,-0.136941,-0.154227
709.97,0.0,-0.136713,-0.153694
12.77,35.0,0.000742,-0.024499
16.27,35.0,0.001675,-0.018873
20.12,35.0,0.002692,-0.016969
23.8,35.0,0.003139,-0.017
27.3,35.0,0.003554,-0.016763
30.8,35.0,0.003936,-0.016328
34.47,35.0,0.003893,-0.016569
37.97,35.0,0.003403,-0.016664
41.47,35.0,0.003139,-0.017262
44.97,35.0,0.002649,-0.017776
48.65,35.0,0.001888,-0.018537
52.15,35.0,0.001586,-0.018753
55.3,35.0,0.000763,-0.019705
59.32,35.0,0.000477,-0.020032
62.82,35.0,1.2e-05,-0.020173
66.32,35.0,-0.000395,-0.020626
70.0,35.0,-0.000712,-0.020626
73.67,35.0,-0.001184,-0.021039
77.17,35.0,-0.001439,-0.021273
80.67,35.0,-0.002324,-0.022022
84.17,35.0,-0.00306,-0.023051
87.85,35.0,-0.004212,-0.02415
91.35,35.0,-0.005614,-0.025527
95.02,35.0,-0.007641,-0.027539
98.52,35.0,-0.009341,-0.029098
102.02,35.0,-0.011535,-0.031227
105.52,35.0,-0.014043,-0.034341
109.2,35.0,-0.016313,-0.036193
112.7,35.0,-0.018728,-0.03863
116.2,35.0,-0.020675,-0.040697
119.87,35.0,-0.021871,-0.041553
123.37,35.0,-0.022835,-0.042653
127.05,35.0,-0.023426,-0.043011
130.55,35.0,-0.024098,-0.043485
134.22,35.0,-0.024625,-0.043818
137.72,35.0,-0.02529,-0.044344
141.22,35.0,-0.025845,-0.045293
144.9,35.0,-0.026307,-0.045524
148.4,35.0,-0.026541,-0.046042
151.9,35.0,-0.026544,-0.04599
155.57,35.0,-0.026159,-0.045891
159.07,35.0,-0.026144,-0.045817
162.57,35.0,-0.026119,-0.045743
166.07,35.0,-0.026196,-0.045919
169.75,35.0,-0.025527,-0.045564
173.25,35.0,-0.024653,-0.044326
176.92,35.0,-0.023667,-0.043346
180.42,35.0,-0.022653,-0.042702
184.1,35.0,-0.021516,-0.041455
187.6,35.0,-0.020842,-0.040669
191.27,35.0,-0.0196,-0.038889
194.77,35.0,-0.018531,-0.038091
198.27,35.0,-0.017749,-0.037481
201.95,35.0,-0.017222,-0.036581
205.62,35.0,-0.016538,-0.036372
209.12,35.0,-0.015848,-0.035718
212.62,35.0,-0.015173,-0.035201
216.3,35.0,-0.014311,-0.034314
219.8,35.0,-0.013805,-0.034067
223.3,35.0,-0.013926,-0.034147
226.8,35.0,-0.013836,-0.034157
230.47,35.0,-0.013941,-0.034277
233.97,35.0,-0.013861,-0.034107
237.47,35.0,-0.014218,-0.034314
241.15,35.0,-0.014397,-0.034665
244.65,35.0,-0.014659,-0.034545
248.15,35.0,-0.014572,-0.034702
251.83,35.0,-0.014674,-0.034603
255.33,35.0,-0.014622,-0.034394
259.0,35.0,-0.014609,-0.034298
262.5,35.0,-0.015395,-0.034945
266.0,35.0,-0.016541,-0.035805
269.68,35.0,-0.018085,-0.03725
273.18,35.0,-0.0198,-0.039462
276.68,35.0,-0.021797,-0.041492
280.18,35.0,-0.024357,-0.04387
283.68,35.0,-0.026966,-0.046307
287.35,35.0,-0.029431,-0.048981
290.85,35.0,-0.031464,-0.050728
294.35,35.0,-0.033232,-0.052656
297.85,35.0,-0.034548,-0.054073
301.35,35.0,-0.036236,-0.055925
304.85,35.0,-0.037835,-0.057096
308.53,35.0,-0.039308,-0.058614
312.03,35.0,-0.040272,-0.060062
315.53,35.0,-0.041572,-0.061341
319.03,35.0,-0.042619,-0.062099
322.7,35.0,-0.043617,-0.063223
326.2,35.0,-0.044696,-0.063916
329.88,35.0,-0.045836,-0.064961
333.38,35.0,-0.046122,-0.065315
337.05,35.0,-0.047022,-0.065823
340.55,35.0,-0.047622,-0.066575
344.05,35.0,-0.048417,-0.067459
347.73,35.0,-0.048845,-0.067773
351.23,35.0,-0.049116,-0.068269
354.9,35.0,-0.049218,-0.06851
358.4,35.0,-0.049187,-0.068322
361.9,35.0,-0.049169,-0.068303
365.58,35.0,-0.049588,-0.068861
369.08,35.0,-0.050568,-0.070259
372.75,35.0,-0.052271,-0.071507
376.25,35.0,-0.053925,-0.073023
379.93,35.0,-0.055762,-0.074822
383.43,35.0,-0.057456,-0.076347
386.93,35.0,-0.058713,-0.077838
390.43,35.0,-0.060746,-0.079468
393.93,35.0,-0.062758,-0.081202
397.6,35.0,-0.064378,-0.083134
401.1,35.0,-0.06651,-0.084745
404.6,35.0,-0.068377,-0.086834
408.1,35.0,-0.070463,-0.088713
411.78,35.0,-0.072015,-0.090376
415.28,35.0,-0.074409,-0.092622
418.78,35.0,-0.076584,-0.094465
422.28,35.0,-0.078559,-0.096439
425.78,35.0,-0.080216,-0.098719
429.45,35.0,-0.08196,-0.099865
432.95,35.0,-0.083417,-0.101412
436.45,35.0,-0.084197,-0.102225
439.95,35.0,-0.084461,-0.102847
443.63,35.0,-0.085124,-0.10391
447.13,35.0,-0.085746,-0.104458
450.8,35.0,-0.086593,-0.104859
454.3,35.0,-0.087705,-0.106264
457.63,35.0,-0.089452,-0.107801
461.3,35.0,-0.091824,-0.109865
464.8,35.0,-0.0942,-0.11244
468.3,35.0,-0.096461,-0.114649
471.8,35.0,-0.097863,-0.116042
475.48,35.0,-0.099625,-0.117499
478.98,35.0,-0.101282,-0.118965
482.65,35.0,-0.102906,-0.120663
486.15,35.0,-0.10485,-0.122595
489.65,35.0,-0.106794,-0.124132
493.15,35.0,-0.108623,-0.126245
496.65,35.0,-0.11062,-0.128081
500.33,35.0,-0.111969,-0.129391
503.83,35.0,-0.113824,-0.1311
507.5,35.0,-0.115709,-0.132776
511.0,35.0,-0.117206,-0.134532
514.5,35.0,-0.119005,-0.13615
517.83,35.0,-0.120648,-0.138112
521.5,35.0,-0.122222,-0.139652
525.18,35.0,-0.123839,-0.141208
528.68,35.0,-0.125309,-0.142508
532.18,35.0,-0.127188,-0.144652
535.68,35.0,-0.128682,-0.146054
539.35,35.0,-0.130105,-0.147696
542.85,35.0,-0.131261,-0.148457
546.35,35.0,-0.132197,-0.149569
549.85,35.0,-0.133383,-0.150607
553.35,35.0,-0.134036,-0.151344
557.03,35.0,-0.134997,-0.152126
560.53,35.0,-0.135669,-0.152989
563.68,35.0,-0.136143,-0.153509
567.7,35.0,-0.136322,-0.153075
571.2,35.0,-0.136612,-0.153577
574.7,35.0,-0.136981,-0.153821
578.2,35.0,-0.13737,-0.154406
581.87,35.0,-0.137718,-0.154301
585.37,35.0,-0.13802,-0.154526
588.87,35.0,-0.138023,-0.154964
592.37,35.0,-0.138204,-0.154766
595.87,35.0,-0.138069,-0.154668
599.37,35.0,-0.137477,-0.154338
603.05,35.0,-0.137006,-0.153753
606.55,35.0,-0.136254,-0.153442
610.05,35.0,-0.135694,-0.152986
613.72,35.0,-0.134637,-0.152102
617.22,35.0,-0.133531,-0.151002
620.72,35.0,-0.132591,-0.149994
624.05,35.0,-0.131747,-0.149449
627.72,35.0,-0.131439,-0.148676
631.4,35.0,-0.130795,-0.148167
634.9,35.0,-0.130441,-0.147782
638.4,35.0,-0.13005,-0.14733
641.9,35.0,-0.129517,-0.146972
645.4,35.0,-0.129985,-0.147413
649.07,35.0,-0.130044,-0.147468
652.57,35.0,-0.130808,-0.148312
656.25,35.0,-0.131227,-0.148516
659.57,35.0,-0.131452,-0.148479
663.42,35.0,-0.131886,-0.148392
666.92,35.0,-0.131843,-0.14866
670.42,35.0,-0.131778,-0.148867
673.92,35.0,-0.131923,-0.14867
677.42,35.0,-0.13183,-0.148891
680.92,35.0,-0.131673,-0.148537
684.6,35.0,-0.131408,-0.148408
688.1,35.0,-0.131073,-0.148257
691.6,35.0,-0.130709,-0.147742
695.1,35.0,-0.130475,-0.147684
698.77,35.0,-0.130038,-0.147206
702.27,35.0,-0.129994,-0.14728
705.77,35.0,-0.13029,-0.147795
709.27,35.0,-0.131356,-0.148506
11.02,70.35,0.010649,-0.013812
14.52,70.35,0.011746,-0.008494
18.02,70.35,0.012673,-0.007576
21.52,70.35,0.013613,-0.006566
25.2,70.35,0.014152,-0.006144
29.22,70.35,0.013819,-0.007844
32.72,70.35,0.01275,-0.007884
36.22,70.35,0.011346,-0.008959
39.9,70.35,0.009867,-0.010669
43.92,70.35,0.007778,-0.012268
47.42,70.35,0.005871,-0.014345
50.92,70.35,0.004614,-0.015894
54.6,70.35,0.003028,-0.017481
58.1,70.35,0.001897,-0.018731
61.6,70.35,0.00036,-0.019708
65.27,70.35,-0.000897,-0.021261
68.77,70.35,-0.002345,-0.022672
72.45,70.35,-0.003818,-0.024117
75.77,70.35,-0.00513,-0.025509
79.45,70.35,-0.006747,-0.027123
82.95,70.35,-0.008162,-0.02802
86.45,70.35,-0.009613,-0.029591
90.12,70.35,-0.011409,-0.031239
93.62,70.35,-0.013454,-0.03293
97.3,70.35,-0.015506,-0.03489
100.8,70.35,-0.017656,-0.036929
105.17,70.35,-0.019961,-0.040715
108.67,70.35,-0.021119,-0.040774
112.17,70.35,-0.022462,-0.042117
115.67,70.35,-0.023587,-0.043316
119.35,70.35,-0.024147,-0.043624
122.85,70.35,-0.024135,-0.043513
126.35,70.35,-0.023639,-0.043054
130.02,70.35,-0.023112,-0.042327
133.52,70.35,-0.023125,-0.043466
137.02,70.35,-0.023149,-0.041892
140.52,70.35,-0.023109,-0.042672
144.02,70.35,-0.023319,-0.042493
147.7,70.35,-0.023343,-0.042776
151.2,70.35,-0.022284,-0.0418
154.7,70.35,-0.021202,-0.04102
158.2,70.35,-0.019945,-0.040118
161.87,70.35,-0.018602,-0.038938
165.37,70.35,-0.01728,-0.037391
168.87,70.35,-0.015879,-0.036023
172.37,70.35,-0.014314,-0.034335
175.87,70.35,-0.012992,-0.033337
179.37,70.35,-0.011723,-0.031991
182.87,70.35,-0.010518,-0.030805
186.55,70.35,-0.009767,-0.030062
190.05,70.35,-0.008984,-0.029052
193.55,70.35,-0.00822,-0.028137
197.05,70.35,-0.007644,-0.027995
200.55,70.35,-0.007709,-0.027807
204.05,70.35,-0.007715,-0.027992
207.72,70.35,-0.007758,-0.02793
211.22,70.35,-0.00854,-0.028544
214.9,70.35,-0.00924,-0.029372
218.4,70.35,-0.009686,-0.029449
221.9,70.35,-0.01038,-0.030142
225.4,70.35,-0.010851,-0.030333
228.9,70.35,-0.010854,-0.030512
232.57,70.35,-0.010719,-0.030315
236.07,70.35,-0.010869,-0.030571
239.75,70.35,-0.010916,-0.030863
243.25,70.35,-0.011245,-0.031233
246.75,70.35,-0.011603,-0.031498
250.42,70.35,-0.012576,-0.032718
254.27,70.35,-0.014006,-0.03456
257.77,70.35,-0.015731,-0.035549
261.27,70.35,-0.017243,-0.037194
264.95,70.35,-0.018827,-0.038873
268.45,70.35,-0.020155,-0.039421
272.12,70.35,-0.020968,-0.04029
275.62,70.35,-0.02192,-0.041418
279.12,70.35,-0.022746,-0.042015
282.8,70.35,-0.023799,-0.042937
286.3,70.35,-0.024727,-0.044178
289.8,70.35,-0.02582,-0.045167
293.3,70.35,-0.026991,-0.046609
296.97,70.35,-0.028507,-0.047915
300.48,70.35,-0.030087,-0.049628
303.98,70.35,-0.03208,-0.051393
307.48,70.35,-0.033621,-0.053189
310.98,70.35,-0.035401,-0.054569
314.65,70.35,-0.036621,-0.056424
318.15,70.35,-0.038023,-0.057474
321.65,70.35,-0.039098,-0.058433
325.33,70.35,-0.039958,-0.059394
328.83,70.35,-0.041131,-0.060534
332.33,70.35,-0.042,-0.061402
336.0,70.35,-0.042792,-0.061994
339.5,70.35,-0.043343,-0.062474
343.0,70.35,-0.043694,-0.062545
346.68,70.35,-0.043944,-0.062983
350.35,70.35,-0.044378,-0.063568
353.85,70.35,-0.045142,-0.063876
357.35,70.35,-0.045894,-0.064665
360.85,70.35,-0.04615,-0.065195
364.53,70.35,-0.046886,-0.06602
368.03,70.35,-0.048041,-0.067049
371.7,70.35,-0.049671,-0.068864
375.2,70.35,-0.0516,-0.070913
378.53,70.35,-0.05354,-0.072551
382.2,70.35,-0.055592,-0.074612
385.7,70.35,-0.057376,-0.076559
389.38,70.35,-0.058802,-0.078032
392.88,70.35,-0.0605,-0.079141
396.55,70.35,-0.061778,-0.08078
400.05,70.35,-0.063445,-0.081923
403.73,70.35,-0.064711,-0.083454
407.23,70.35,-0.06639,-0.084788
410.73,70.35,-0.067964,-0.086486
414.23,70.35,-0.069951,-0.088543
417.73,70.35,-0.071609,-0.089927
421.4,70.35,-0.073383,-0.091726
424.9,70.35,-0.075152,-0.093433
428.58,70.35,-0.07675,-0.095121
432.08,70.35,-0.078657,-0.09679
435.75,70.35,-0.080583,-0.099582
439.43,70.35,-0.082625,-0.10114
442.93,70.35,-0.084665,-0.102893
446.43,70.35,-0.087234,-0.105663
449.93,70.35,-0.090207,-0.108334
453.43,70.35,-0.092715,-0.111144
457.1,70.35,-0.095309,-0.113325
460.6,70.35,-0.097022,-0.115136
464.1,70.35,-0.098084,-0.116393
467.6,70.35,-0.099184,-0.117095
471.1,70.35,-0.100081,-0.118155
474.6,70.35,-0.10103,-0.118774
477.93,70.35,-0.101797,-0.119853
