x,y,z,z2
0.0,3.5,-0.171168,-0.187157
0.0,7.0,-0.171374,-0.187644
0.0,10.67,-0.171849,-0.188457
0.0,14.18,-0.17265,-0.189199
0.0,17.85,-0.17432,-0.190558
0.0,21.35,-0.175965,-0.192379
0.0,24.85,-0.177712,-0.193941
0.0,28.53,-0.179452,-0.19586
0.0,32.03,-0.180959,-0.196926
0.0,35.35,-0.182323,-0.198226
0.0,39.2,-0.183269,-0.199474
0.0,42.7,-0.184979,-0.200949
0.0,46.2,-0.186719,-0.202256
0.0,49.7,-0.187721,-0.202949
0.0,53.37,-0.187989,-0.203494
0.0,56.87,-0.18737,-0.20326
0.0,60.37,-0.185863,-0.201975
0.0,64.05,-0.183328,-0.199585
0.0,67.55,-0.181057,-0.196951
0.0,71.05,-0.17818,-0.194446
0.0,74.72,-0.175607,-0.191997
0.0,78.22,-0.173281,-0.18976
0.0,81.72,-0.171356,-0.188127
0.0,85.22,-0.169702,-0.186535
0.0,88.9,-0.167992,-0.184862
0.0,92.4,-0.166704,-0.183365
0.0,95.9,-0.164461,-0.181183
0.0,99.4,-0.162157,-0.178873
0.0,102.9,-0.159357,-0.176297
0.0,106.57,-0.156396,-0.172792
0.0,110.07,-0.15363,-0.170678
0.0,113.75,-0.151156,-0.167915
0.0,117.25,-0.149828,-0.166729
0.0,120.75,-0.148365,-0.165253
0.0,124.25,-0.147622,-0.164443
0.0,127.75,-0.147573,-0.164055
0.0,131.25,-0.147829,-0.164501
0.0,134.75,-0.148799,-0.165586
0.0,138.42,-0.14956,-0.16618
0.0,141.92,-0.150392,-0.167209
0.0,145.42,-0.150983,-0.167789
0.0,149.1,-0.151892,-0.168931
0.0,152.6,-0.152662,-0.169018
0.0,156.1,-0.15249,-0.169347
0.0,159.78,-0.152397,-0.169551
0.0,163.28,-0.15224,-0.169166
0.0,166.95,-0.151643,-0.168562
0.0,170.45,-0.151187,-0.168281
0.0,173.95,-0.150925,-0.167804
0.0,177.63,-0.150875,-0.167671
