x,y,z,z2
0.0,3.5,-0.411772,-0.417252
0.0,7.0,-0.411091,-0.423142
0.0,10.5,-0.41025,-0.422104
0.0,14.0,-0.409584,-0.421445
0.0,17.5,-0.409017,-0.421507
0.0,21.0,-0.409566,-0.42175
0.0,24.5,-0.409304,-0.421371
0.0,28.0,-0.40959,-0.42143
0.0,31.68,-0.409532,-0.421383
0.0,35.17,-0.409076,-0.421106
0.0,38.67,-0.408765,-0.420561
0.0,42.35,-0.407372,-0.419655
0.0,45.85,-0.40614,-0.418241
0.0,49.35,-0.405126,-0.417329
0.0,52.5,-0.403672,-0.415906
0.0,56.7,-0.402462,-0.415373
0.0,60.2,-0.40171,-0.414252
0.0,63.7,-0.401812,-0.414396
0.0,67.37,-0.40171,-0.414338
0.0,70.87,-0.402523,-0.4152
0.0,74.55,-0.403786,-0.415838
0.0,78.05,-0.405413,-0.417609
0.0,81.55,-0.407077,-0.419085
0.0,85.05,-0.40955,-0.421276
0.0,88.72,-0.411772,-0.42354
0.0,92.4,-0.41382,-0.42573
0.0,95.55,-0.415558,-0.427603
0.0,99.22,-0.417354,-0.429171
0.0,102.9,-0.418463,-0.430271
0.0,106.05,-0.419821,-0.43159
0.0,110.07,-0.420869,-0.432662
0.0,113.57,-0.42212,-0.433931
0.0,117.07,-0.423349,-0.435062
0.0,120.57,-0.42451,-0.436214
0.0,124.07,-0.42517,-0.437135
0.0,127.57,-0.425906,-0.437739
0.0,131.25,-0.425826,-0.437819
0.0,134.75,-0.425136,-0.43708
0.0,138.25,-0.424051,-0.436017
0.0,141.75,-0.422757,-0.434957
0.0,145.42,-0.421873,-0.434153
0.0,148.93,-0.421254,-0.433491
0.0,152.43,-0.420992,-0.43313
0.0,155.93,-0.421799,-0.433786
0.0,159.6,-0.422862,-0.434935
0.0,163.1,-0.424424,-0.436014
0.0,166.78,-0.42606,-0.437776
0.0,170.28,-0.427653,-0.439107
0.0,173.78,-0.428839,-0.440576
0.0,177.28,-0.429858,-0.441106
0.0,180.95,-0.430558,-0.442267
0.0,184.45,-0.431211,-0.442865
0.0,188.13,-0.43248,-0.443792
0.0,191.63,-0.43382,-0.445271
0.0,195.13,-0.434627,-0.446109
0.0,198.63,-0.435718,-0.447474
0.0,202.13,-0.436716,-0.448447
0.0,205.8,-0.437874,-0.449544
0.0,209.3,-0.439523,-0.451048
0.0,212.8,-0.441229,-0.453062
0.0,216.48,-0.443118,-0.454532
0.0,219.98,-0.444547,-0.456195
0.0,223.83,-0.446171,-0.456876
0.0,227.33,-0.447483,-0.458851
0.0,231.0,-0.448959,-0.459895
0.0,234.5,-0.450225,-0.461368
0.0,238.0,-0.451491,-0.46252
0.0,241.68,-0.452896,-0.464165
0.0,245.18,-0.454556,-0.465539
0.0,248.68,-0.455921,-0.467095
0.0,252.18,-0.456978,-0.468124
0.0,255.85,-0.458133,-0.469264
0.0,259.35,-0.458897,-0.470012
0.0,262.85,-0.459553,-0.471029
0.0,266.53,-0.460247,-0.471716
0.0,270.03,-0.46021,-0.471802
0.0,273.53,-0.459932,-0.47142
0.0,277.2,-0.459603,-0.471072
0.0,280.7,-0.459107,-0.470604
0.0,284.2,-0.459125,-0.470499
0.0,287.7,-0.459556,-0.470853
0.0,291.38,-0.460579,-0.471873
0.0,294.88,-0.461765,-0.472844
0.0,298.38,-0.462939,-0.474002
0.0,302.4,-0.464328,-0.474285
0.0,306.08,-0.465459,-0.476753
0.0,309.58,-0.466306,-0.477332
0.0,313.08,-0.466913,-0.478278
0.0,316.58,-0.467058,-0.478432
0.0,320.08,-0.467508,-0.478752
0.0,323.58,-0.467517,-0.478645
0.0,327.08,-0.467508,-0.478549
0.0,330.75,-0.467499,-0.478774
0.0,334.25,-0.466728,-0.478031
0.0,337.75,-0.466038,-0.477283
0.0,341.25,-0.465182,-0.476513
0.0,344.93,-0.46447,-0.4759
0.0,348.43,-0.464365,-0.475804
0.0,351.93,-0.464818,-0.476118
0.0,355.43,-0.465743,-0.476713
0.0,358.93,-0.466932,-0.478093
0.0,362.43,-0.46858,-0.4796
0.0,366.1,-0.469775,-0.480555
0.0,369.6,-0.471294,-0.482227
0.0,372.93,-0.472914,-0.483401
0.0,376.6,-0.474436,-0.485222
0.0,380.28,-0.476118,-0.486719
0.0,383.78,-0.477699,-0.488515
0.0,387.28,-0.479119,-0.489547
0.0,390.95,-0.480299,-0.490992
0.0,394.45,-0.481223,-0.491932
0.0,397.95,-0.481962,-0.492622
0.0,401.45,-0.481956,-0.492668
0.0,404.95,-0.482335,-0.493136
0.0,408.63,-0.482637,-0.493598
0.0,412.13,-0.482896,-0.493589
0.0,415.45,-0.482745,-0.493648
0.0,418.95,-0.482594,-0.493293
0.0,422.63,-0.481978,-0.492822
0.0,426.13,-0.481476,-0.492326
0.0,429.63,-0.479957,-0.49101
0.0,432.95,-0.47805,-0.489359
0.0,436.8,-0.475592,-0.486907
0.0,440.3,-0.472994,-0.484224
0.0,443.98,-0.470231,-0.481402
0.0,447.3,-0.468031,-0.479529
0.0,450.98,-0.465795,-0.477086
0.0,454.48,-0.463953,-0.475151
0.0,458.15,-0.462785,-0.474147
0.0,461.65,-0.461993,-0.473222
0.0,465.15,-0.461371,-0.472197
0.0,468.83,-0.460299,-0.471337
0.0,472.33,-0.459113,-0.470333
0.0,475.83,-0.457659,-0.468771
0.0,479.33,-0.456177,-0.466984
0.0,483.0,-0.455151,-0.466174
0.0,486.5,-0.453783,-0.465166
0.0,490.18,-0.452434,-0.463685
0.0,493.5,-0.450958,-0.462323
0.0,497.18,-0.449258,-0.460678
0.0,500.68,-0.44732,-0.459048
0.0,504.18,-0.445099,-0.456867
0.0,507.68,-0.442831,-0.454581
0.0,511.18,-0.440037,-0.451892
0.0,514.85,-0.437194,-0.448993
0.0,518.35,-0.434258,-0.44622
