x,y,z,z2
0.0,3.67,-0.011409,-0.036692
0.0,7.17,-0.01127,-0.02997
0.0,10.68,-0.010605,-0.029837
0.0,14.35,-0.01074,-0.02972
0.0,17.85,-0.010675,-0.029699
0.0,21.35,-0.01111,-0.030084
0.0,24.85,-0.011442,-0.030574
0.0,28.35,-0.011467,-0.030527
0.0,32.03,-0.01228,-0.031911
0.0,35.7,-0.013599,-0.032555
0.0,39.2,-0.01533,-0.03416
0.0,42.7,-0.017179,-0.0361
0.0,46.55,-0.019693,-0.0379
0.0,50.05,-0.021606,-0.040226
0.0,53.55,-0.02411,-0.042558
0.0,57.05,-0.026587,-0.045093
0.0,61.07,-0.029286,-0.048867
0.0,64.57,-0.031347,-0.050001
0.0,68.25,-0.033365,-0.052345
0.0,71.75,-0.035179,-0.053895
0.0,75.6,-0.037545,-0.055417
0.0,79.27,-0.039397,-0.058011
0.0,82.77,-0.041255,-0.059585
0.0,86.27,-0.042779,-0.061399
0.0,89.77,-0.044123,-0.062721
0.0,93.27,-0.045266,-0.063439
0.0,96.95,-0.046128,-0.06444
0.0,100.45,-0.047302,-0.065703
0.0,103.95,-0.048984,-0.067628
0.0,107.62,-0.050574,-0.069079
0.0,110.95,-0.052219,-0.070666
0.0,114.62,-0.053451,-0.071775
0.0,118.12,-0.054566,-0.073001
0.0,121.62,-0.055373,-0.073882
0.0,125.12,-0.056122,-0.074662
0.0,128.8,-0.056898,-0.07525
0.0,132.3,-0.057598,-0.076174
0.0,135.97,-0.058765,-0.077253
0.0,139.47,-0.059036,-0.077163
0.0,143.15,-0.05977,-0.077946
0.0,146.65,-0.060651,-0.078895
0.0,150.15,-0.061467,-0.079449
0.0,153.65,-0.062385,-0.0807
0.0,157.33,-0.063454,-0.08139
0.0,161.0,-0.064249,-0.082425
0.0,164.5,-0.065235,-0.083405
0.0,168.0,-0.065805,-0.083855
0.0,171.68,-0.066513,-0.08476
0.0,175.18,-0.066966,-0.085136
0.0,178.68,-0.067746,-0.086051
0.0,182.18,-0.068762,-0.086954
0.0,185.68,-0.069612,-0.087912
0.0,189.35,-0.07103,-0.089221
0.0,193.03,-0.071513,-0.089862
0.0,196.53,-0.072006,-0.089973
0.0,200.2,-0.072259,-0.090343
0.0,203.7,-0.072234,-0.090324
0.0,207.2,-0.071439,-0.089766
0.0,210.7,-0.071387,-0.089369
0.0,214.38,-0.071162,-0.089354
0.0,217.88,-0.07042,-0.088547
0.0,221.55,-0.070327,-0.088177
0.0,224.88,-0.069945,-0.087998
0.0,228.73,-0.070192,-0.088278
0.0,232.23,-0.070262,-0.088731
0.0,235.9,-0.070876,-0.089076
0.0,239.4,-0.071578,-0.090099
0.0,243.25,-0.072434,-0.090826
0.0,246.58,-0.073645,-0.091858
0.0,250.25,-0.075299,-0.093035
0.0,253.93,-0.077092,-0.094859
0.0,257.25,-0.079261,-0.097172
0.0,260.93,-0.081633,-0.099508
0.0,264.6,-0.084252,-0.101981
0.0,268.1,-0.086498,-0.104283
0.0,271.6,-0.088987,-0.106954
0.0,275.1,-0.091609,-0.109338
0.0,278.6,-0.093821,-0.111717
0.0,282.1,-0.095614,-0.113288
0.0,285.78,-0.096824,-0.114406
0.0,289.28,-0.097271,-0.115047
0.0,292.78,-0.097866,-0.115765
0.0,296.28,-0.0985,-0.116467
0.0,299.95,-0.098774,-0.116606
0.0,303.45,-0.099295,-0.117591
0.0,306.95,-0.099206,-0.117259
0.0,310.45,-0.099711,-0.117425
0.0,313.95,-0.100155,-0.117918
0.0,317.45,-0.100589,-0.118577
0.0,321.13,-0.10119,-0.119181
0.0,324.63,-0.102099,-0.119883
0.0,329.18,-0.103094,-0.121233
0.0,332.68,-0.104095,-0.121904
0.0,336.18,-0.105136,-0.122933
0.0,339.68,-0.105721,-0.12358
0.0,343.18,-0.106655,-0.12444
0.0,346.85,-0.107613,-0.125466
0.0,350.35,-0.1083,-0.126301
0.0,353.85,-0.109021,-0.127065
0.0,357.53,-0.109394,-0.127182
0.0,361.03,-0.110229,-0.127826
0.0,364.53,-0.11066,-0.128211
0.0,368.2,-0.111738,-0.129049
0.0,371.7,-0.113035,-0.130256
0.0,375.2,-0.114545,-0.131944
0.0,378.88,-0.11655,-0.133879
0.0,382.38,-0.118962,-0.136436
0.0,385.88,-0.121427,-0.138919
0.0,389.55,-0.123981,-0.14176
0.0,393.05,-0.126482,-0.143922
0.0,396.55,-0.128793,-0.146085
0.0,400.05,-0.130777,-0.148137
0.0,403.55,-0.132755,-0.150031
0.0,407.05,-0.134079,-0.151572
0.0,410.55,-0.135962,-0.15294
0.0,414.23,-0.137262,-0.154834
0.0,417.73,-0.139039,-0.156156
0.0,421.23,-0.140574,-0.158066
0.0,424.9,-0.142536,-0.159856
0.0,428.4,-0.144924,-0.162262
0.0,431.9,-0.147527,-0.164751
0.0,435.4,-0.150376,-0.167573
0.0,439.08,-0.1537,-0.170644
0.0,442.58,-0.157135,-0.173913
0.0,446.08,-0.160349,-0.177234
0.0,449.75,-0.162946,-0.179384
0.0,453.25,-0.165493,-0.182274
0.0,456.75,-0.167992,-0.184874
0.0,460.25,-0.171057,-0.187887
0.0,463.75,-0.174138,-0.190885
0.0,467.43,-0.177098,-0.193784
0.0,470.93,-0.180336,-0.196797
0.0,474.43,-0.183174,-0.199816
0.0,477.93,-0.185977,-0.202856
0.0,481.25,-0.188472,-0.205034
0.0,485.1,-0.191365,-0.207887
0.0,488.78,-0.194104,-0.210703
0.0,492.28,-0.196525,-0.21318
0.0,495.43,-0.199015,-0.21554
0.0,499.45,-0.200992,-0.217557
0.0,502.95,-0.203824,-0.220367
0.0,506.45,-0.20679,-0.22309
0.0,509.95,-0.209658,-0.226119
0.0,513.63,-0.212132,-0.228577
0.0,517.13,-0.213666,-0.229994
0.0,520.63,-0.21452,-0.230918
0.0,524.13,-0.213771,-0.229967
0.0,527.63,-0.212733,-0.228836
0.0,531.3,-0.210148,-0.226609
0.0,534.8,-0.207191,-0.223747
0.0,538.3,-0.203734,-0.220111
0.0,541.63,-0.200472,-0.216821
0.0,545.48,-0.197517,-0.213959
0.0,549.15,-0.194585,-0.21122
0.0,552.65,-0.191661,-0.208192
0.0,556.5,-0.188873,-0.206319
0.0,560.0,-0.187188,-0.203811
0.0,563.68,-0.185389,-0.202243
0.0,567.35,-0.184461,-0.201177
0.0,570.68,-0.183839,-0.20053
0.0,574.35,-0.183312,-0.199945
0.0,577.85,-0.183312,-0.199849
0.0,581.35,-0.183873,-0.200305
0.0,584.85,-0.185133,-0.201615
0.0,588.53,-0.186778,-0.203161
0.0,592.03,-0.188103,-0.204899
0.0,595.53,-0.190161,-0.206846
0.0,599.2,-0.192145,-0.208626
0.0,602.7,-0.194132,-0.210632
0.0,606.2,-0.196174,-0.212607
