x,y,z,z2
7.17,0.0,-0.017641,-0.036122
10.85,0.0,-0.017687,-0.036427
14.53,0.0,-0.017364,-0.036251
18.03,0.0,-0.017361,-0.035759
22.05,0.0,-0.016997,-0.035238
25.55,0.0,-0.016587,-0.034711
29.23,0.0,-0.016221,-0.034286
32.73,0.0,-0.01659,-0.034881
36.22,0.0,-0.017019,-0.035343
39.72,0.0,-0.017629,-0.035885
43.4,0.0,-0.018562,-0.036797
46.9,0.0,-0.019788,-0.038239
50.92,0.0,-0.020749,-0.039982
54.6,0.0,-0.02176,-0.039954
58.1,0.0,-0.02282,-0.040497
61.77,0.0,-0.023565,-0.041911
65.27,0.0,-0.024502,-0.042339
68.95,0.0,-0.025253,-0.043294
72.45,0.0,-0.025799,-0.043848
75.95,0.0,-0.026529,-0.044517
79.62,0.0,-0.026917,-0.045065
83.12,0.0,-0.027484,-0.045832
86.62,0.0,-0.028091,-0.046267
90.3,0.0,-0.029101,-0.047256
93.8,0.0,-0.030182,-0.048433
97.3,0.0,-0.03176,-0.049976
100.97,0.0,-0.033288,-0.051529
104.3,0.0,-0.034653,-0.052742
107.97,0.0,-0.036501,-0.054739
111.47,0.0,-0.038291,-0.056587
115.15,0.0,-0.040176,-0.058371
118.65,0.0,-0.041726,-0.059939
122.15,0.0,-0.043084,-0.061288
125.65,0.0,-0.044348,-0.06221
129.32,0.0,-0.045401,-0.063565
132.82,0.0,-0.046199,-0.064193
136.5,0.0,-0.046122,-0.06419
140.0,0.0,-0.046501,-0.064304
143.5,0.0,-0.04647,-0.064474
147.0,0.0,-0.047015,-0.06485
150.68,0.0,-0.046908,-0.064982
154.18,0.0,-0.046898,-0.064979
157.85,0.0,-0.046621,-0.064603
161.35,0.0,-0.045956,-0.064129
164.85,0.0,-0.04485,-0.062779
168.35,0.0,-0.0433,-0.061516
171.85,0.0,-0.041633,-0.059961
175.35,0.0,-0.040222,-0.058257
179.03,0.0,-0.039465,-0.057847
182.53,0.0,-0.039591,-0.057912
186.03,0.0,-0.040293,-0.058642
189.7,0.0,-0.041464,-0.059733
193.2,0.0,-0.043084,-0.061162
196.88,0.0,-0.044532,-0.062952
200.38,0.0,-0.046113,-0.064092
203.88,0.0,-0.047456,-0.065802
207.38,0.0,-0.049388,-0.067533
210.88,0.0,-0.051128,-0.069252
214.03,0.0,-0.053051,-0.071196
218.05,0.0,-0.054884,-0.072819
221.55,0.0,-0.05664,-0.074471
225.05,0.0,-0.058328,-0.076005
228.73,0.0,-0.059874,-0.077484
232.23,0.0,-0.061569,-0.079243
235.73,0.0,-0.063044,-0.080762
239.23,0.0,-0.064828,-0.082622
242.9,0.0,-0.066621,-0.08411
246.4,0.0,-0.068337,-0.08598
249.9,0.0,-0.07034,-0.087866
253.4,0.0,-0.071495,-0.089113
257.08,0.0,-0.07306,-0.090617
260.58,0.0,-0.074572,-0.092188
264.25,0.0,-0.075632,-0.093315
267.75,0.0,-0.076732,-0.094498
271.25,0.0,-0.077903,-0.095435
274.75,0.0,-0.078852,-0.096834
278.25,0.0,-0.080118,-0.097727
281.75,0.0,-0.081104,-0.099036
285.25,0.0,-0.082111,-0.09984
288.93,0.0,-0.082955,-0.100925
292.43,0.0,-0.083235,-0.101054
295.93,0.0,-0.08355,-0.101458
299.6,0.0,-0.084261,-0.102058
303.1,0.0,-0.084351,-0.102256
306.6,0.0,-0.08525,-0.103183
310.1,0.0,-0.086288,-0.10416
313.78,0.0,-0.087364,-0.104853
317.28,0.0,-0.088248,-0.106063
320.78,0.0,-0.08891,-0.106371
324.28,0.0,-0.089409,-0.107117
327.95,0.0,-0.089736,-0.107413
331.45,0.0,-0.090512,-0.108094
334.95,0.0,-0.091412,-0.108864
338.63,0.0,-0.092893,-0.110395
342.13,0.0,-0.094542,-0.111978
345.63,0.0,-0.096495,-0.113981
349.13,0.0,-0.098337,-0.115592
352.8,0.0,-0.101171,-0.118516
356.3,0.0,-0.104323,-0.12163
359.8,0.0,-0.10761,-0.124917
363.3,0.0,-0.1109,-0.128177
366.8,0.0,-0.114421,-0.131556
370.3,0.0,-0.117776,-0.134964
373.98,0.0,-0.12135,-0.138383
377.48,0.0,-0.124332,-0.141448
381.15,0.0,-0.127918,-0.145265
384.83,0.0,-0.131544,-0.148836
388.33,0.0,-0.135188,-0.152314
392.0,0.0,-0.138503,-0.155823
395.33,0.0,-0.142108,-0.159298
399.0,0.0,-0.145971,-0.16314
402.5,0.0,-0.149532,-0.166596
406.18,0.0,-0.153586,-0.170392
409.15,0.0,-0.157508,-0.174397
413.18,0.0,-0.161245,-0.17805
416.68,0.0,-0.164538,-0.181131
420.35,0.0,-0.167505,-0.184021
423.85,0.0,-0.169431,-0.18606
427.53,0.0,-0.17045,-0.187129
431.03,0.0,-0.169825,-0.186864
434.7,0.0,-0.168235,-0.185
438.2,0.0,-0.165724,-0.182625
441.88,0.0,-0.162524,-0.17989
445.38,0.0,-0.159773,-0.177142
448.88,0.0,-0.156726,-0.174027
452.55,0.0,-0.154541,-0.171738
456.05,0.0,-0.152484,-0.169862
459.55,0.0,-0.150709,-0.168208
463.23,0.0,-0.149412,-0.166652
466.73,0.0,-0.148374,-0.165771
470.4,0.0,-0.147354,-0.164535
474.08,0.0,-0.146541,-0.163614
477.58,0.0,-0.146227,-0.163118
481.08,0.0,-0.146492,-0.16367
484.75,0.0,-0.14769,-0.164575
488.25,0.0,-0.149049,-0.165968
491.75,0.0,-0.15155,-0.168281
495.43,0.0,-0.154437,-0.171257
498.75,0.0,-0.157521,-0.174138
502.43,0.0,-0.160626,-0.177631
506.1,0.0,-0.163476,-0.180515
509.6,0.0,-0.166575,-0.183451
513.1,0.0,-0.169301,-0.186174
516.78,0.0,-0.171445,-0.188346
520.28,0.0,-0.17338,-0.190373
523.78,0.0,-0.17431,-0.19118
527.28,0.0,-0.174991,-0.191827
530.78,0.0,-0.175503,-0.192551
534.28,0.0,-0.175703,-0.192696
537.95,0.0,-0.175355,-0.192487
541.45,0.0,-0.174588,-0.191624
545.13,0.0,-0.173781,-0.190755
548.63,0.0,-0.172191,-0.189104
552.13,0.0,-0.170484,-0.187416
555.63,0.0,-0.168962,-0.186029
559.3,0.0,-0.167607,-0.184625
562.8,0.0,-0.166658,-0.1835
566.3,0.0,-0.165956,-0.183001
569.98,0.0,-0.165275,-0.182058
573.48,0.0,-0.164816,-0.181415
577.15,0.0,-0.164803,-0.181667
580.65,0.0,-0.164739,-0.181599
584.15,0.0,-0.165299,-0.182031
587.65,0.0,-0.166097,-0.182825
591.32,0.0,-0.167277,-0.184107
594.82,0.0,-0.168537,-0.185493
598.32,0.0,-0.169843,-0.186528
602.0,0.0,-0.170558,-0.187718
605.5,0.0,-0.171036,-0.187964
609.0,0.0,-0.171193,-0.1883
612.5,0.0,-0.171587,-0.188577
616.0,0.0,-0.171553,-0.188762
619.15,0.0,-0.171901,-0.189113
623.17,0.0,-0.172102,-0.188904
626.67,0.0,-0.171224,-0.188331
630.17,0.0,-0.169498,-0.186735
