x,y,z,z2
0.0,3.85,-0.00981,-0.035796
0.0,7.26,-0.010025,-0.030703
0.0,11.38,-0.009773,-0.02757
0.0,14.92,-0.009893,-0.029304
0.0,18.55,-0.009406,-0.029499
0.0,22.05,-0.008999,-0.029215
0.0,25.68,-0.008849,-0.0285
0.0,29.18,-0.008023,-0.027786
0.0,32.72,-0.007357,-0.027277
0.0,36.22,-0.006828,-0.027579
0.0,39.81,-0.006726,-0.026942
0.0,43.31,-0.006353,-0.026963
0.0,46.9,-0.005635,-0.027206
0.0,50.49,-0.004979,-0.025999
0.0,54.03,-0.004539,-0.025494
0.0,57.57,-0.003812,-0.024717
0.0,61.12,-0.003467,-0.02407
0.0,63.87,-0.003177,-0.023762
0.0,68.16,-0.003202,-0.023741
0.0,71.75,-0.003128,-0.023559
0.0,75.25,-0.003497,-0.024418
0.0,78.4,-0.003356,-0.023488
0.0,82.43,-0.003519,-0.023001
0.0,85.93,-0.003661,-0.023676
0.0,89.47,-0.003158,-0.023251
0.0,93.06,-0.003026,-0.022881
0.0,96.56,-0.002971,-0.023026
0.0,100.06,-0.002971,-0.022567
0.0,103.69,-0.003054,-0.022653
0.0,107.19,-0.002792,-0.022305
0.0,110.73,-0.002706,-0.022194
0.0,114.28,-0.003211,-0.022647
0.0,117.82,-0.003436,-0.023084
0.0,121.36,-0.003849,-0.023319
0.0,124.86,-0.003651,-0.023051
0.0,128.45,-0.003932,-0.024021
0.0,131.99,-0.003658,-0.023922
0.0,135.54,-0.004046,-0.023926
0.0,139.21,-0.003716,-0.025272
0.0,142.71,-0.004412,-0.024422
0.0,146.26,-0.004477,-0.02529
0.0,149.8,-0.004899,-0.02574
0.0,153.52,-0.005469,-0.026076
0.0,157.11,-0.005561,-0.025999
0.0,160.74,-0.006051,-0.026338
0.0,164.28,-0.006017,-0.025641
0.0,167.74,-0.005993,-0.026014
0.0,171.37,-0.005993,-0.025697
0.0,174.87,-0.005977,-0.025484
0.0,178.46,-0.006002,-0.025463
0.0,181.96,-0.006085,-0.025429
0.0,185.5,-0.005996,-0.025641
0.0,189.04,-0.006051,-0.025589
0.0,192.59,-0.006171,-0.025725
0.0,196.18,-0.005983,-0.025752
0.0,199.76,-0.005752,-0.025546
0.0,203.31,-0.005238,-0.025728
0.0,206.85,-0.004899,-0.025386
0.0,210.44,-0.004508,-0.024699
0.0,213.98,-0.004613,-0.025586
0.0,217.53,-0.004727,-0.025235
0.0,221.07,-0.00476,-0.025059
0.0,224.57,-0.004862,-0.025497
0.0,228.16,-0.005167,-0.026372
0.0,231.74,-0.005672,-0.026338
0.0,235.24,-0.005965,-0.026963
0.0,238.74,-0.006005,-0.026778
0.0,242.29,-0.006427,-0.027262
0.0,245.92,-0.006732,-0.027
0.0,249.46,-0.007265,-0.027114
0.0,252.96,-0.007558,-0.027964
0.0,256.46,-0.008044,-0.028602
0.0,260.05,-0.0079,-0.02806
0.0,263.59,-0.008614,-0.02794
0.0,267.14,-0.008738,-0.02859
0.0,270.68,-0.008599,-0.028189
0.0,274.18,-0.009409,-0.028765
0.0,277.77,-0.009064,-0.028131
0.0,281.36,-0.009154,-0.028491
0.0,284.9,-0.009018,-0.028808
0.0,288.49,-0.009033,-0.028849
0.0,292.03,-0.009335,-0.029012
0.0,295.53,-0.010022,-0.029619
0.0,298.94,-0.010189,-0.029492
0.0,302.36,-0.010851,-0.030494
0.0,306.12,-0.011433,-0.031094
0.0,309.57,-0.01208,-0.031572
0.0,313.21,-0.011948,-0.032253
0.0,316.75,-0.012511,-0.032897
0.0,320.34,-0.012022,-0.032253
0.0,323.88,-0.011677,-0.032077
0.0,327.38,-0.011097,-0.031091
0.0,330.88,-0.010072,-0.030487
0.0,334.56,-0.009169,-0.030327
0.0,338.14,-0.008627,-0.029113
0.0,341.64,-0.007669,-0.028617
0.0,345.19,-0.006735,-0.027453
0.0,348.6,-0.006153,-0.026137
0.0,352.41,-0.005574,-0.025592
0.0,355.95,-0.005349,-0.025035
0.0,359.49,-0.005454,-0.025056
0.0,362.95,-0.005219,-0.024622
0.0,366.62,-0.005571,-0.025543
0.0,370.08,-0.006332,-0.025549
0.0,373.67,-0.006609,-0.026353
0.0,377.21,-0.006877,-0.026436
0.0,380.8,-0.007197,-0.026824
0.0,384.34,-0.007117,-0.02672
0.0,387.89,-0.007629,-0.027086
0.0,391.39,-0.007733,-0.027037
0.0,394.97,-0.007709,-0.027662
0.0,398.56,-0.007675,-0.027505
0.0,402.15,-0.007582,-0.02761
0.0,405.61,-0.007625,-0.027641
0.0,409.28,-0.007576,-0.029542
0.0,413.04,-0.007077,-0.027678
0.0,416.59,-0.006898,-0.02729
0.0,420.13,-0.006104,-0.026578
0.0,423.67,-0.00591,-0.025303
0.0,427.26,-0.005216,-0.026048
0.0,430.76,-0.004927,-0.025176
0.0,434.31,-0.004653,-0.024686
0.0,438.07,-0.003929,-0.023402
0.0,441.61,-0.003784,-0.022909
0.0,445.11,-0.003482,-0.022863
0.0,448.66,-0.003386,-0.0231
0.0,452.24,-0.003685,-0.023239
0.0,455.83,-0.003756,-0.023996
0.0,459.37,-0.0044,-0.023879
0.0,462.87,-0.005152,-0.024665
0.0,466.46,-0.005857,-0.026529
0.0,469.92,-0.006698,-0.028439
0.0,473.68,-0.008103,-0.028257
0.0,477.14,-0.009086,-0.029064
0.0,480.72,-0.009422,-0.030179
0.0,483.79,-0.010315,-0.030919
0.0,487.9,-0.010777,-0.031359
0.0,491.49,-0.011458,-0.031538
0.0,495.07,-0.011735,-0.031581
0.0,498.49,-0.011735,-0.031612
0.0,502.16,-0.01155,-0.030608
0.0,505.75,-0.011181,-0.031125
0.0,509.25,-0.010826,-0.030367
0.0,512.84,-0.010873,-0.030312
0.0,516.42,-0.010833,-0.030447
0.0,519.97,-0.010842,-0.03037
0.0,523.6,-0.01131,-0.030857
0.0,527.14,-0.011168,-0.030965
0.0,530.16,-0.011171,-0.031707
0.0,534.36,-0.010537,-0.031387
0.0,537.86,-0.010161,-0.030697
0.0,541.36,-0.009609,-0.030142
0.0,544.69,-0.00908,-0.029514
0.0,548.45,-0.008756,-0.02908
0.0,551.95,-0.00806,-0.02887
0.0,555.54,-0.007447,-0.028759
0.0,559.04,-0.006929,-0.027733
0.0,562.62,-0.006569,-0.027083
0.0,566.17,-0.00598,-0.02668
0.0,569.71,-0.005765,-0.026341
0.0,573.21,-0.005774,-0.025934
0.0,575.75,-0.006101,-0.026492
0.0,580.3,-0.006184,-0.026544
0.0,583.8,-0.006396,-0.026643
0.0,587.34,-0.006479,-0.026689
0.0,590.54,-0.006504,-0.026834
