x,y,z,z2
0.0,3.59,-0.027946,-0.051526
0.0,7.0,-0.02802,-0.046809
0.0,10.54,-0.027798,-0.047345
0.0,14.31,-0.028014,-0.047102
0.0,17.81,-0.028168,-0.047619
0.0,21.52,-0.027746,-0.047724
0.0,25.11,-0.027699,-0.046794
0.0,28.66,-0.02664,-0.046738
0.0,32.16,-0.02594,-0.04545
0.0,35.79,-0.025605,-0.045983
0.0,39.37,-0.024899,-0.044834
0.0,42.87,-0.024169,-0.044286
0.0,46.46,-0.023011,-0.043753
0.0,50.01,-0.021988,-0.042345
0.0,53.55,-0.020457,-0.041116
0.0,57.14,-0.019588,-0.039788
0.0,60.77,-0.018605,-0.038485
0.0,64.27,-0.016951,-0.037225
0.0,67.99,-0.01639,-0.035179
0.0,70.61,-0.015956,-0.035349
0.0,75.12,-0.015543,-0.035229
0.0,78.57,-0.015558,-0.035222
0.0,82.07,-0.016094,-0.035611
0.0,85.62,-0.015839,-0.03541
0.0,89.21,-0.016141,-0.035367
0.0,92.71,-0.015703,-0.03505
0.0,96.43,-0.015263,-0.035894
0.0,100.1,-0.015321,-0.035937
0.0,103.69,-0.015201,-0.035885
0.0,107.23,-0.015796,-0.036168
0.0,110.73,-0.015755,-0.036553
0.0,114.28,-0.01611,-0.036384
0.0,117.82,-0.01607,-0.036714
0.0,121.41,-0.016519,-0.03659
0.0,124.91,-0.016526,-0.037139
0.0,128.36,-0.017019,-0.037012
0.0,132.04,-0.016895,-0.036824
0.0,135.54,-0.016877,-0.037166
0.0,139.08,-0.016439,-0.03716
0.0,142.67,-0.016439,-0.036184
0.0,146.21,-0.016483,-0.036467
0.0,149.8,-0.016661,-0.036304
0.0,153.39,-0.017185,-0.03647
0.0,156.93,-0.017595,-0.036227
0.0,160.52,-0.018007,-0.037145
0.0,164.06,-0.018214,-0.03737
0.0,167.61,-0.018386,-0.037672
0.0,171.24,-0.018812,-0.03802
0.0,174.78,-0.019258,-0.039046
0.0,178.33,-0.019363,-0.039286
0.0,181.91,-0.019252,-0.039092
0.0,185.41,-0.018919,-0.039234
0.0,188.65,-0.01871,-0.038775
0.0,192.5,-0.018232,-0.038371
0.0,196.04,-0.017589,-0.037243
0.0,199.54,-0.016954,-0.036994
0.0,202.87,-0.01627,-0.037428
0.0,206.54,-0.015814,-0.035851
0.0,210.09,-0.015641,-0.035845
0.0,213.63,-0.015469,-0.035527
0.0,217.13,-0.015192,-0.035583
0.0,220.63,-0.015216,-0.035712
0.0,224.18,-0.014967,-0.035269
0.0,227.76,-0.014415,-0.035256
0.0,231.31,-0.014705,-0.03485
0.0,234.85,-0.01415,-0.034874
0.0,238.44,-0.013682,-0.034939
0.0,241.98,-0.013322,-0.03347
0.0,245.57,-0.012527,-0.03294
0.0,249.11,-0.010755,-0.031621
0.0,252.7,-0.00952,-0.029874
0.0,256.24,-0.007521,-0.027863
0.0,259.7,-0.006704,-0.026818
0.0,263.24,-0.005407,-0.026023
0.0,266.7,-0.005213,-0.025389
0.0,270.29,-0.005269,-0.024369
0.0,273.83,-0.005848,-0.025306
0.0,277.46,-0.007052,-0.026051
0.0,281.01,-0.008165,-0.027456
0.0,284.51,-0.009976,-0.029893
0.0,288.05,-0.011553,-0.031319
0.0,291.59,-0.012659,-0.032145
0.0,294.74,-0.013445,-0.033007
0.0,298.72,-0.013864,-0.03363
0.0,302.31,-0.014545,-0.034117
0.0,305.77,-0.014363,-0.033981
0.0,309.36,-0.014428,-0.034924
0.0,312.9,-0.01412,-0.033987
0.0,316.49,-0.013639,-0.034012
0.0,320.07,-0.013362,-0.033842
0.0,323.66,-0.012699,-0.03346
0.0,327.16,-0.012302,-0.033223
0.0,330.71,-0.011446,-0.031621
0.0,334.25,-0.010805,-0.031707
0.0,337.75,-0.010241,-0.031067
0.0,340.81,-0.0098,-0.029733
0.0,344.88,-0.008534,-0.029412
0.0,348.42,-0.007937,-0.028685
0.0,351.92,-0.007632,-0.027746
0.0,355.12,-0.007188,-0.027863
0.0,359.1,-0.007117,-0.027126
0.0,362.64,-0.007089,-0.027863
0.0,366.14,-0.007712,-0.027518
0.0,369.77,-0.007512,-0.026387
0.0,373.32,-0.008356,-0.027262
0.0,376.86,-0.009212,-0.028208
0.0,380.89,-0.010226,-0.031529
0.0,384.34,-0.011057,-0.030765
0.0,387.89,-0.011279,-0.031624
0.0,391.39,-0.012148,-0.032139
0.0,395.02,-0.012376,-0.033195
0.0,398.47,-0.012518,-0.032909
0.0,401.97,-0.012894,-0.033346
0.0,405.61,-0.013023,-0.03371
0.0,409.15,-0.013057,-0.033722
0.0,412.65,-0.012604,-0.0335
0.0,416.32,-0.013091,-0.03224
0.0,419.91,-0.012804,-0.033297
0.0,423.46,-0.012475,-0.032216
0.0,427.04,-0.012019,-0.031991
0.0,430.5,-0.011301,-0.030703
0.0,434.17,-0.010238,-0.029942
0.0,437.76,-0.009844,-0.029357
0.0,441.35,-0.009881,-0.029135
0.0,444.81,-0.009708,-0.029295
0.0,448.39,-0.010124,-0.029763
0.0,452.02,-0.010873,-0.03038
0.0,455.57,-0.010962,-0.030731
0.0,459.02,-0.011316,-0.030685
0.0,462.57,-0.01208,-0.031593
0.0,466.11,-0.012438,-0.03176
0.0,469.66,-0.012401,-0.032142
0.0,473.24,-0.012351,-0.032804
0.0,476.7,-0.012475,-0.032792
0.0,480.33,-0.012561,-0.033239
0.0,483.79,-0.012752,-0.032481
0.0,487.29,-0.012681,-0.032499
0.0,490.87,-0.012567,-0.032881
0.0,494.42,-0.012702,-0.032527
0.0,497.96,-0.012287,-0.033417
0.0,501.46,-0.012755,-0.033885
0.0,505.09,-0.013272,-0.033513
0.0,508.55,-0.012995,-0.033088
0.0,512.22,-0.012789,-0.033319
0.0,515.77,-0.012493,-0.033041
0.0,519.31,-0.012419,-0.032823
0.0,522.77,-0.012049,-0.032471
0.0,526.36,-0.01151,-0.032096
0.0,529.99,-0.010863,-0.03099
0.0,533.49,-0.010229,-0.029683
0.0,537.03,-0.009412,-0.02899
0.0,540.57,-0.008146,-0.027758
0.0,544.07,-0.007287,-0.026994
0.0,547.71,-0.005903,-0.024905
0.0,551.21,-0.004335,-0.023849
0.0,554.75,-0.003562,-0.023399
0.0,558.25,-0.002613,-0.02225
0.0,561.79,-0.002401,-0.021686
0.0,565.38,-0.002059,-0.022006
0.0,568.53,-0.002736,-0.022299
0.0,572.56,-0.002841,-0.022989
0.0,576.14,-0.003568,-0.024187
0.0,579.64,-0.004289,-0.023728
0.0,583.1,-0.004234,-0.024837
0.0,586.82,-0.004354,-0.025497
0.0,590.32,-0.004868,-0.025164
0.0,593.82,-0.005226,-0.025987
0.0,597.41,-0.005629,-0.026523
0.0,600.91,-0.00602,-0.026402
0.0,604.45,-0.006347,-0.026849
0.0,608.04,-0.006658,-0.027601
0.0,611.58,-0.00721,-0.027804
0.0,615.08,-0.007259,-0.02749
0.0,618.67,-0.006982,-0.02761
0.0,622.21,-0.006969,-0.027136
0.0,625.76,-0.007071,-0.027385
0.0,629.3,-0.007416,-0.027662
0.0,632.84,-0.007284,-0.0272
0.0,636.39,-0.007379,-0.026846
0.0,639.89,-0.006985,-0.026926
0.0,643.34,-0.007142,-0.02663
0.0,647.02,-0.006714,-0.026766
0.0,650.52,-0.006113,-0.026353
0.0,654.02,-0.005851,-0.02534
0.0,657.65,-0.00542,-0.024665
0.0,661.15,-0.005072,-0.024569
0.0,664.69,-0.004157,-0.023836
0.0,668.19,-0.004714,-0.023781
0.0,671.74,-0.004551,-0.02415
0.0,675.24,-0.003722,-0.023667
0.0,678.82,-0.003676,-0.023547
0.0,682.41,-0.003959,-0.023251
0.0,685.91,-0.003753,-0.02322
36.09,12.47,-0.019098,-0.041544
36.09,16.06,-0.018467,-0.037675
36.09,19.69,-0.017166,-0.037807
36.09,23.27,-0.01606,-0.036202
36.09,26.82,-0.015259,-0.035568
36.09,30.36,-0.014197,-0.035321
36.09,33.95,-0.013463,-0.034055
36.09,37.71,-0.012136,-0.032786
36.09,41.21,-0.011322,-0.031695
36.09,44.67,-0.010161,-0.030712
36.09,48.26,-0.008577,-0.029283
36.09,51.89,-0.007508,-0.027453
36.09,55.34,-0.006276,-0.026649
36.09,58.84,-0.005278,-0.026073
36.09,62.43,-0.004782,-0.024622
36.09,66.02,-0.005013,-0.024458
36.09,69.52,-0.005216,-0.025179
36.09,73.06,-0.005552,-0.024988
36.09,76.61,-0.006276,-0.026159
36.09,80.19,-0.007656,-0.026248
36.09,83.78,-0.007924,-0.027228
36.09,87.28,-0.0092,-0.028485
36.09,90.78,-0.0107,-0.029837
36.09,94.37,-0.012154,-0.031307
36.09,98.09,-0.013294,-0.034646
36.09,101.67,-0.013984,-0.033796
36.09,105.17,-0.014363,-0.034782
36.09,108.72,-0.014557,-0.034329
36.09,112.22,-0.014727,-0.035272
36.09,115.76,-0.01481,-0.034859
36.09,119.35,-0.014341,-0.034853
36.09,122.89,-0.014659,-0.034958
36.09,126.44,-0.014828,-0.035309
36.09,129.94,-0.014739,-0.035109
36.09,133.52,-0.014696,-0.034865
36.09,137.16,-0.014394,-0.034499
36.09,140.79,-0.014412,-0.033892
36.09,144.33,-0.014819,-0.034526
36.09,147.83,-0.015109,-0.0346
36.09,151.42,-0.015118,-0.034092
36.09,154.92,-0.015377,-0.03501
36.09,158.02,-0.015182,-0.034418
36.09,162.05,-0.015635,-0.035047
36.09,165.64,-0.015851,-0.034865
36.09,169.18,-0.01566,-0.035112
36.09,172.55,-0.015472,-0.03497
36.09,176.36,-0.015142,-0.034791
36.09,179.94,-0.015019,-0.0357
36.09,183.49,-0.015186,-0.03537
36.09,187.07,-0.01554,-0.034995
36.09,190.53,-0.014791,-0.035099
36.09,194.03,-0.014951,-0.034733
36.09,197.62,-0.014385,-0.034751
36.09,201.12,-0.014431,-0.03497
36.09,204.66,-0.014539,-0.034964
36.09,208.21,-0.015001,-0.035306
36.09,211.75,-0.015682,-0.03606
36.09,215.29,-0.016036,-0.036923
36.09,218.31,-0.016781,-0.037206
36.09,222.47,-0.017407,-0.037391
36.09,226.06,-0.017558,-0.037678
36.09,229.6,-0.017456,-0.038103
36.09,233.01,-0.018088,-0.037401
36.09,236.69,-0.018467,-0.038768
36.09,240.23,-0.018279,-0.038004
36.09,243.77,-0.018232,-0.037474
36.09,247.27,-0.018217,-0.038198
36.09,250.86,-0.018004,-0.037419
36.09,254.36,-0.017835,-0.037123
36.09,257.91,-0.016942,-0.036039
36.09,261.45,-0.01704,-0.036905
36.09,265.04,-0.01732,-0.036187
36.09,268.58,-0.017243,-0.03643
36.09,272.08,-0.017259,-0.036341
36.09,275.62,-0.017736,-0.036855
36.09,279.61,-0.017539,-0.040075
36.09,283.11,-0.01765,-0.037823
36.09,286.69,-0.017046,-0.037998
36.09,290.28,-0.016911,-0.037376
36.09,293.82,-0.016421,-0.036532
36.09,297.32,-0.01672,-0.036985
36.09,300.87,-0.0159,-0.036365
36.09,304.41,-0.016735,-0.036791
36.09,308.39,-0.016843,-0.036994
36.09,311.94,-0.017185,-0.034868
36.09,315.52,-0.017478,-0.037376
36.09,319.07,-0.017789,-0.037111
36.09,322.96,-0.018334,-0.041298
36.09,326.55,-0.018448,-0.039107
36.09,330.14,-0.018106,-0.038433
36.09,333.64,-0.017431,-0.037727
36.09,337.05,-0.016963,-0.037915
36.09,340.68,-0.016446,-0.036698
36.09,344.22,-0.015829,-0.036356
36.09,347.77,-0.01525,-0.035377
36.09,351.31,-0.01452,-0.03424
36.09,354.86,-0.013134,-0.033528
36.09,358.44,-0.012351,-0.031547
36.09,361.99,-0.011489,-0.030564
36.09,365.44,-0.010771,-0.030167
36.09,368.81,-0.010373,-0.029227
36.09,372.66,-0.009797,-0.029529
36.09,376.25,-0.009459,-0.029178
36.09,379.84,-0.009378,-0.02859
36.09,383.25,-0.009295,-0.029505
36.09,386.88,-0.009998,-0.029043
36.09,390.38,-0.010053,-0.029326
36.09,393.97,-0.009958,-0.029739
36.09,397.51,-0.009619,-0.029859
36.09,401.19,-0.00948,-0.029884
36.09,404.69,-0.009218,-0.029668
36.09,408.27,-0.00891,-0.029406
36.09,411.82,-0.008199,-0.029372
36.09,415.41,-0.008319,-0.028771
36.09,418.99,-0.00789,-0.028602
36.09,422.58,-0.007937,-0.02842
36.09,426.17,-0.00793,-0.028094
36.09,429.67,-0.008426,-0.028275
36.09,433.26,-0.008698,-0.028417
36.09,436.8,-0.008867,-0.028929
36.09,440.3,-0.009723,-0.028907
36.09,443.93,-0.009471,-0.02843
36.09,447.43,-0.00964,-0.029043
36.09,450.97,-0.009656,-0.029603
36.09,454.47,-0.009425,-0.029049
36.09,458.24,-0.009437,-0.029933
36.09,461.87,-0.009123,-0.02867
36.09,465.41,-0.009101,-0.029271
36.09,468.91,-0.009301,-0.029104
36.09,472.41,-0.009603,-0.029422
36.09,475.96,-0.009539,-0.029465
36.09,479.5,-0.009449,-0.029203
36.09,483.04,-0.009203,-0.030176
36.09,486.59,-0.0094,-0.029905
36.09,490.22,-0.009237,-0.03001
36.09,493.81,-0.00904,-0.029727
36.09,497.35,-0.008648,-0.029431
36.09,500.89,-0.008849,-0.029443
36.09,504.39,-0.008587,-0.029403
36.09,507.94,-0.008633,-0.028796
36.09,511.52,-0.008448,-0.028165
36.09,515.07,-0.008316,-0.028436
36.09,518.04,-0.008405,-0.027049
36.09,521.81,-0.008343,-0.028337
36.09,525.83,-0.008885,-0.027299
36.09,529.42,-0.008935,-0.028245
36.09,532.74,-0.009486,-0.028969
36.09,536.55,-0.009194,-0.028463
36.09,540.09,-0.008448,-0.028396
36.09,543.64,-0.008088,-0.027961
36.09,547.22,-0.007598,-0.027949
36.09,550.77,-0.007191,-0.027203
36.09,554.36,-0.006547,-0.02721
36.09,557.9,-0.006298,-0.026695
36.09,561.4,-0.005789,-0.026048
36.09,564.99,-0.005654,-0.026205
36.09,568.49,-0.005407,-0.02599
36.09,572.07,-0.005497,-0.026412
36.09,575.62,-0.005065,-0.026005
36.09,579.25,-0.005182,-0.026023
36.09,582.75,-0.00525,-0.025266
36.09,586.29,-0.005136,-0.0259
36.09,589.84,-0.005278,-0.025047
36.09,593.03,-0.005065,-0.025817
36.09,597.01,-0.004536,-0.023975
36.09,600.51,-0.004576,-0.024446
36.09,604.1,-0.004609,-0.023889
36.09,607.82,-0.004502,-0.023725
36.09,611.32,-0.005158,-0.024409
36.09,614.91,-0.005001,-0.024622
36.09,618.41,-0.005078,-0.024776
36.09,621.91,-0.004828,-0.024748
36.09,625.49,-0.003972,-0.024557
36.09,628.99,-0.004107,-0.024338
36.09,632.62,-0.003426,-0.023128
36.09,636.08,-0.003106,-0.023223
36.09,639.76,-0.002749,-0.023778
36.09,643.26,-0.003051,-0.023331
36.09,646.84,-0.002783,-0.023966
36.09,650.56,-0.002773,-0.02432
36.09,654.15,-0.003162,-0.023171
36.09,657.61,-0.002853,-0.023574
36.09,661.19,-0.002447,-0.023112
36.09,664.82,-0.001985,-0.021652
36.09,668.32,-0.001578,-0.021621
36.09,671.96,-0.000638,-0.019597
36.09,675.54,-0.000401,-0.019271
36.09,679.13,-0.000247,-0.019954
36.09,682.72,1.8e-05,-0.020112
36.09,686.31,-0.000487,-0.020811
72.32,12.38,-0.005728,-0.029357
72.32,15.92,-0.005081,-0.025001
72.32,20.04,-0.004563,-0.027434
72.32,23.58,-0.004144,-0.024526
72.32,27.08,-0.003861,-0.024696
72.32,30.62,-0.004628,-0.024896
72.32,34.26,-0.004998,-0.02525
72.32,37.76,-0.005786,-0.025703
72.32,41.3,-0.006868,-0.026523
72.32,44.76,-0.007327,-0.028011
72.32,48.12,-0.007579,-0.025931
72.32,52.11,-0.007502,-0.026988
72.32,55.61,-0.007629,-0.027046
72.32,59.19,-0.007721,-0.027003
72.32,62.43,-0.007379,-0.02753
72.32,66.32,-0.00785,-0.027632
72.32,69.87,-0.008306,-0.028787
72.32,73.46,-0.008805,-0.028322
72.32,76.96,-0.008479,-0.028738
72.32,80.46,-0.009135,-0.028799
72.32,84.0,-0.009502,-0.029569
72.32,87.59,-0.009243,-0.029594
72.32,91.13,-0.009483,-0.030287
72.32,94.41,-0.008926,-0.030352
72.32,98.35,-0.008698,-0.029141
72.32,101.89,-0.008547,-0.028713
72.32,105.17,-0.007564,-0.027715
72.32,108.81,-0.007582,-0.027394
72.32,112.66,-0.007102,-0.027083
72.32,116.2,-0.006655,-0.026101
72.32,119.79,-0.006113,-0.025497
72.32,123.07,-0.005491,-0.025438
72.32,126.83,-0.004807,-0.024252
72.32,130.42,-0.003907,-0.023125
72.32,133.96,-0.003772,-0.022934
72.32,137.46,-0.00387,-0.023442
72.32,141.01,-0.003202,-0.022404
72.32,144.51,-0.003232,-0.022792
72.32,148.01,-0.003574,-0.023325
72.32,151.59,-0.004113,-0.023393
72.32,155.05,-0.004449,-0.023895
72.32,158.64,-0.005275,-0.025182
72.32,162.18,-0.005494,-0.025426
72.32,165.72,-0.006273,-0.026276
72.32,169.22,-0.006954,-0.029009
72.32,173.38,-0.006871,-0.027468
72.32,176.88,-0.007203,-0.027835
72.32,180.51,-0.007598,-0.02725
72.32,183.79,-0.008312,-0.027702
72.32,187.64,-0.0092,-0.028479
72.32,191.14,-0.009412,-0.02907
72.32,194.64,-0.010355,-0.029576
72.32,198.19,-0.010398,-0.029776
72.32,201.73,-0.010259,-0.029409
72.32,205.19,-0.009511,-0.029252
72.32,208.82,-0.008651,-0.027638
72.32,212.41,-0.007357,-0.026972
72.32,215.95,-0.006529,-0.026051
72.32,219.49,-0.005062,-0.024699
72.32,223.12,-0.004206,-0.023932
72.32,226.58,-0.00351,-0.023223
72.32,230.17,-0.003374,-0.023544
72.32,233.71,-0.004129,-0.024594
72.32,237.08,-0.005595,-0.025035
72.32,240.76,-0.007271,-0.027598
72.32,244.39,-0.0083,-0.028885
72.32,247.93,-0.009548,-0.029936
72.32,251.47,-0.010139,-0.030296
72.32,255.02,-0.010608,-0.031008
72.32,258.47,-0.010648,-0.031227
72.32,262.06,-0.010531,-0.031328
72.32,265.65,-0.010771,-0.031421
72.32,269.24,-0.011304,-0.030943
72.32,272.78,-0.011036,-0.03102
72.32,276.59,-0.011079,-0.028993
72.32,280.09,-0.011094,-0.030728
72.32,283.63,-0.011162,-0.030164
72.32,287.09,-0.011298,-0.030817
72.32,290.72,-0.011895,-0.031596
72.32,294.31,-0.01261,-0.032354
72.32,297.94,-0.012946,-0.032179
72.32,301.52,-0.013001,-0.032878
72.32,304.98,-0.012823,-0.032391
72.32,308.57,-0.012428,-0.032644
72.32,312.07,-0.011627,-0.03164
72.32,315.61,-0.011292,-0.031501
72.32,319.2,-0.010873,-0.030429
72.32,322.7,-0.010414,-0.030774
72.32,326.29,-0.010278,-0.030469
72.32,329.79,-0.009982,-0.030192
72.32,333.24,-0.009739,-0.030367
72.32,336.83,-0.010417,-0.030906
72.32,340.37,-0.010207,-0.030614
72.32,344.01,-0.010546,-0.03107
72.32,347.55,-0.010518,-0.031048
72.32,351.05,-0.010139,-0.03058
72.32,354.64,-0.010176,-0.030201
72.32,358.18,-0.008839,-0.029169
72.32,361.77,-0.007998,-0.028239
72.32,365.4,-0.007703,-0.025755
72.32,368.9,-0.006889,-0.027866
72.32,372.44,-0.006341,-0.025962
72.32,376.07,-0.006116,-0.025321
72.32,379.57,-0.006008,-0.025469
72.32,383.07,-0.005688,-0.024742
72.32,386.66,-0.00464,-0.024489
72.32,390.16,-0.004036,-0.023694
72.32,393.75,-0.003695,-0.022718
72.32,397.29,-0.002749,-0.022564
72.32,400.79,-0.001825,-0.021911
72.32,404.42,-0.000916,-0.020703
72.32,407.92,0.000403,-0.019748
72.32,411.42,0.001598,-0.018011
72.32,414.92,0.003912,-0.016359
72.32,418.51,0.005994,-0.013547
72.32,422.06,0.008712,-0.011658
72.32,425.56,0.01161,-0.00899
72.32,429.14,0.013681,-0.006926
72.32,432.69,0.015582,-0.005561
72.32,436.19,0.01711,-0.003426
72.32,439.82,0.01841,-0.003032
72.32,443.41,0.019075,-0.002512
72.32,446.82,0.019707,-0.001674
72.32,450.45,0.019716,-0.001446
72.32,454.17,0.019898,-0.001017
72.32,457.71,0.019956,-0.000112
72.32,461.26,0.019959,-0.000377
72.32,464.76,0.020015,-0.000654
72.32,468.34,0.019861,-0.000293
72.32,471.89,0.019876,3e-05
72.32,475.43,0.019793,-0.000124
72.32,478.93,0.019817,0.000169
72.32,482.47,0.01995,0.000147
72.32,485.97,0.020101,0.00011
72.32,489.47,0.020261,0.0006
72.32,493.02,0.01999,0.000153
72.32,496.52,0.020816,0.000378
72.32,500.02,0.0208,0.000868
72.32,503.69,0.019891,-4.7e-05
72.32,507.24,0.018425,-0.001227
72.32,510.78,0.017618,-0.002287
72.32,514.28,0.015649,-0.004508
72.32,517.82,0.013471,-0.007083
72.32,521.32,0.010942,-0.009138
72.32,524.96,0.009124,-0.010943
72.32,528.41,0.007316,-0.012336
72.32,531.96,0.006302,-0.014073
72.32,535.54,0.00552,-0.014092
72.32,539.09,0.004636,-0.016353
72.32,542.63,0.003554,-0.016932
72.32,546.13,0.002806,-0.017949
72.32,549.76,0.002103,-0.018571
72.32,553.26,0.001383,-0.019046
72.32,556.76,0.00113,-0.01915
72.32,560.39,0.000578,-0.019794
72.32,563.98,0.000819,-0.019844
72.32,567.48,0.00044,-0.02046
72.32,571.02,9e-06,-0.020315
72.32,574.52,-0.000438,-0.020715
72.32,578.07,-2.2e-05,-0.020432
72.32,581.74,9e-06,-0.020093
72.32,585.29,0.000261,-0.019942
72.32,588.83,-2.2e-05,-0.019807
72.32,592.46,-9e-05,-0.018956
72.32,596.05,0.000175,-0.019258
72.32,599.59,0.000391,-0.019283
72.32,603.09,0.000578,-0.019095
72.32,606.68,0.000874,-0.018805
72.32,610.27,0.0015,-0.018473
72.32,613.77,0.001595,-0.018402
72.32,617.36,0.002076,-0.01826
72.32,620.68,0.002615,-0.017505
72.32,624.49,0.003243,-0.017003
72.32,627.99,0.003752,-0.016763
72.32,631.53,0.004704,-0.015817
72.32,635.07,0.005203,-0.015216
72.32,638.62,0.005514,-0.015075
72.32,642.12,0.005776,-0.014921
72.32,645.71,0.006496,-0.014579
72.32,649.25,0.00698,-0.013849
72.32,652.79,0.007676,-0.01338
72.32,656.34,0.007775,-0.013251
72.32,659.88,0.008416,-0.012616
72.32,663.42,0.009041,-0.011914
72.32,666.88,0.009605,-0.009847
72.32,670.69,0.010566,-0.009046
72.32,674.23,0.011724,-0.008325
72.32,677.82,0.012646,-0.006988
72.32,681.71,0.013699,-0.007016
72.32,685.26,0.014315,-0.005247
108.46,12.42,-0.005346,-0.03163
108.46,16.27,-0.005715,-0.024508
108.46,19.91,-0.006433,-0.025281
108.46,23.54,-0.006982,-0.026064
108.46,27.04,-0.007459,-0.026698
108.46,31.11,-0.007505,-0.030515
108.46,34.69,-0.007752,-0.027866
108.46,38.28,-0.007604,-0.027934
108.46,41.78,-0.007552,-0.028235
108.46,45.37,-0.007746,-0.028248
108.46,48.87,-0.008411,-0.028476
108.46,52.41,-0.007921,-0.028337
108.46,55.91,-0.007542,-0.027647
108.46,59.67,-0.007059,-0.025654
108.46,63.17,-0.00647,-0.026097
108.46,66.72,-0.005146,-0.024631
108.46,70.31,-0.003842,-0.023744
108.46,73.81,-0.002693,-0.022003
108.46,77.39,-0.001757,-0.021319
108.46,80.89,-0.001439,-0.021002
108.46,84.48,-0.001412,-0.021079
108.46,88.02,-0.001701,-0.021618
108.46,91.52,-0.002231,-0.022102
108.46,95.07,-0.002444,-0.022049
108.46,98.66,-0.002967,-0.022696
108.46,102.16,-0.002983,-0.023162
108.46,105.35,-0.002937,-0.023158
108.46,109.24,-0.003004,-0.022638
108.46,112.79,-0.002955,-0.022912
108.46,116.2,-0.003685,-0.0231
108.46,120.22,-0.003753,-0.024532
108.46,123.81,-0.003935,-0.024551
108.46,127.36,-0.004502,-0.023984
108.46,130.9,-0.004945,-0.02473
108.46,134.75,-0.005099,-0.024089
108.46,138.34,-0.005281,-0.025068
108.46,141.92,-0.005226,-0.025062
108.46,145.51,-0.005592,-0.025885
108.46,149.76,-0.006338,-0.026128
108.46,153.26,-0.006784,-0.026282
108.46,156.8,-0.007034,-0.027006
108.46,160.26,-0.007656,-0.027126
108.46,163.97,-0.00773,-0.027376
108.46,167.43,-0.007524,-0.027062
108.46,171.02,-0.006994,-0.026923
108.46,174.52,-0.00732,-0.026747
108.46,178.02,-0.006658,-0.026424
108.46,181.56,-0.0068,-0.026415
108.46,185.15,-0.007096,-0.027006
108.46,188.69,-0.007262,-0.027025
108.46,192.19,-0.007641,-0.027216
108.46,195.78,-0.007733,-0.028165
108.46,199.28,-0.007046,-0.028026
108.46,202.87,-0.007111,-0.02753
