x,y,z
0.0,1.0,0.040000794
0.0,2.0,0.032580123
0.0,3.0,0.021978282
0.0,4.0,0.010691456
0.0,5.0,-0.000382469
0.0,6.0,-0.018948032
0.0,7.0,-0.028275554
0.0,8.0,-0.037177274
0.0,9.0,-0.0329532
0.0,10.0,-0.039732083
0.0,11.0,-0.054869636
0.0,12.0,-0.066955611
0.0,13.0,-0.066276797
0.0,14.0,-0.07263605
0.0,15.0,-0.08963417
0.0,16.0,-0.091334291
0.0,17.0,-0.0887116
0.0,18.0,-0.087347801
0.0,19.0,-0.090325326
0.0,20.0,-0.087273749
0.0,21.0,-0.089458296
0.0,22.0,-0.095493569
0.0,23.0,-0.086394376
0.0,24.0,-0.077767267
0.0,25.0,-0.076906407
0.0,26.0,-0.067165426
0.0,27.0,-0.050229016
0.0,28.0,-0.049429867
0.0,29.0,-0.039451301
0.0,30.0,-0.027044432
0.0,31.0,-0.023437461
0.0,32.0,-0.010614047
0.0,33.0,0.003317068
0.0,34.0,0.025079228
0.0,35.0,0.044243382
0.0,36.0,0.064268395
0.0,37.0,0.083049945
0.0,38.0,0.097487085
0.0,39.0,0.107027507
0.0,40.0,0.118431583
0.0,41.0,0.123402353
0.0,42.0,0.128570596
0.0,43.0,0.142183902
0.0,44.0,0.149394759
0.0,45.0,0.157275172
0.0,46.0,0.159123398
0.0,47.0,0.166340425
0.0,48.0,0.167469725
0.0,49.0,0.178188815
0.0,50.0,0.18712139
0.0,51.0,0.185470638
0.0,52.0,0.185594059
0.0,53.0,0.194683996
0.0,54.0,0.196041624
0.0,55.0,0.205668441
0.0,56.0,0.194239681
0.0,57.0,0.187337377
0.0,58.0,0.179620496
0.0,59.0,0.179404509
0.0,60.0,0.176895983
0.0,61.0,0.164368779
0.0,62.0,0.158318077
0.0,63.0,0.153088124
0.0,64.0,0.13662997
0.0,65.0,0.115845919
0.0,66.0,0.119289357
0.0,67.0,0.111461397
0.0,68.0,0.10114651
0.0,69.0,0.091732593
0.0,70.0,0.08340478
0.0,71.0,0.079186876
0.0,72.0,0.074752986
0.0,73.0,0.068112951
0.0,74.0,0.063179207
0.0,75.0,0.058581785
0.0,76.0,0.051380186
0.0,77.0,0.04083697
0.0,78.0,0.039982281
0.0,79.0,0.039186217
0.0,80.0,0.033823587
0.0,81.0,0.037300966
0.0,82.0,0.035551477
0.0,83.0,0.034570282
0.0,84.0,0.033909981
0.0,85.0,0.030407918
0.0,86.0,0.039479342
0.0,87.0,0.039985367
0.0,88.0,0.034931288
0.0,89.0,0.031534132
0.0,90.0,0.027007677
0.0,91.0,0.031534132
0.0,92.0,0.036424679
0.0,93.0,0.038954803
0.0,94.0,0.029164454
0.0,95.0,0.030182675
0.0,96.0,0.0282172
0.0,97.0,0.024027066
0.0,98.0,0.025316813
0.0,99.0,0.028877501
0.0,100.0,0.029568657
0.0,101.0,0.025560569
0.0,102.0,0.015511036
0.0,103.0,0.025384694
0.0,104.0,0.02318472
0.0,105.0,0.014017645
0.0,106.0,0.008340291
0.0,107.0,0.000873337
0.0,108.0,-0.00354204
0.0,109.0,0.003897145
0.0,110.0,0.01776655
0.0,111.0,0.01702294
0.0,112.0,0.008435942
0.0,113.0,0.004332203
0.0,114.0,-0.00208876
0.0,115.0,-0.00041641
0.0,116.0,0.002882009
0.0,117.0,0.005513957
0.0,118.0,0.004292091
