x,y,z
0.0,0.0,0.009457249
0.0,1.0,0.017390116
0.0,2.0,0.018852652
0.0,3.0,0.008725981
0.0,4.0,-0.005883948
0.0,5.0,-0.022264964
0.0,6.0,-0.029571472
0.0,7.0,-0.03501124
0.0,8.0,-0.053527435
0.0,9.0,-0.060509963
0.0,10.0,-0.074367026
0.0,11.0,-0.090032202
0.0,12.0,-0.101683119
0.0,13.0,-0.100714266
0.0,14.0,-0.113081023
0.0,15.0,-0.122945425
0.0,16.0,-0.1341366
0.0,17.0,-0.135133222
0.0,18.0,-0.128391365
0.0,19.0,-0.129607059
0.0,20.0,-0.114984788
0.0,21.0,-0.098616114
0.0,22.0,-0.0923124
0.0,23.0,-0.090001347
0.0,24.0,-0.074259033
0.0,25.0,-0.074404052
0.0,26.0,-0.055585476
0.0,27.0,-0.032798924
0.0,28.0,-0.01545214
0.0,29.0,-0.003366165
0.0,30.0,0.006970321
0.0,31.0,0.013443738
0.0,32.0,0.025144024
0.0,33.0,0.044496394
0.0,34.0,0.059541381
0.0,35.0,0.077307796
0.0,36.0,0.094728632
0.0,37.0,0.113257169
0.0,38.0,0.125984932
0.0,39.0,0.1417797
0.0,40.0,0.159916376
0.0,41.0,0.170903906
0.0,42.0,0.173579051
0.0,43.0,0.181092288
0.0,44.0,0.200611276
0.0,45.0,0.210614527
0.0,46.0,0.209367977
0.0,47.0,0.212814501
0.0,48.0,0.20929701
0.0,49.0,0.209429688
0.0,50.0,0.220003759
0.0,51.0,0.223715637
0.0,52.0,0.227868745
0.0,53.0,0.220596178
0.0,54.0,0.206769971
0.0,55.0,0.194899982
0.0,56.0,0.196026196
0.0,57.0,0.197680034
0.0,58.0,0.200133021
0.0,59.0,0.18985516
0.0,60.0,0.177380409
0.0,61.0,0.168012776
0.0,62.0,0.161125899
0.0,63.0,0.146083998
0.0,64.0,0.138607787
0.0,65.0,0.128005946
0.0,66.0,0.12439589
0.0,67.0,0.109011496
0.0,68.0,0.091390101
0.0,69.0,0.087270934
0.0,70.0,0.072519071
0.0,71.0,0.067347743
0.0,72.0,0.064521408
0.0,73.0,0.061368008
0.0,74.0,0.05614114
0.0,75.0,0.049248092
0.0,76.0,0.049794229
0.0,77.0,0.059951755
0.0,78.0,0.067063875
0.0,79.0,0.059313053
0.0,80.0,0.061895632
0.0,81.0,0.059362421
0.0,82.0,0.050238544
0.0,83.0,0.054336112
0.0,84.0,0.053740607
0.0,85.0,0.047902806
0.0,86.0,0.0374429
0.0,87.0,0.048004629
0.0,88.0,0.060260307
0.0,89.0,0.055252511
0.0,90.0,0.039831091
0.0,91.0,0.038831383
0.0,92.0,0.029164454
0.0,93.0,0.023271114
0.0,94.0,0.021265527
0.0,95.0,0.024067178
0.0,96.0,0.024977406
0.0,97.0,0.024739821
0.0,98.0,0.030876917
0.0,99.0,0.024369559
0.0,100.0,0.026625073
1.0,0.0,-0.091189271
1.0,1.0,-0.034789083
1.0,2.0,-0.014313584
1.0,3.0,-0.045727245
1.0,4.0,-0.067702306
1.0,5.0,-0.070044215
1.0,6.0,-0.085798871
1.0,7.0,-0.09311772
1.0,8.0,-0.108428062
1.0,9.0,-0.125882839
1.0,10.0,-0.132063132
1.0,11.0,-0.148542885
1.0,12.0,-0.160736853
1.0,13.0,-0.170718505
1.0,14.0,-0.158697325
1.0,15.0,-0.158438142
1.0,16.0,-0.161647081
1.0,17.0,-0.171832377
1.0,18.0,-0.172017508
1.0,19.0,-0.17676612
1.0,20.0,-0.181274063
1.0,21.0,-0.164485758
1.0,22.0,-0.156879955
1.0,23.0,-0.15152041
1.0,24.0,-0.1442571
1.0,25.0,-0.125228709
1.0,26.0,-0.104858117
1.0,27.0,-0.098415555
1.0,28.0,-0.081312527
1.0,29.0,-0.070362023
1.0,30.0,-0.060260036
1.0,31.0,-0.037072367
1.0,32.0,-0.019179446
1.0,33.0,-0.006186329
1.0,34.0,0.009589926
1.0,35.0,0.032469044
1.0,36.0,0.037695912
1.0,37.0,0.056792185
1.0,38.0,0.068890502
1.0,39.0,0.095317966
1.0,40.0,0.125864596
1.0,41.0,0.146102511
1.0,42.0,0.151394175
1.0,43.0,0.15339359
1.0,44.0,0.160339092
1.0,45.0,0.171885101
1.0,46.0,0.178241269
1.0,47.0,0.189336793
1.0,48.0,0.190407467
1.0,49.0,0.197559699
1.0,50.0,0.199012978
1.0,51.0,0.195294928
1.0,52.0,0.194983291
1.0,53.0,0.191931713
1.0,54.0,0.18807173
1.0,55.0,0.177074943
1.0,56.0,0.177617994
1.0,57.0,0.166945187
1.0,58.0,0.167278423
1.0,59.0,0.155781781
1.0,60.0,0.148604866
1.0,61.0,0.13365553
1.0,62.0,0.123158597
1.0,63.0,0.097440802
1.0,64.0,0.092488545
1.0,65.0,0.090748313
1.0,66.0,0.087928149
1.0,67.0,0.078304418
1.0,68.0,0.062136302
1.0,69.0,0.053197556
1.0,70.0,0.048661844
1.0,71.0,0.046196515
1.0,72.0,0.048942626
1.0,73.0,0.055780135
1.0,74.0,0.044286579
1.0,75.0,0.02854735
1.0,76.0,0.021463
1.0,77.0,0.015760963
1.0,78.0,0.017871457
1.0,79.0,0.012153992
1.0,80.0,0.011863953
1.0,81.0,0.020679279
1.0,82.0,0.021894973
1.0,83.0,0.019034698
