x,y,z
0.0,0.0,0.013045707
0.0,1.0,0.018744659
0.0,2.0,0.026267152
0.0,3.0,0.014529841
0.0,4.0,-0.006180158
0.0,5.0,-0.026958038
0.0,6.0,-0.034566926
0.0,7.0,-0.05379279
0.0,8.0,-0.063398008
0.0,9.0,-0.0785911
0.0,10.0,-0.087989589
0.0,11.0,-0.086641217
0.0,12.0,-0.08314224
0.0,13.0,-0.082944767
0.0,14.0,-0.098927751
0.0,15.0,-0.111288337
0.0,16.0,-0.109091448
0.0,17.0,-0.114990959
0.0,18.0,-0.124923242
0.0,19.0,-0.127073849
0.0,20.0,-0.12071151
0.0,21.0,-0.128730772
0.0,22.0,-0.137678775
0.0,23.0,-0.137490558
0.0,24.0,-0.128338911
0.0,25.0,-0.11990619
0.0,26.0,-0.106172548
0.0,27.0,-0.092361768
0.0,28.0,-0.071546862
0.0,29.0,-0.055165846
0.0,30.0,-0.040808929
0.0,31.0,-0.020907336
0.0,32.0,-0.011413197
0.0,33.0,0.00904996
0.0,34.0,0.030892344
0.0,35.0,0.045412793
0.0,36.0,0.059390191
0.0,37.0,0.072744314
0.0,38.0,0.090686603
0.0,39.0,0.108804766
0.0,40.0,0.122390303
0.0,41.0,0.134047391
0.0,42.0,0.146966456
0.0,43.0,0.163612827
0.0,44.0,0.186936259
0.0,45.0,0.201388827
0.0,46.0,0.207436443
0.0,47.0,0.213190934
0.0,48.0,0.216640544
0.0,49.0,0.223326862
0.0,50.0,0.222836264
0.0,51.0,0.232163786
0.0,52.0,0.230019351
0.0,53.0,0.219186096
0.0,54.0,0.217476719
0.0,55.0,0.214995962
0.0,56.0,0.214650384
0.0,57.0,0.217905606
0.0,58.0,0.216125262
0.0,59.0,0.195671362
0.0,60.0,0.183199697
0.0,61.0,0.173029829
0.0,62.0,0.160690841
0.0,63.0,0.15044692
0.0,64.0,0.139980842
0.0,65.0,0.132683592
0.0,66.0,0.122291566
0.0,67.0,0.120847544
0.0,68.0,0.105142256
0.0,69.0,0.091852929
0.0,70.0,0.083969429
0.0,71.0,0.084521737
0.0,72.0,0.075981023
0.0,73.0,0.072920189
0.0,74.0,0.058202266
0.0,75.0,0.054660091
0.0,76.0,0.055092064
0.0,77.0,0.055104406
0.0,78.0,0.051744277
0.0,79.0,0.050652003
0.0,80.0,0.042247051
0.0,81.0,0.051633198
0.0,82.0,0.055801733
0.0,83.0,0.039902058
0.0,84.0,0.037328735
0.0,85.0,0.030852233
0.0,86.0,0.026856486
0.0,87.0,0.026291837
0.0,88.0,0.032916444
0.0,89.0,0.03232711
0.0,90.0,0.0270879
0.0,91.0,0.028982408
0.0,92.0,0.023885132
0.0,93.0,0.016566283
