x,y,z
0.0,0.0,0.027078644
0.0,1.0,0.031564987
0.0,2.0,0.036221034
0.0,3.0,0.028670771
0.0,4.0,0.005109754
0.0,5.0,-0.008423329
0.0,6.0,-0.015254667
0.0,7.0,-0.028685928
0.0,8.0,-0.03929394
0.0,9.0,-0.048353021
0.0,10.0,-0.057554037
0.0,11.0,-0.072463261
0.0,12.0,-0.080763305
0.0,13.0,-0.077927714
0.0,14.0,-0.09454323
0.0,15.0,-0.112960688
0.0,16.0,-0.115287169
0.0,17.0,-0.115287169
0.0,18.0,-0.115638918
0.0,19.0,-0.115657431
0.0,20.0,-0.126842435
0.0,21.0,-0.120267195
0.0,22.0,-0.115027985
0.0,23.0,-0.110989042
0.0,24.0,-0.11475646
0.0,25.0,-0.083284174
0.0,26.0,-0.092241433
0.0,27.0,-0.084228342
0.0,28.0,-0.069593729
0.0,29.0,-0.051639098
0.0,30.0,-0.030546495
0.0,31.0,-0.011175612
0.0,32.0,-0.00155188
0.0,33.0,0.019099493
0.0,34.0,0.032518412
0.0,35.0,0.042651254
0.0,36.0,0.052713129
0.0,37.0,0.068865818
0.0,38.0,0.082349532
0.0,39.0,0.092590367
0.0,40.0,0.105836497
0.0,41.0,0.112868393
0.0,42.0,0.12633051
0.0,43.0,0.145722992
0.0,44.0,0.164569337
0.0,45.0,0.190114343
0.0,46.0,0.195689875
0.0,47.0,0.19688397
0.0,48.0,0.201043249
0.0,49.0,0.201364143
0.0,50.0,0.214215326
0.0,51.0,0.205020482
0.0,52.0,0.202619949
0.0,53.0,0.208072059
0.0,54.0,0.198439071
0.0,55.0,0.179003392
0.0,56.0,0.176701595
0.0,57.0,0.18173099
0.0,58.0,0.175380993
0.0,59.0,0.175532184
0.0,60.0,0.163736248
0.0,61.0,0.155497914
0.0,62.0,0.150196993
0.0,63.0,0.142841118
0.0,64.0,0.138635556
0.0,65.0,0.125099388
0.0,66.0,0.123522688
0.0,67.0,0.105608169
0.0,68.0,0.093188958
