x,y,z
0.0,1.0,0.030256728
0.0,2.0,0.038393239
0.0,3.0,0.02973836
0.0,4.0,0.014893932
0.0,5.0,0.003249186
0.0,6.0,-0.02009276
0.0,7.0,-0.032471859
0.0,8.0,-0.040056063
0.0,9.0,-0.039735169
0.0,10.0,-0.041793209
0.0,11.0,-0.04867083
0.0,12.0,-0.055986593
0.0,13.0,-0.067643681
0.0,14.0,-0.083074358
0.0,15.0,-0.094182224
0.0,16.0,-0.104151534
0.0,17.0,-0.10924881
0.0,18.0,-0.114879881
0.0,19.0,-0.120082064
0.0,20.0,-0.117925287
0.0,21.0,-0.109751749
0.0,22.0,-0.111229712
0.0,23.0,-0.108233674
0.0,24.0,-0.091855743
0.0,25.0,-0.08102866
0.0,26.0,-0.064943853
0.0,27.0,-0.057609576
0.0,28.0,-0.053564462
0.0,29.0,-0.045690219
0.0,30.0,-0.024002111
0.0,31.0,-0.017642858
0.0,32.0,-0.00089775
0.0,33.0,0.01627933
0.0,34.0,0.029071888
0.0,35.0,0.04286107
0.0,36.0,0.054400908
0.0,37.0,0.06596543
0.0,38.0,0.082997491
0.0,39.0,0.098779917
0.0,40.0,0.10222027
0.0,41.0,0.113158432
0.0,42.0,0.128366952
0.0,43.0,0.143578557
0.0,44.0,0.150360526
0.0,45.0,0.155732413
0.0,46.0,0.165053764
0.0,47.0,0.180715855
0.0,48.0,0.184773311
0.0,49.0,0.1979855
0.0,50.0,0.202768054
0.0,51.0,0.211234716
0.0,52.0,0.211771596
0.0,53.0,0.212185055
0.0,54.0,0.203406756
0.0,55.0,0.19631932
0.0,56.0,0.196683412
0.0,57.0,0.19527333
0.0,58.0,0.195828723
0.0,59.0,0.181218794
0.0,60.0,0.163736248
0.0,61.0,0.149675541
0.0,62.0,0.138826859
0.0,63.0,0.137666704
0.0,64.0,0.126210174
0.0,65.0,0.111088049
0.0,66.0,0.102112277
0.0,67.0,0.086826619
0.0,68.0,0.07429633
0.0,69.0,0.05929454
0.0,70.0,0.047918234
0.0,71.0,0.042719136
0.0,72.0,0.03482638
0.0,73.0,0.0327128
0.0,74.0,0.021888802
0.0,75.0,0.023181634
0.0,76.0,0.027800655
0.0,77.0,0.024594801
0.0,78.0,0.020086859
0.0,79.0,0.025727187
0.0,80.0,0.018988415
0.0,81.0,0.021327238
0.0,82.0,0.024011639
0.0,83.0,0.022404084
0.0,84.0,0.027828425
0.0,85.0,0.024175171
0.0,86.0,0.022558359
0.0,87.0,0.02988338
0.0,88.0,0.030645503
0.0,89.0,0.026618901
0.0,90.0,0.020626825
0.0,91.0,0.021935085
0.0,92.0,0.026510908
0.0,93.0,0.025542056
0.0,94.0,0.019093322
0.0,95.0,0.014023816
0.0,96.0,0.012388491
0.0,97.0,0.016211448
0.0,98.0,0.013249351
0.0,99.0,0.016489145
0.0,100.0,0.014301513
1.0,0.0,-0.098316819
1.0,1.0,-0.053351561
1.0,2.0,-0.02988928
1.0,3.0,-0.036958202
1.0,4.0,-0.05638154
1.0,5.0,-0.08400927
1.0,6.0,-0.095385576
1.0,7.0,-0.111371646
1.0,8.0,-0.116629369
1.0,9.0,-0.126324068
1.0,10.0,-0.127076934
1.0,11.0,-0.138332905
1.0,12.0,-0.138055208
1.0,13.0,-0.138940752
1.0,14.0,-0.147648085
1.0,15.0,-0.151048326
1.0,16.0,-0.153127965
1.0,17.0,-0.148404036
1.0,18.0,-0.149851145
1.0,19.0,-0.155846307
1.0,20.0,-0.153868489
1.0,21.0,-0.150678063
1.0,22.0,-0.143436352
1.0,23.0,-0.136919738
1.0,24.0,-0.132424137
1.0,25.0,-0.128200063
1.0,26.0,-0.115083525
1.0,27.0,-0.101837395
1.0,28.0,-0.089859413
1.0,29.0,-0.073243897
1.0,30.0,-0.065224635
1.0,31.0,-0.044530064
1.0,32.0,-0.026325506
1.0,33.0,-0.016516644
1.0,34.0,0.004714807
1.0,35.0,0.018806369
1.0,36.0,0.037717511
1.0,37.0,0.055076636
1.0,38.0,0.07763486
1.0,39.0,0.080720379
1.0,40.0,0.096799014
1.0,41.0,0.112226606
1.0,42.0,0.124648902
1.0,43.0,0.141853752
1.0,44.0,0.147524935
1.0,45.0,0.153927385
1.0,46.0,0.166559497
1.0,47.0,0.171558036
1.0,48.0,0.178327663
1.0,49.0,0.182104338
1.0,50.0,0.184264201
1.0,51.0,0.191126393
1.0,52.0,0.196442741
1.0,53.0,0.185155915
1.0,54.0,0.175174264
1.0,55.0,0.171422274
1.0,56.0,0.169484568
1.0,57.0,0.172246107
1.0,58.0,0.160246526
1.0,59.0,0.145716821
1.0,60.0,0.138999648
1.0,61.0,0.131421615
1.0,62.0,0.117169606
1.0,63.0,0.103374254
1.0,64.0,0.091658541
1.0,65.0,0.089248751
1.0,66.0,0.084231698
1.0,67.0,0.072787511
1.0,68.0,0.063031102
1.0,69.0,0.062845971
1.0,70.0,0.055881957
1.0,71.0,0.051454238
1.0,72.0,0.036190179
1.0,73.0,0.024468295
1.0,74.0,0.029880294
1.0,75.0,0.030059254
1.0,76.0,0.024570117
1.0,77.0,0.027806826
1.0,78.0,0.02717738
1.0,79.0,0.029673565
1.0,80.0,0.027285373
1.0,81.0,0.021753039
1.0,82.0,0.017896141
1.0,83.0,0.018602725
1.0,84.0,0.014681031
1.0,85.0,0.020284332
1.0,86.0,0.025770384
1.0,87.0,0.033036779
1.0,88.0,0.037908813
1.0,89.0,0.03532932
1.0,90.0,0.03449623
1.0,91.0,0.030210445
1.0,92.0,0.021919657
1.0,93.0,0.021771552
1.0,94.0,0.019411131
1.0,95.0,0.015566575
1.0,96.0,0.005035701
1.0,97.0,0.000648094
1.0,98.0,0.007664563
1.0,99.0,0.009901564
1.0,100.0,0.003335581
2.0,0.0,-0.12660485
2.0,1.0,-0.068393462
2.0,2.0,-0.045270589
2.0,3.0,-0.050880061
2.0,4.0,-0.075764766
2.0,5.0,-0.0947839
2.0,6.0,-0.099807124
2.0,7.0,-0.109464796
2.0,8.0,-0.11925206
2.0,9.0,-0.126614107
2.0,10.0,-0.1309832
2.0,11.0,-0.141097529
2.0,12.0,-0.150486761
2.0,13.0,-0.153914772
2.0,14.0,-0.162659131
2.0,15.0,-0.1804564
2.0,16.0,-0.183455524
2.0,17.0,-0.187827703
2.0,18.0,-0.190169612
2.0,19.0,-0.196365332
2.0,20.0,-0.194850343
2.0,21.0,-0.177154896
2.0,22.0,-0.180440973
2.0,23.0,-0.175309756
2.0,24.0,-0.161659423
2.0,25.0,-0.154877454
2.0,26.0,-0.147950465
2.0,27.0,-0.14720377
2.0,28.0,-0.134457494
2.0,29.0,-0.108316983
2.0,30.0,-0.093975494
2.0,31.0,-0.08314224
2.0,32.0,-0.064626045
2.0,33.0,-0.05123181
2.0,34.0,-0.031944235
2.0,35.0,-0.02295612
2.0,36.0,-0.002304747
2.0,37.0,0.017741865
2.0,38.0,0.036992414
2.0,39.0,0.052586623
2.0,40.0,0.071895796
2.0,41.0,0.08935983
2.0,42.0,0.097943742
2.0,43.0,0.103324885
2.0,44.0,0.112075415
2.0,45.0,0.124790836
2.0,46.0,0.14362484
2.0,47.0,0.153603406
2.0,48.0,0.152989387
2.0,49.0,0.162070068
2.0,50.0,0.161702891
2.0,51.0,0.160823518
2.0,52.0,0.160792663
2.0,53.0,0.164507627
2.0,54.0,0.171440787
2.0,55.0,0.173677787
2.0,56.0,0.167491323
2.0,57.0,0.160166303
2.0,58.0,0.153915043
2.0,59.0,0.148715945
2.0,60.0,0.129798632
2.0,61.0,0.12451931
2.0,62.0,0.122205172
2.0,63.0,0.109406442
2.0,64.0,0.103414366
2.0,65.0,0.094352198
2.0,66.0,0.090044815
2.0,67.0,0.069143514
2.0,68.0,0.055641286
2.0,69.0,0.049676979
2.0,70.0,0.056508317
2.0,71.0,0.053061793
2.0,72.0,0.037344163
2.0,73.0,0.021648132
2.0,74.0,0.026723809
2.0,75.0,0.018491646
2.0,76.0,0.017874543
2.0,77.0,0.017149446
2.0,78.0,0.014847649
2.0,79.0,0.016328698
2.0,80.0,0.016853236
2.0,81.0,0.019528381
2.0,82.0,0.01413798
2.0,83.0,0.012002801
2.0,84.0,0.005884219
2.0,85.0,0.004508078
2.0,86.0,0.015853528
2.0,87.0,0.008667356
2.0,88.0,0.009913906
2.0,89.0,0.002490149
2.0,90.0,-0.009259505
2.0,91.0,-0.014236446
2.0,92.0,-0.014032802
2.0,93.0,-0.001465486
2.0,94.0,-0.001465486
2.0,95.0,0.012897602
2.0,96.0,0.01521174
2.0,97.0,0.012638418
2.0,98.0,0.002113715
2.0,99.0,-0.005624764
2.0,100.0,-0.006442427
3.0,0.0,-0.110544727
3.0,1.0,-0.049136743
3.0,2.0,-0.022693851
3.0,3.0,-0.046220928
3.0,4.0,-0.071241396
3.0,5.0,-0.078418311
3.0,6.0,-0.081047173
3.0,7.0,-0.094765387
3.0,8.0,-0.108023859
3.0,9.0,-0.119647006
3.0,10.0,-0.134321731
3.0,11.0,-0.139014804
3.0,12.0,-0.15026769
3.0,13.0,-0.16444256
3.0,14.0,-0.177188836
3.0,15.0,-0.181570272
3.0,16.0,-0.181141385
3.0,17.0,-0.182125666
3.0,18.0,-0.184995198
3.0,19.0,-0.186778627
3.0,20.0,-0.191524154
3.0,21.0,-0.189003286
3.0,22.0,-0.181561016
3.0,23.0,-0.164063042
3.0,24.0,-0.153362464
3.0,25.0,-0.152331901
3.0,26.0,-0.150369512
3.0,27.0,-0.138166287
3.0,28.0,-0.115173005
3.0,29.0,-0.079754341
3.0,30.0,-0.058769731
3.0,31.0,-0.043240318
3.0,32.0,-0.033292607
3.0,33.0,-0.018250705
3.0,34.0,0.011796072
3.0,35.0,0.031654467
3.0,36.0,0.043410292
3.0,37.0,0.03970767
3.0,38.0,0.050639661
3.0,39.0,0.072247546
3.0,40.0,0.095950497
3.0,41.0,0.107481079
3.0,42.0,0.116919679
3.0,43.0,0.123226478
3.0,44.0,0.142480112
3.0,45.0,0.157815138
3.0,46.0,0.16250204
3.0,47.0,0.170373197
3.0,48.0,0.175057014
3.0,49.0,0.183613156
3.0,50.0,0.191863832
3.0,51.0,0.188988129
3.0,52.0,0.189787278
3.0,53.0,0.188479019
3.0,54.0,0.181515004
3.0,55.0,0.186994884
3.0,56.0,0.18649503
3.0,57.0,0.180589348
3.0,58.0,0.17747606
3.0,59.0,0.171629003
3.0,60.0,0.157210376
3.0,61.0,0.146574595
3.0,62.0,0.129706067
3.0,63.0,0.120267466
3.0,64.0,0.115256585
3.0,65.0,0.104497382
3.0,66.0,0.095555551
3.0,67.0,0.073892127
3.0,68.0,0.063416792
3.0,69.0,0.058597213
3.0,70.0,0.04726719
3.0,71.0,0.038127885
3.0,72.0,0.047705333
3.0,73.0,0.039923656
3.0,74.0,0.033178713
3.0,75.0,0.032003131
3.0,76.0,0.028862073
3.0,77.0,0.031052791
3.0,78.0,0.035227497
3.0,79.0,0.028791106
