x,y,z
0.0,0.0,0.02610362
0.0,1.0,0.021746868
0.0,2.0,0.014600808
0.0,3.0,0.013903481
0.0,4.0,0.005881133
0.0,5.0,-0.009969174
0.0,6.0,-0.017143004
0.0,7.0,-0.040003609
0.0,8.0,-0.054437663
0.0,9.0,-0.059920629
0.0,10.0,-0.080201741
0.0,11.0,-0.091902026
0.0,12.0,-0.091667527
0.0,13.0,-0.096193982
0.0,14.0,-0.098214996
0.0,15.0,-0.099554111
0.0,16.0,-0.108273786
0.0,17.0,-0.112028862
0.0,18.0,-0.116212824
0.0,19.0,-0.116706507
0.0,20.0,-0.118165957
0.0,21.0,-0.109292007
0.0,22.0,-0.106410133
0.0,23.0,-0.104676072
0.0,24.0,-0.102065723
0.0,25.0,-0.094179139
0.0,26.0,-0.076014693
0.0,27.0,-0.05620258
0.0,28.0,-0.046294981
0.0,29.0,-0.03155546
0.0,30.0,-0.022320504
0.0,31.0,0.002869667
0.0,32.0,0.02339762
0.0,33.0,0.039723098
0.0,34.0,0.055786306
0.0,35.0,0.060874325
0.0,36.0,0.074416665
0.0,37.0,0.098489878
0.0,38.0,0.115562051
0.0,39.0,0.129024167
0.0,40.0,0.147237981
0.0,41.0,0.168555827
0.0,42.0,0.174939764
0.0,43.0,0.182560994
0.0,44.0,0.180533809
0.0,45.0,0.194613029
0.0,46.0,0.206319485
0.0,47.0,0.205588217
0.0,48.0,0.207411759
0.0,49.0,0.216862701
0.0,50.0,0.219139813
0.0,51.0,0.213280414
0.0,52.0,0.200981539
0.0,53.0,0.201833142
0.0,54.0,0.200416889
0.0,55.0,0.195649763
0.0,56.0,0.196310064
0.0,57.0,0.186041459
0.0,58.0,0.18214445
0.0,59.0,0.165433283
0.0,60.0,0.149765021
0.0,61.0,0.148169808
0.0,62.0,0.143649524
0.0,63.0,0.132591026
0.0,64.0,0.116367371
0.0,65.0,0.100072749
0.0,66.0,0.091781962
0.0,67.0,0.075064624
0.0,68.0,0.067588413
0.0,69.0,0.069819243
0.0,70.0,0.062691695
0.0,71.0,0.055280281
0.0,72.0,0.050253971
0.0,73.0,0.055974522
0.0,74.0,0.057955425
0.0,75.0,0.056104114
0.0,76.0,0.05256811
0.0,77.0,0.048772923
0.0,78.0,0.042768504
0.0,79.0,0.03104662
0.0,80.0,0.022663267
0.0,81.0,0.028683113
0.0,82.0,0.021441402
0.0,83.0,0.018321943
0.0,84.0,0.022684866
0.0,85.0,0.01973511
0.0,86.0,0.017951681
0.0,87.0,0.027942589
0.0,88.0,0.036217949
0.0,89.0,0.031475507
0.0,90.0,0.028346792
0.0,91.0,0.017279038
0.0,92.0,0.012163248
0.0,93.0,0.01443419
0.0,94.0,0.017550563
0.0,95.0,0.015665312
0.0,96.0,0.010015728
0.0,97.0,-0.002421996
0.0,98.0,0.005572581
0.0,99.0,0.005510871
0.0,100.0,0.010589634
1.0,0.0,-0.09806072
1.0,1.0,-0.05709738
1.0,2.0,-0.044440584
1.0,3.0,-0.065977502
1.0,4.0,-0.08612285
1.0,5.0,-0.079924044
1.0,6.0,-0.087110216
1.0,7.0,-0.097767596
1.0,8.0,-0.104981538
1.0,9.0,-0.117172421
1.0,10.0,-0.126034029
1.0,11.0,-0.132572242
1.0,12.0,-0.145019223
1.0,13.0,-0.155340282
1.0,14.0,-0.159675435
1.0,15.0,-0.165877326
1.0,16.0,-0.166429634
1.0,17.0,-0.168182209
1.0,18.0,-0.168262432
1.0,19.0,-0.16375449
1.0,20.0,-0.15762048
