x,y,z
0.0,1.0,0.025711759
0.0,2.0,0.024378815
0.0,3.0,0.010194688
0.0,4.0,-0.008512809
0.0,5.0,-0.018562342
0.0,6.0,-0.023591737
0.0,7.0,-0.042678753
0.0,8.0,-0.053252824
0.0,9.0,-0.06445017
0.0,10.0,-0.077344551
0.0,11.0,-0.085595227
0.0,12.0,-0.083089786
0.0,13.0,-0.093972409
0.0,14.0,-0.086770809
0.0,15.0,-0.090470346
0.0,16.0,-0.101059844
0.0,17.0,-0.113244556
0.0,18.0,-0.119400165
0.0,19.0,-0.105595556
0.0,20.0,-0.098801245
0.0,21.0,-0.104179303
0.0,22.0,-0.111936296
0.0,23.0,-0.100094077
0.0,24.0,-0.09629889
0.0,25.0,-0.089313276
0.0,26.0,-0.076965032
0.0,27.0,-0.064564334
0.0,28.0,-0.04983407
0.0,29.0,-0.045384753
0.0,30.0,-0.032083083
0.0,31.0,-0.011894537
0.0,32.0,0.005014103
0.0,33.0,0.013925079
0.0,34.0,0.030898515
0.0,35.0,0.049926906
0.0,36.0,0.068810278
0.0,37.0,0.07682954
0.0,38.0,0.086070667
0.0,39.0,0.090242288
0.0,40.0,0.097703071
0.0,41.0,0.115133164
0.0,42.0,0.134596613
0.0,43.0,0.150064316
0.0,44.0,0.16077415
0.0,45.0,0.176177057
0.0,46.0,0.184640634
0.0,47.0,0.190290218
0.0,48.0,0.188222921
0.0,49.0,0.190182225
0.0,50.0,0.191530596
0.0,51.0,0.200021942
0.0,52.0,0.203082776
0.0,53.0,0.204798325
0.0,54.0,0.201253064
0.0,55.0,0.195955229
0.0,56.0,0.1831565
0.0,57.0,0.188571584
0.0,58.0,0.187053509
0.0,59.0,0.172563915
0.0,60.0,0.170607697
0.0,61.0,0.16372082
0.0,62.0,0.150718446
0.0,63.0,0.135781452
0.0,64.0,0.128977884
0.0,65.0,0.126108352
0.0,66.0,0.118039722
0.0,67.0,0.111628015
0.0,68.0,0.099464902
0.0,69.0,0.082528492
0.0,70.0,0.07784159
0.0,71.0,0.074660421
0.0,72.0,0.072000704
0.0,73.0,0.066838632
0.0,74.0,0.059235915
0.0,75.0,0.054132468
0.0,76.0,0.036745572
0.0,77.0,0.041182548
0.0,78.0,0.044555019
0.0,79.0,0.045585582
0.0,80.0,0.044462454
0.0,81.0,0.042024894
0.0,82.0,0.040593214
0.0,83.0,0.034076599
0.0,84.0,0.031416882
0.0,85.0,0.029133599
0.0,86.0,0.033808159
0.0,87.0,0.030136392
0.0,88.0,0.024900268
0.0,89.0,0.02029976
0.0,90.0,0.023533383
0.0,91.0,0.014782853
0.0,92.0,0.021604934
0.0,93.0,0.023030444
0.0,94.0,0.030340037
0.0,95.0,0.028818876
0.0,96.0,0.028482555
0.0,97.0,0.03021353
0.0,98.0,0.029744531
0.0,99.0,0.012835891
0.0,100.0,0.001478099
1.0,0.0,-0.104352092
1.0,1.0,-0.061219632
1.0,2.0,-0.042256037
1.0,3.0,-0.038463935
1.0,4.0,-0.055421944
1.0,5.0,-0.074135612
1.0,6.0,-0.076033206
1.0,7.0,-0.086971368
1.0,8.0,-0.103907778
1.0,9.0,-0.114213409
1.0,10.0,-0.130307472
1.0,11.0,-0.136265608
1.0,12.0,-0.14422933
1.0,13.0,-0.152066547
1.0,14.0,-0.153498227
1.0,15.0,-0.152041863
1.0,16.0,-0.154889796
1.0,17.0,-0.171101109
1.0,18.0,-0.17983004
1.0,19.0,-0.172816657
1.0,20.0,-0.16679064
1.0,21.0,-0.166000747
1.0,22.0,-0.158083307
1.0,23.0,-0.148345412
1.0,24.0,-0.133578121
1.0,25.0,-0.13125164
1.0,26.0,-0.116296133
1.0,27.0,-0.10633608
1.0,28.0,-0.093339878
1.0,29.0,-0.071806046
1.0,30.0,-0.052789997
1.0,31.0,-0.042086334
1.0,32.0,-0.035236483
1.0,33.0,-0.016661663
1.0,34.0,-0.00464357
1.0,35.0,0.019704255
1.0,36.0,0.031463165
1.0,37.0,0.048473627
1.0,38.0,0.060158485
1.0,39.0,0.071041108
1.0,40.0,0.091467239
1.0,41.0,0.09698106
1.0,42.0,0.116216181
1.0,43.0,0.136861383
1.0,44.0,0.145170684
1.0,45.0,0.155538026
1.0,46.0,0.160055224
1.0,47.0,0.165905367
1.0,48.0,0.174470766
1.0,49.0,0.179095957
1.0,50.0,0.181968575
1.0,51.0,0.186652392
1.0,52.0,0.180573921
1.0,53.0,0.174961363
1.0,54.0,0.182024114
1.0,55.0,0.176238768
1.0,56.0,0.159259161
1.0,57.0,0.149243568
1.0,58.0,0.161619582
1.0,59.0,0.16237862
1.0,60.0,0.150360526
1.0,61.0,0.134775573
1.0,62.0,0.1255869
1.0,63.0,0.112201922
1.0,64.0,0.094398481
1.0,65.0,0.077749025
1.0,66.0,0.068504812
1.0,67.0,0.061275443
1.0,68.0,0.060436182
1.0,69.0,0.056847724
1.0,70.0,0.055221656
1.0,71.0,0.040966561
1.0,72.0,0.034403664
1.0,73.0,0.035085564
1.0,74.0,0.040074847
1.0,75.0,0.031345915
1.0,76.0,0.022598471
1.0,77.0,0.021746868
1.0,78.0,0.02839616
1.0,79.0,0.027936418
1.0,80.0,0.035292293
1.0,81.0,0.036332113
1.0,82.0,0.035224412
1.0,83.0,0.024246138
1.0,84.0,0.016529257
1.0,85.0,0.01821395
1.0,86.0,0.030068511
1.0,87.0,0.025977114
1.0,88.0,0.026242468
1.0,89.0,0.02357658
1.0,90.0,0.022039992
1.0,91.0,0.016640335
1.0,92.0,0.013801659
1.0,93.0,0.013175298
1.0,94.0,0.013419054
1.0,95.0,0.019010013
1.0,96.0,0.023255687
1.0,97.0,0.021731441
1.0,98.0,0.009031447
1.0,99.0,-0.000959461
1.0,100.0,-0.00333531
2.0,0.0,-0.108082484
2.0,1.0,-0.054354354
2.0,2.0,-0.026695769
2.0,3.0,-0.048177147
2.0,4.0,-0.076122686
2.0,5.0,-0.09017105
2.0,6.0,-0.096434652
2.0,7.0,-0.104389118
2.0,8.0,-0.115182261
2.0,9.0,-0.127197269
2.0,10.0,-0.128487016
2.0,11.0,-0.14297661
2.0,12.0,-0.152211566
2.0,13.0,-0.158175873
2.0,14.0,-0.175769498
2.0,15.0,-0.181119787
2.0,16.0,-0.180135506
2.0,17.0,-0.182980354
2.0,18.0,-0.179610968
2.0,19.0,-0.181440681
2.0,20.0,-0.186639779
2.0,21.0,-0.183690023
2.0,22.0,-0.177605381
2.0,23.0,-0.167722466
2.0,24.0,-0.154463994
2.0,25.0,-0.148425635
2.0,26.0,-0.134537717
2.0,27.0,-0.123488477
2.0,28.0,-0.113426601
2.0,29.0,-0.099029573
2.0,30.0,-0.074910077
2.0,31.0,-0.058461179
2.0,32.0,-0.044418985
2.0,33.0,-0.034819938
2.0,34.0,-0.017031925
2.0,35.0,0.007686161
2.0,36.0,0.029516203
2.0,37.0,0.041383106
2.0,38.0,0.053678897
2.0,39.0,0.066721382
2.0,40.0,0.07462648
2.0,41.0,0.088650161
2.0,42.0,0.108391306
2.0,43.0,0.119452889
2.0,44.0,0.127475237
2.0,45.0,0.137447632
2.0,46.0,0.143445879
2.0,47.0,0.15371757
2.0,48.0,0.160616789
2.0,49.0,0.171835733
2.0,50.0,0.172613284
2.0,51.0,0.178290637
2.0,52.0,0.173884517
2.0,53.0,0.17491508
2.0,54.0,0.174492364
2.0,55.0,0.170505875
2.0,56.0,0.167849243
2.0,57.0,0.163742419
2.0,58.0,0.157667033
2.0,59.0,0.15205139
2.0,60.0,0.148200663
2.0,61.0,0.129727665
2.0,62.0,0.11820634
2.0,63.0,0.114997401
2.0,64.0,0.0985917
2.0,65.0,0.079310297
2.0,66.0,0.073447812
2.0,67.0,0.062833629
2.0,68.0,0.056122627
2.0,69.0,0.050281741
2.0,70.0,0.043669475
2.0,71.0,0.035403372
2.0,72.0,0.026686783
2.0,73.0,0.015862785
2.0,74.0,0.012530425
2.0,75.0,0.020080688
2.0,76.0,0.016834723
2.0,77.0,0.010271826
2.0,78.0,0.006235968
2.0,79.0,0.006726565
2.0,80.0,0.012277413
2.0,81.0,0.014761255
2.0,82.0,0.021432145
2.0,83.0,0.016337955
2.0,84.0,0.018099786
2.0,85.0,0.017430228
2.0,86.0,0.009574499
2.0,87.0,0.006917867
2.0,88.0,0.012234215
2.0,89.0,0.013357344
2.0,90.0,0.020858239
2.0,91.0,0.011743618
2.0,92.0,0.002301932
2.0,93.0,0.002755503
2.0,94.0,0.005338082
2.0,95.0,3.221e-06
2.0,96.0,-0.003523526
2.0,97.0,-0.007630351
2.0,98.0,-0.010249956
2.0,99.0,-0.004082005
2.0,100.0,0.0010091
3.0,0.0,-0.114503447
3.0,1.0,-0.047208294
3.0,2.0,-0.027047518
3.0,3.0,-0.052669661
3.0,4.0,-0.080266537
3.0,5.0,-0.089439782
3.0,6.0,-0.103068517
3.0,7.0,-0.121232963
3.0,8.0,-0.142479841
3.0,9.0,-0.144673645
3.0,10.0,-0.148650878
3.0,11.0,-0.155800024
3.0,12.0,-0.168012505
3.0,13.0,-0.176115076
3.0,14.0,-0.185254381
3.0,15.0,-0.187732052
3.0,16.0,-0.191971554
3.0,17.0,-0.205365789
3.0,18.0,-0.206019919
3.0,19.0,-0.206272931
3.0,20.0,-0.204211805
3.0,21.0,-0.194640528
3.0,22.0,-0.180823577
3.0,23.0,-0.171894087
3.0,24.0,-0.167744065
3.0,25.0,-0.15622274
3.0,26.0,-0.143346872
3.0,27.0,-0.137317769
3.0,28.0,-0.118483766
3.0,29.0,-0.093972409
3.0,30.0,-0.073756093
3.0,31.0,-0.068242272
3.0,32.0,-0.046251783
3.0,33.0,-0.033190785
3.0,34.0,-0.008626974
3.0,35.0,0.002493234
3.0,36.0,0.025736443
3.0,37.0,0.046008298
3.0,38.0,0.070957799
3.0,39.0,0.085789885
3.0,40.0,0.100267137
3.0,41.0,0.118416155
3.0,42.0,0.129092049
3.0,43.0,0.143248406
3.0,44.0,0.154322331
3.0,45.0,0.156556247
3.0,46.0,0.167503665
3.0,47.0,0.175859249
3.0,48.0,0.183677952
3.0,49.0,0.190950519
3.0,50.0,0.2027156
3.0,51.0,0.199148741
3.0,52.0,0.206066473
3.0,53.0,0.203502407
3.0,54.0,0.195942887
3.0,55.0,0.192548817
3.0,56.0,0.165988676
3.0,57.0,0.163791787
3.0,58.0,0.16452614
3.0,59.0,0.158821017
3.0,60.0,0.150804841
3.0,61.0,0.139471732
3.0,62.0,0.127271593
3.0,63.0,0.112124784
3.0,64.0,0.089757862
3.0,65.0,0.084521737
3.0,66.0,0.079233159
3.0,67.0,0.072087099
3.0,68.0,0.061266186
3.0,69.0,0.056323186
3.0,70.0,0.058655838
3.0,71.0,0.052055914
3.0,72.0,0.040796858
3.0,73.0,0.037162117
3.0,74.0,0.036282745
3.0,75.0,0.02696448
3.0,76.0,0.027991957
3.0,77.0,0.020565115
3.0,78.0,0.01362887
3.0,79.0,0.005689831
3.0,80.0,-0.001061283
3.0,81.0,-0.003434046
3.0,82.0,-0.004625056
3.0,83.0,0.002838812
3.0,84.0,0.006112547
3.0,85.0,0.003869375
3.0,86.0,0.002104459
3.0,87.0,0.003539225
3.0,88.0,0.002554945
3.0,89.0,-0.002937278
3.0,90.0,0.000370398
3.0,91.0,-8.9345e-05
3.0,92.0,-0.004982977
3.0,93.0,-0.014057486
3.0,94.0,-0.012243201
3.0,95.0,-0.00967605
3.0,96.0,-0.002918765
3.0,97.0,-0.000758902
3.0,98.0,0.009370854
3.0,99.0,0.002487063
3.0,100.0,0.003674988
4.0,0.0,-0.104907486
