x,y,z
0.0,1.0,0.004307519
0.0,2.0,-0.006383802
0.0,3.0,-0.011734091
0.0,4.0,-0.017719996
0.0,5.0,-0.022703108
0.0,6.0,-0.023261587
0.0,7.0,-0.037479655
0.0,8.0,-0.043428534
0.0,9.0,-0.060000853
0.0,10.0,-0.063472061
0.0,11.0,-0.075502496
0.0,12.0,-0.081587138
0.0,13.0,-0.090643135
0.0,14.0,-0.096912908
0.0,15.0,-0.102991379
0.0,16.0,-0.113321694
0.0,17.0,-0.121998171
0.0,18.0,-0.119289086
0.0,19.0,-0.12160631
0.0,20.0,-0.124636289
0.0,21.0,-0.114852111
0.0,22.0,-0.113263069
0.0,23.0,-0.108918659
0.0,24.0,-0.103022234
0.0,25.0,-0.096024278
0.0,26.0,-0.091087449
0.0,27.0,-0.078572587
0.0,28.0,-0.063382581
0.0,29.0,-0.043372995
0.0,30.0,-0.029219723
0.0,31.0,-0.016458019
0.0,32.0,-0.007553213
0.0,33.0,0.007821924
0.0,34.0,0.024042494
0.0,35.0,0.034422177
0.0,36.0,0.05310499
0.0,37.0,0.067421795
0.0,38.0,0.0826334
0.0,39.0,0.092704532
0.0,40.0,0.104071581
0.0,41.0,0.119267758
0.0,42.0,0.137716072
0.0,43.0,0.147725493
0.0,44.0,0.152696263
0.0,45.0,0.162801336
0.0,46.0,0.173696301
0.0,47.0,0.180077152
0.0,48.0,0.184338253
0.0,49.0,0.191126393
0.0,50.0,0.192459337
0.0,51.0,0.198152118
0.0,52.0,0.202277456
0.0,53.0,0.203409841
0.0,54.0,0.193816965
0.0,55.0,0.195035745
0.0,56.0,0.194563661
0.0,57.0,0.207340792
0.0,58.0,0.19113565
0.0,59.0,0.187843402
0.0,60.0,0.172286219
0.0,61.0,0.156056393
0.0,62.0,0.132668164
0.0,63.0,0.125929392
0.0,64.0,0.127231481
0.0,65.0,0.120181072
0.0,66.0,0.103880279
0.0,67.0,0.096172654
0.0,68.0,0.083991028
0.0,69.0,0.082759906
0.0,70.0,0.084996907
0.0,71.0,0.080127959
0.0,72.0,0.078486463
0.0,73.0,0.07415131
0.0,74.0,0.059393276
0.0,75.0,0.045360339
0.0,76.0,0.041086897
0.0,77.0,0.048856232
0.0,78.0,0.051654797
0.0,79.0,0.050183004
0.0,80.0,0.04092645
0.0,81.0,0.03884681
0.0,82.0,0.03822045
0.0,83.0,0.040574701
0.0,84.0,0.034382065
0.0,85.0,0.03208644
0.0,86.0,0.028621403
0.0,87.0,0.029309473
0.0,88.0,0.033172542
0.0,89.0,0.036057502
0.0,90.0,0.037668142
0.0,91.0,0.03229317
0.0,92.0,0.027877793
0.0,93.0,0.029867952
0.0,94.0,0.025100826
0.0,95.0,0.01988013
0.0,96.0,0.023413048
0.0,97.0,0.0136011
0.0,98.0,0.011018521
0.0,99.0,0.013598014
0.0,100.0,0.003801494
1.0,0.0,-0.07947973
1.0,1.0,-0.039753682
1.0,2.0,-0.02825087
1.0,3.0,-0.035017411
1.0,4.0,-0.061034501
1.0,5.0,-0.067378327
1.0,6.0,-0.079300769
1.0,7.0,-0.087662524
1.0,8.0,-0.097940385
1.0,9.0,-0.105789944
1.0,10.0,-0.110035617
1.0,11.0,-0.122572078
1.0,12.0,-0.131344206
1.0,13.0,-0.137962643
1.0,14.0,-0.139931203
1.0,15.0,-0.151245799
1.0,16.0,-0.156093148
1.0,17.0,-0.152322645
1.0,18.0,-0.147277822
1.0,19.0,-0.158672641
1.0,20.0,-0.16339657
1.0,21.0,-0.15896268
1.0,22.0,-0.145040822
1.0,23.0,-0.140779721
1.0,24.0,-0.132976445
1.0,25.0,-0.12282509
1.0,26.0,-0.110732944
1.0,27.0,-0.100683411
1.0,28.0,-0.089881012
1.0,29.0,-0.07930694
1.0,30.0,-0.05406123
1.0,31.0,-0.041481572
1.0,32.0,-0.03224353
1.0,33.0,-0.015442883
1.0,34.0,0.002789444
1.0,35.0,0.018136812
1.0,36.0,0.03185194
1.0,37.0,0.045857108
1.0,38.0,0.066116621
1.0,39.0,0.081133838
1.0,40.0,0.105839583
1.0,41.0,0.119992855
1.0,42.0,0.137071199
1.0,43.0,0.137135995
1.0,44.0,0.142622046
1.0,45.0,0.146469687
1.0,46.0,0.151955739
1.0,47.0,0.159456634
1.0,48.0,0.165248152
1.0,49.0,0.170737289
1.0,50.0,0.175504414
1.0,51.0,0.180438158
1.0,52.0,0.174387457
1.0,53.0,0.173535854
1.0,54.0,0.170262119
1.0,55.0,0.16086363
1.0,56.0,0.164467515
1.0,57.0,0.164319411
1.0,58.0,0.158561833
1.0,59.0,0.150807926
1.0,60.0,0.145908123
1.0,61.0,0.142196245
1.0,62.0,0.124633475
1.0,63.0,0.104170317
1.0,64.0,0.091241996
1.0,65.0,0.078865982
1.0,66.0,0.076027305
1.0,67.0,0.061337153
1.0,68.0,0.049124672
1.0,69.0,0.037449071
1.0,70.0,0.028118463
1.0,71.0,0.027893221
1.0,72.0,0.026159159
1.0,73.0,0.017495024
1.0,74.0,0.015526463
1.0,75.0,0.01344991
1.0,76.0,0.007368353
1.0,77.0,0.004137815
1.0,78.0,0.005807081
1.0,79.0,0.013770803
1.0,80.0,0.012271242
1.0,81.0,0.009349256
1.0,82.0,0.00276476
1.0,83.0,-0.008463441
1.0,84.0,-0.007630351
1.0,85.0,-0.0091114
1.0,86.0,-0.005168108
1.0,87.0,-0.0019098
1.0,88.0,-0.015887198
1.0,89.0,-0.01759349
1.0,90.0,-0.022502549
1.0,91.0,-0.021879275
1.0,92.0,-0.020034135
1.0,93.0,-0.008954039
1.0,94.0,-0.006485624
1.0,95.0,0.001681743
1.0,96.0,0.002727734
1.0,97.0,-0.000879237
1.0,98.0,-0.000419495
1.0,99.0,-0.002471365
1.0,100.0,-0.010074082
2.0,0.0,-0.112809498
2.0,1.0,-0.070001017
2.0,2.0,-0.05209884
2.0,3.0,-0.063799126
2.0,4.0,-0.085030577
2.0,5.0,-0.087539103
2.0,6.0,-0.098930837
2.0,7.0,-0.10722471
2.0,8.0,-0.114673151
2.0,9.0,-0.128900476
2.0,10.0,-0.134093403
2.0,11.0,-0.143889923
2.0,12.0,-0.154516448
2.0,13.0,-0.155392735
2.0,14.0,-0.146327483
2.0,15.0,-0.160952839
2.0,16.0,-0.176917311
2.0,17.0,-0.175760241
2.0,18.0,-0.162313553
2.0,19.0,-0.162668387
2.0,20.0,-0.177423336
2.0,21.0,-0.169410245
2.0,22.0,-0.158629444
2.0,23.0,-0.149740066
2.0,24.0,-0.147796189
2.0,25.0,-0.129156574
2.0,26.0,-0.119248974
2.0,27.0,-0.110523129
2.0,28.0,-0.093737909
2.0,29.0,-0.08097312
2.0,30.0,-0.06605464
2.0,31.0,-0.052796168
2.0,32.0,-0.035069865
2.0,33.0,-0.017639772
2.0,34.0,-0.003807394
2.0,35.0,0.005902732
2.0,36.0,0.01583193
2.0,37.0,0.048729725
2.0,38.0,0.064527579
2.0,39.0,0.080269893
2.0,40.0,0.099523527
2.0,41.0,0.117654032
2.0,42.0,0.127058692
2.0,43.0,0.131705482
2.0,44.0,0.137358152
2.0,45.0,0.14782423
2.0,46.0,0.162875388
2.0,47.0,0.165130902
2.0,48.0,0.167784448
2.0,49.0,0.173242729
2.0,50.0,0.171598148
2.0,51.0,0.172616369
2.0,52.0,0.182159877
2.0,53.0,0.184026616
2.0,54.0,0.172252278
2.0,55.0,0.176695424
2.0,56.0,0.184171635
2.0,57.0,0.179120642
2.0,58.0,0.168432406
2.0,59.0,0.156704351
2.0,60.0,0.139157009
2.0,61.0,0.118912924
2.0,62.0,0.102707782
2.0,63.0,0.093463569
2.0,64.0,0.087431381
2.0,65.0,0.087971347
2.0,66.0,0.076369798
2.0,67.0,0.070945457
2.0,68.0,0.057174789
2.0,69.0,0.059547552
2.0,70.0,0.049183297
2.0,71.0,0.035205899
2.0,72.0,0.032577037
2.0,73.0,0.030355464
2.0,74.0,0.023752455
2.0,75.0,0.014989583
2.0,76.0,0.004875254
2.0,77.0,0.015295049
2.0,78.0,0.013977533
2.0,79.0,0.012897602
2.0,80.0,0.013209239
2.0,81.0,0.014042329
2.0,82.0,0.02086441
2.0,83.0,0.025017517
2.0,84.0,0.021734526
2.0,85.0,0.020339872
2.0,86.0,0.011552316
2.0,87.0,0.009941675
2.0,88.0,0.010327365
2.0,89.0,0.004594472
2.0,90.0,-0.000817527
2.0,91.0,-0.006534992
2.0,92.0,-0.015594074
2.0,93.0,-0.007682805
2.0,94.0,-0.002094931
2.0,95.0,-0.009117571
2.0,96.0,-0.013705737
2.0,97.0,-0.018870894
2.0,98.0,-0.016149467
2.0,99.0,-0.008500467
2.0,100.0,-0.011613755
3.0,0.0,-0.113935712
3.0,1.0,-0.054166138
3.0,2.0,-0.03063289
3.0,3.0,-0.037158761
3.0,4.0,-0.069380828
3.0,5.0,-0.08374083
3.0,6.0,-0.100708095
3.0,7.0,-0.114204152
3.0,8.0,-0.131226956
3.0,9.0,-0.142254599
3.0,10.0,-0.159533501
3.0,11.0,-0.170459321
3.0,12.0,-0.188558971
3.0,13.0,-0.192579401
3.0,14.0,-0.192860184
3.0,15.0,-0.187130376
3.0,16.0,-0.185822116
3.0,17.0,-0.191468615
3.0,18.0,-0.184455232
3.0,19.0,-0.181366628
3.0,20.0,-0.181314174
3.0,21.0,-0.177117869
3.0,22.0,-0.177259803
3.0,23.0,-0.174470495
3.0,24.0,-0.167188672
3.0,25.0,-0.1602154
3.0,26.0,-0.145087104
3.0,27.0,-0.131007885
3.0,28.0,-0.121313186
3.0,29.0,-0.105657266
3.0,30.0,-0.081312527
3.0,31.0,-0.068063312
3.0,32.0,-0.063472061
3.0,33.0,-0.053055351
3.0,34.0,-0.028053397
3.0,35.0,-0.013736592
3.0,36.0,0.010460042
3.0,37.0,0.029651966
3.0,38.0,0.04033403
3.0,39.0,0.053857857
3.0,40.0,0.069445895
3.0,41.0,0.097289612
3.0,42.0,0.117783624
3.0,43.0,0.130937188
3.0,44.0,0.140844788
3.0,45.0,0.148527728
3.0,46.0,0.163427696
3.0,47.0,0.177278587
3.0,48.0,0.180367191
3.0,49.0,0.193570124
3.0,50.0,0.195230132
3.0,51.0,0.206498445
3.0,52.0,0.209367977
3.0,53.0,0.207522837
3.0,54.0,0.205887513
3.0,55.0,0.198149033
3.0,56.0,0.194181056
3.0,57.0,0.178626959
3.0,58.0,0.164800751
3.0,59.0,0.152255034
3.0,60.0,0.138978049
3.0,61.0,0.122057067
3.0,62.0,0.111603331
3.0,63.0,0.105913635
3.0,64.0,0.097777124
3.0,65.0,0.089350573
3.0,66.0,0.075851431
3.0,67.0,0.064435013
3.0,68.0,0.057097651
3.0,69.0,0.04233036
3.0,70.0,0.035424971
3.0,71.0,0.03497757
3.0,72.0,0.034542512
3.0,73.0,0.031855026
3.0,74.0,0.024943465
3.0,75.0,0.02306747
3.0,76.0,0.016381152
3.0,77.0,0.014714972
3.0,78.0,0.009645466
3.0,79.0,0.008133562
3.0,80.0,0.007553484
3.0,81.0,0.000589469
3.0,82.0,0.002018064
