x,y,z
0.0,0.0,0.036190179
0.0,1.0,0.031564987
0.0,2.0,0.026338119
0.0,3.0,0.022379399
0.0,4.0,0.004344545
0.0,5.0,-0.014177821
0.0,6.0,-0.020077332
0.0,7.0,-0.028247784
0.0,8.0,-0.041277928
0.0,9.0,-0.052095755
0.0,10.0,-0.066915499
0.0,11.0,-0.088190148
0.0,12.0,-0.099834893
0.0,13.0,-0.102590261
0.0,14.0,-0.106431732
0.0,15.0,-0.114176382
0.0,16.0,-0.118789232
0.0,17.0,-0.119912361
0.0,18.0,-0.114633039
0.0,19.0,-0.104540309
0.0,20.0,-0.103778186
0.0,21.0,-0.097141236
0.0,22.0,-0.080065978
0.0,23.0,-0.073743751
0.0,24.0,-0.066483527
0.0,25.0,-0.058118687
0.0,26.0,-0.050037714
0.0,27.0,-0.035184029
0.0,28.0,-0.023496086
0.0,29.0,-0.010722041
0.0,30.0,-0.001317381
0.0,31.0,0.015643713
0.0,32.0,0.019605518
0.0,33.0,0.02071322
0.0,34.0,0.03687825
0.0,35.0,0.057116164
0.0,36.0,0.081306627
0.0,37.0,0.09682987
0.0,38.0,0.111464483
0.0,39.0,0.124985224
0.0,40.0,0.13669168
0.0,41.0,0.153591064
0.0,42.0,0.167661027
0.0,43.0,0.173316782
0.0,44.0,0.184770226
0.0,45.0,0.194538976
0.0,46.0,0.199059261
0.0,47.0,0.197223377
0.0,48.0,0.199580713
0.0,49.0,0.207599975
0.0,50.0,0.2000096
0.0,51.0,0.20581346
0.0,52.0,0.209920285
0.0,53.0,0.210207238
0.0,54.0,0.210815085
0.0,55.0,0.21262937
0.0,56.0,0.202731027
0.0,57.0,0.199608483
0.0,58.0,0.188229092
0.0,59.0,0.178164131
0.0,60.0,0.166877305
0.0,61.0,0.153504669
0.0,62.0,0.13803388
0.0,63.0,0.127607914
0.0,64.0,0.118999318
0.0,65.0,0.108036472
0.0,66.0,0.104525152
0.0,67.0,0.080488965
0.0,68.0,0.072046987
0.0,69.0,0.061722843
0.0,70.0,0.05495013
0.0,71.0,0.052469373
0.0,72.0,0.051633198
0.0,73.0,0.052635991
0.0,74.0,0.050025643
0.0,75.0,0.044872828
0.0,76.0,0.049976275
0.0,77.0,0.057440143
0.0,78.0,0.048911771
0.0,79.0,0.054336112
0.0,80.0,0.044419256
0.0,81.0,0.045033274
0.0,82.0,0.045486846
0.0,83.0,0.037322564
0.0,84.0,0.033854442
0.0,85.0,0.043256016
0.0,86.0,0.045835509
0.0,87.0,0.047637452
0.0,88.0,0.057048283
0.0,89.0,0.058427509
0.0,90.0,0.055477754
0.0,91.0,0.060624398
0.0,92.0,0.050775424
0.0,93.0,0.049547388
0.0,94.0,0.0432807
0.0,95.0,0.043826837
0.0,96.0,0.046967894
0.0,97.0,0.040707378
0.0,98.0,0.035625529
0.0,99.0,0.031382942
0.0,100.0,0.031953763
1.0,0.0,-0.114580585
1.0,1.0,-0.05983732
1.0,2.0,-0.02995099
1.0,3.0,-0.042530648
1.0,4.0,-0.056838197
1.0,5.0,-0.071738164
1.0,6.0,-0.072549655
1.0,7.0,-0.089473723
1.0,8.0,-0.10496611
1.0,9.0,-0.116795987
1.0,10.0,-0.122837432
1.0,11.0,-0.135901516
1.0,12.0,-0.145917109
1.0,13.0,-0.165217025
1.0,14.0,-0.170807985
1.0,15.0,-0.166417292
1.0,16.0,-0.166037773
1.0,17.0,-0.166667219
1.0,18.0,-0.167901426
1.0,19.0,-0.162325895
1.0,20.0,-0.157756242
1.0,21.0,-0.159351455
1.0,22.0,-0.154056706
1.0,23.0,-0.147549348
1.0,24.0,-0.145855398
1.0,25.0,-0.138021268
1.0,26.0,-0.117928373
1.0,27.0,-0.107391328
1.0,28.0,-0.092904819
1.0,29.0,-0.081843237
1.0,30.0,-0.057683629
1.0,31.0,-0.040207253
1.0,32.0,-0.026350191
1.0,33.0,-0.00926259
1.0,34.0,-0.000135627
1.0,35.0,0.019559236
1.0,36.0,0.035224412
1.0,37.0,0.041941585
1.0,38.0,0.05548701
1.0,39.0,0.072364795
1.0,40.0,0.092540999
1.0,41.0,0.11656793
1.0,42.0,0.133831405
1.0,43.0,0.147129988
1.0,44.0,0.152134699
1.0,45.0,0.159876264
1.0,46.0,0.172900237
1.0,47.0,0.181292846
1.0,48.0,0.187806376
1.0,49.0,0.191601563
1.0,50.0,0.189580549
1.0,51.0,0.192274206
1.0,52.0,0.201126558
1.0,53.0,0.197254232
1.0,54.0,0.193638005
1.0,55.0,0.177664277
1.0,56.0,0.173835149
1.0,57.0,0.164266957
1.0,58.0,0.158099006
1.0,59.0,0.144831277
1.0,60.0,0.134436166
1.0,61.0,0.123717076
1.0,62.0,0.116345773
1.0,63.0,0.113735424
1.0,64.0,0.108070413
1.0,65.0,0.098446681
1.0,66.0,0.092537914
1.0,67.0,0.076733889
1.0,68.0,0.07388287
1.0,69.0,0.062827458
1.0,70.0,0.056458949
1.0,71.0,0.048763666
1.0,72.0,0.040565444
1.0,73.0,0.036868993
1.0,74.0,0.036918361
1.0,75.0,0.041805822
1.0,76.0,0.032268485
1.0,77.0,0.030642417
1.0,78.0,0.051787474
1.0,79.0,0.046236627
1.0,80.0,0.033653883
1.0,81.0,0.035813746
1.0,82.0,0.034656677
1.0,83.0,0.026020311
1.0,84.0,0.034249388
1.0,85.0,0.038016806
1.0,86.0,0.03277451
1.0,87.0,0.025597595
1.0,88.0,0.029892636
1.0,89.0,0.032931872
1.0,90.0,0.035412629
1.0,91.0,0.039362092
1.0,92.0,0.033348417
1.0,93.0,0.02297799
1.0,94.0,0.022616984
1.0,95.0,0.019185888
1.0,96.0,0.022629326
1.0,97.0,0.020901436
1.0,98.0,0.007849694
1.0,99.0,-0.001326637
1.0,100.0,-0.00604748
2.0,0.0,-0.128844936
2.0,1.0,-0.079828393
2.0,2.0,-0.065520845
2.0,3.0,-0.082198071
2.0,4.0,-0.101467133
2.0,5.0,-0.122399289
2.0,6.0,-0.123115129
2.0,7.0,-0.130184051
2.0,8.0,-0.141199351
2.0,9.0,-0.154189383
2.0,10.0,-0.157842637
2.0,11.0,-0.167376888
2.0,12.0,-0.170607426
2.0,13.0,-0.167885999
2.0,14.0,-0.180518111
2.0,15.0,-0.194480081
2.0,16.0,-0.201342273
2.0,17.0,-0.201002866
2.0,18.0,-0.197713704
2.0,19.0,-0.189740725
2.0,20.0,-0.186689147
2.0,21.0,-0.192045607
2.0,22.0,-0.173436846
2.0,23.0,-0.157753157
2.0,24.0,-0.161711877
2.0,25.0,-0.152634282
2.0,26.0,-0.139992914
2.0,27.0,-0.127789689
2.0,28.0,-0.112522545
2.0,29.0,-0.101164752
2.0,30.0,-0.076323244
2.0,31.0,-0.050494371
2.0,32.0,-0.032308326
2.0,33.0,-0.011126243
2.0,34.0,0.011617112
2.0,35.0,0.03431727
2.0,36.0,0.052901346
2.0,37.0,0.063734601
2.0,38.0,0.076851139
2.0,39.0,0.095925813
2.0,40.0,0.119638021
2.0,41.0,0.133454971
2.0,42.0,0.136157885
2.0,43.0,0.144778823
2.0,44.0,0.151462056
2.0,45.0,0.157309113
2.0,46.0,0.163723905
2.0,47.0,0.166800167
2.0,48.0,0.179854995
2.0,49.0,0.183992675
2.0,50.0,0.182394377
2.0,51.0,0.179531016
2.0,52.0,0.185550862
2.0,53.0,0.18473937
2.0,54.0,0.179345884
2.0,55.0,0.17175551
2.0,56.0,0.161872595
2.0,57.0,0.153862589
2.0,58.0,0.154334673
2.0,59.0,0.147154672
2.0,60.0,0.135806136
2.0,61.0,0.12511173
2.0,62.0,0.125697978
2.0,63.0,0.119502258
2.0,64.0,0.103806226
2.0,65.0,0.093355576
2.0,66.0,0.077946498
2.0,67.0,0.06450598
2.0,68.0,0.063586496
2.0,69.0,0.05495013
2.0,70.0,0.051040779
2.0,71.0,0.046375475
2.0,72.0,0.03985886
2.0,73.0,0.034622736
2.0,74.0,0.03482638
2.0,75.0,0.032027815
2.0,76.0,0.014295342
2.0,77.0,0.013434482
2.0,78.0,0.005893475
2.0,79.0,0.00363179
2.0,80.0,0.020222622
2.0,81.0,0.020204109
2.0,82.0,0.027226749
2.0,83.0,0.02205542
2.0,84.0,0.028319022
2.0,85.0,0.020886009
2.0,86.0,0.012240386
2.0,87.0,0.006526007
2.0,88.0,-2.95e-06
2.0,89.0,0.001570664
2.0,90.0,-0.000265219
2.0,91.0,0.000993672
2.0,92.0,0.005202319
2.0,93.0,-0.006177072
2.0,94.0,-0.002107274
2.0,95.0,-0.009577313
2.0,96.0,-0.022132287
2.0,97.0,-0.021638604
2.0,98.0,-0.015100391
2.0,99.0,-0.016269802
2.0,100.0,-0.006636814
3.0,0.0,-0.126206818
3.0,1.0,-0.083120641
3.0,2.0,-0.071824559
3.0,3.0,-0.091136818
3.0,4.0,-0.108261444
3.0,5.0,-0.131137476
3.0,6.0,-0.139764585
3.0,7.0,-0.136672896
3.0,8.0,-0.164516613
3.0,9.0,-0.186639779
3.0,10.0,-0.192468323
3.0,11.0,-0.194464653
3.0,12.0,-0.216378004
3.0,13.0,-0.219395641
3.0,14.0,-0.222478073
3.0,15.0,-0.216393431
3.0,16.0,-0.217896079
3.0,17.0,-0.211401063
3.0,18.0,-0.204362996
3.0,19.0,-0.199941448
3.0,20.0,-0.200475243
3.0,21.0,-0.188179452
3.0,22.0,-0.178898213
3.0,23.0,-0.175281986
3.0,24.0,-0.168833253
3.0,25.0,-0.163982818
3.0,26.0,-0.15357228
3.0,27.0,-0.13714498
3.0,28.0,-0.102824761
3.0,29.0,-0.088609778
3.0,30.0,-0.06807874
3.0,31.0,-0.042715779
3.0,32.0,-0.023184449
3.0,33.0,-0.011181783
3.0,34.0,-0.005979599
3.0,35.0,0.009117842
3.0,36.0,0.03077818
3.0,37.0,0.04690927
3.0,38.0,0.062099276
3.0,39.0,0.086727883
3.0,40.0,0.088773581
3.0,41.0,0.111976679
3.0,42.0,0.131316707
3.0,43.0,0.137814809
3.0,44.0,0.151974252
3.0,45.0,0.154097089
3.0,46.0,0.173036
3.0,47.0,0.189383075
3.0,48.0,0.194060721
3.0,49.0,0.197346798
3.0,50.0,0.192730863
3.0,51.0,0.193381907
3.0,52.0,0.190567914
3.0,53.0,0.199552944
3.0,54.0,0.201752918
3.0,55.0,0.200108337
3.0,56.0,0.188864708
3.0,57.0,0.173764182
3.0,58.0,0.169172931
3.0,59.0,0.154714192
3.0,60.0,0.139042845
3.0,61.0,0.12133197
3.0,62.0,0.116703693
3.0,63.0,0.116999902
3.0,64.0,0.119647277
3.0,65.0,0.106851633
3.0,66.0,0.090415077
3.0,67.0,0.076968388
3.0,68.0,0.056597797
3.0,69.0,0.051725764
3.0,70.0,0.044598216
3.0,71.0,0.04539428
3.0,72.0,0.046113206
3.0,73.0,0.049189468
3.0,74.0,0.039309638
3.0,75.0,0.037661971
3.0,76.0,0.031080561
3.0,77.0,0.022879253
3.0,78.0,0.020827384
3.0,79.0,0.022114045
3.0,80.0,0.030161076
3.0,81.0,0.028201772
3.0,82.0,0.020731733
3.0,83.0,0.018747744
3.0,84.0,0.018522502
3.0,85.0,0.015992377
3.0,86.0,0.008543935
3.0,87.0,0.00517455
3.0,88.0,0.004174842
3.0,89.0,0.007497945
3.0,90.0,0.008016312
3.0,91.0,0.008522337
3.0,92.0,0.010342793
3.0,93.0,0.004242723
3.0,94.0,0.005717601
3.0,95.0,-0.009222479
3.0,96.0,-0.017905127
3.0,97.0,-0.021490499
3.0,98.0,-0.023847835
3.0,99.0,-0.016852965
3.0,100.0,-0.019083795
4.0,0.0,-0.129992749
4.0,1.0,-0.069402427
4.0,2.0,-0.063475146
4.0,3.0,-0.087437281
4.0,4.0,-0.112936004
4.0,5.0,-0.118199898
4.0,6.0,-0.119745743
4.0,7.0,-0.130415465
4.0,8.0,-0.141865823
4.0,9.0,-0.161594627
4.0,10.0,-0.16896593
4.0,11.0,-0.183952292
4.0,12.0,-0.196436299
4.0,13.0,-0.195917932
4.0,14.0,-0.204690061
4.0,15.0,-0.205038724
4.0,16.0,-0.219420325
4.0,17.0,-0.231858049
4.0,18.0,-0.229833949
4.0,19.0,-0.225890657
4.0,20.0,-0.215862722
4.0,21.0,-0.213715202
4.0,22.0,-0.20459441
4.0,23.0,-0.197784671
4.0,24.0,-0.190542959
4.0,25.0,-0.173677517
4.0,26.0,-0.169761994
4.0,27.0,-0.151690113
4.0,28.0,-0.131029483
4.0,29.0,-0.110671234
4.0,30.0,-0.091414514
4.0,31.0,-0.069686295
4.0,32.0,-0.046384461
4.0,33.0,-0.023820066
4.0,34.0,0.003443574
4.0,35.0,0.019077895
4.0,36.0,0.035338576
4.0,37.0,0.058331858
4.0,38.0,0.080917852
4.0,39.0,0.092031889
4.0,40.0,0.114904836
4.0,41.0,0.14368655
4.0,42.0,0.147793375
4.0,43.0,0.159808383
4.0,44.0,0.166979127
4.0,45.0,0.178858373
4.0,46.0,0.183748919
4.0,47.0,0.189740995
4.0,48.0,0.20369988
4.0,49.0,0.206449077
4.0,50.0,0.209408089
4.0,51.0,0.196711181
4.0,52.0,0.194748792
4.0,53.0,0.191530596
4.0,54.0,0.189410845
