Timestamp,Flow (SLPM),Total Flow (NCM),Temperature (°C),Battery
2025-10-01 08:47:15,15.20,0.015,25.0,100% (Good)
2025-10-01 08:47:16,13.03,0.028,25.0,100% (Good)
2025-10-01 10:51:48,5.89,0.006,25.0,100% (Good)
2025-10-01 10:51:49,8.02,0.014,25.0,100% (Good)
2025-10-01 10:51:50,1.19,0.015,25.0,100% (Good)
2025-10-01 10:51:51,3.49,0.019,25.0,100% (Good)
2025-10-01 10:51:53,10.64,0.029,25.0,100% (Good)
2025-10-01 10:51:56,14.08,0.014,25.0,100% (Good)
2025-10-01 10:51:57,18.87,0.033,25.0,100% (Good)
2025-10-01 10:51:58,3.59,0.037,25.0,100% (Good)
2025-10-01 10:51:59,3.90,0.040,25.0,100% (Good)
2025-10-01 10:52:00,12.98,0.053,25.0,100% (Good)
2025-10-01 10:52:01,1.33,0.055,27.3,100% (Good)
2025-10-01 10:52:02,12.19,0.067,27.3,100% (Good)
2025-10-01 10:52:03,11.28,0.078,27.3,100% (Good)
2025-10-01 10:52:04,8.11,0.086,27.3,100% (Good)
2025-10-01 10:52:05,19.16,0.105,27.3,100% (Good)
2025-10-01 10:52:06,4.73,0.110,29.9,100% (Good)
2025-10-01 10:52:07,19.51,0.130,29.9,100% (Good)
2025-10-01 10:52:08,8.34,0.138,29.9,100% (Good)
2025-10-01 10:52:09,16.05,0.154,29.9,100% (Good)
2025-10-01 10:52:10,7.12,0.161,29.9,100% (Good)
2025-10-01 10:52:11,13.15,0.174,20.3,100% (Good)
2025-10-01 10:52:12,6.37,0.181,20.3,100% (Good)
2025-10-01 10:52:13,14.99,0.196,20.3,100% (Good)
2025-10-01 10:52:14,18.81,0.215,20.3,100% (Good)
2025-10-01 10:52:15,12.42,0.227,20.3,100% (Good)
2025-10-01 10:52:16,3.01,0.230,26.7,100% (Good)
2025-10-01 10:52:17,9.81,0.240,26.7,100% (Good)
2025-10-01 10:52:18,6.09,0.246,26.7,100% (Good)
2025-10-01 10:52:19,7.36,0.253,26.7,100% (Good)
2025-10-01 10:52:20,13.85,0.267,26.7,100% (Good)
2025-10-01 10:52:21,8.73,0.276,24.9,100% (Good)
2025-10-01 10:52:22,4.43,0.280,24.9,100% (Good)
2025-10-01 10:52:23,8.70,0.289,24.9,100% (Good)
2025-10-01 10:52:24,16.67,0.306,24.9,100% (Good)
2025-10-01 10:52:25,14.11,0.320,24.9,100% (Good)
2025-10-01 10:52:26,17.30,0.337,24.5,100% (Good)
2025-10-01 11:00:03,2.62,0.003,23.1,100% (Good)
