Timestamp,Flow (SLPM),Total (NCM),Temperature (°C),Battery
2025-12-01 08:54:48,4.66,0.005,24.1,100% (Good)
2025-12-01 08:54:49,5.66,0.010,24.1,100% (Good)
2025-12-01 08:54:50,5.70,0.016,24.1,100% (Good)
2025-12-01 08:54:51,5.94,0.022,24.1,100% (Good)
2025-12-01 08:54:52,5.85,0.028,24.1,100% (Good)
2025-12-01 08:54:53,5.90,0.034,24.7,100% (Good)
2025-12-01 08:54:54,5.62,0.039,24.7,100% (Good)
2025-12-01 08:54:55,5.94,0.045,24.7,100% (Good)
2025-12-01 08:54:56,5.68,0.051,24.7,100% (Good)
2025-12-01 08:54:57,0.00,0.000,25.0,N/A
2025-12-01 08:54:58,0.00,0.000,25.0,N/A
2025-12-01 08:54:59,0.00,0.000,25.0,N/A
2025-12-01 08:55:00,0.00,0.000,25.0,N/A
2025-12-01 08:55:01,0.00,0.000,25.0,N/A
2025-12-01 08:55:02,0.00,0.000,25.0,N/A
2025-12-01 08:55:03,0.00,0.000,25.0,N/A
2025-12-01 08:55:04,0.00,0.000,25.0,N/A
2025-12-01 08:55:05,0.00,0.000,25.0,N/A
2025-12-01 08:55:06,0.00,0.000,25.0,N/A
2025-12-01 08:55:07,0.00,0.000,25.0,N/A
2025-12-01 08:55:08,0.00,0.000,25.0,N/A
2025-12-01 08:55:09,0.00,0.000,25.0,N/A
2025-12-01 08:55:10,0.00,0.000,25.0,N/A
2025-12-01 08:55:11,0.00,0.000,25.0,N/A
2025-12-01 08:55:12,0.00,0.000,25.0,N/A
2025-12-01 08:55:13,0.00,0.000,25.0,N/A
2025-12-01 08:55:14,0.00,0.000,25.0,N/A
2025-12-01 08:55:15,0.00,0.000,25.0,N/A
2025-12-01 08:55:16,0.00,0.000,25.0,N/A
2025-12-01 08:55:17,0.00,0.000,25.0,N/A
2025-12-01 08:55:18,0.00,0.000,25.0,N/A
2025-12-01 08:55:19,0.00,0.000,25.0,N/A
2025-12-01 08:55:20,0.00,0.000,25.0,N/A
2025-12-01 08:55:22,0.00,0.000,25.0,N/A
2025-12-01 08:55:23,0.00,0.000,25.0,N/A
2025-12-01 08:55:24,0.00,0.000,25.0,N/A
2025-12-01 08:55:25,0.00,0.000,25.0,N/A
2025-12-01 08:55:26,0.00,0.000,25.0,N/A
2025-12-01 08:55:27,0.00,0.000,25.0,N/A
2025-12-01 08:55:28,0.00,0.000,25.0,N/A
2025-12-01 08:55:29,0.00,0.000,25.0,N/A
2025-12-01 08:55:30,0.00,0.000,25.0,N/A
2025-12-01 08:55:31,0.00,0.000,25.0,N/A
2025-12-01 08:55:32,0.00,0.000,25.0,N/A
2025-12-01 08:55:33,0.00,0.000,25.0,N/A
2025-12-01 08:55:34,0.00,0.000,25.0,N/A
2025-12-01 08:55:35,0.00,0.000,25.0,N/A
2025-12-01 08:55:36,0.00,0.000,25.0,N/A
2025-12-01 08:55:37,0.00,0.000,25.0,N/A
2025-12-01 08:55:38,0.00,0.000,25.0,N/A
2025-12-01 08:55:39,0.00,0.000,25.0,N/A
2025-12-01 08:55:40,0.00,0.000,25.0,N/A
2025-12-01 08:55:41,0.00,0.000,25.0,N/A
2025-12-01 08:55:42,0.00,0.000,25.0,N/A
2025-12-01 08:55:43,0.00,0.000,25.0,N/A
2025-12-01 08:55:44,0.00,0.000,25.0,N/A
2025-12-01 08:55:46,0.00,0.000,25.0,N/A
2025-12-01 08:55:47,0.00,0.000,25.0,N/A
2025-12-01 08:55:48,0.00,0.000,25.0,N/A
2025-12-01 08:55:49,0.00,0.000,25.0,N/A
2025-12-01 08:55:50,0.00,0.000,25.0,N/A
2025-12-01 08:55:51,0.00,0.000,25.0,N/A
2025-12-01 08:55:52,0.00,0.000,25.0,N/A
2025-12-01 08:55:53,0.00,0.000,25.0,N/A
2025-12-01 08:55:54,0.00,0.000,25.0,N/A
2025-12-01 08:55:55,0.00,0.000,25.0,N/A
2025-12-01 08:55:56,0.00,0.000,25.0,N/A
2025-12-01 08:56:10,0.00,0.000,25.0,N/A
2025-12-01 08:56:11,0.00,0.000,25.0,N/A
2025-12-01 08:56:12,0.00,0.000,25.0,N/A
2025-12-01 08:56:13,0.00,0.000,25.0,N/A
2025-12-01 08:56:14,0.00,0.000,25.0,N/A
2025-12-01 08:56:15,0.00,0.000,25.0,N/A
2025-12-01 08:56:16,0.00,0.000,25.0,N/A
2025-12-01 08:56:17,0.00,0.000,25.0,N/A
2025-12-01 08:56:18,0.00,0.000,25.0,N/A
2025-12-01 08:56:20,0.00,0.000,25.0,N/A
2025-12-01 08:56:21,0.00,0.000,25.0,N/A
2025-12-01 08:56:22,0.00,0.000,25.0,N/A
2025-12-01 08:56:23,0.00,0.000,25.0,N/A
2025-12-01 08:56:24,0.00,0.000,25.0,N/A
2025-12-01 08:56:25,0.00,0.000,25.0,N/A
2025-12-01 09:59:50,5.63,0.006,23.4,100% (Good)
2025-12-01 09:59:51,4.67,0.010,23.4,100% (Good)
2025-12-01 09:59:52,5.19,0.015,23.4,100% (Good)
2025-12-01 09:59:53,4.82,0.020,23.4,100% (Good)
2025-12-01 09:59:54,0.00,0.000,25.0,N/A
2025-12-01 09:59:55,0.00,0.000,25.0,N/A
2025-12-01 09:59:56,0.00,0.000,25.0,N/A
2025-12-01 09:59:57,0.00,0.000,25.0,N/A
2025-12-01 09:59:58,0.00,0.000,25.0,N/A
2025-12-01 09:59:59,0.00,0.000,25.0,N/A
2025-12-01 10:00:00,0.00,0.000,25.0,N/A
2025-12-01 10:00:01,0.00,0.000,25.0,N/A
2025-12-01 10:00:02,0.00,0.000,25.0,N/A
2025-12-01 10:00:03,0.00,0.000,25.0,N/A
2025-12-01 10:00:04,0.00,0.000,25.0,N/A
2025-12-01 10:00:05,0.00,0.000,25.0,N/A
2025-12-01 10:00:06,0.00,0.000,25.0,N/A
2025-12-01 10:00:07,0.00,0.000,25.0,N/A
2025-12-01 10:00:08,0.00,0.000,25.0,N/A
2025-12-01 10:00:09,0.00,0.000,25.0,N/A
2025-12-01 10:00:10,0.00,0.000,25.0,N/A
2025-12-01 10:00:11,0.00,0.000,25.0,N/A
2025-12-01 10:00:12,0.00,0.000,25.0,N/A
2025-12-01 10:00:13,0.00,0.000,25.0,N/A
2025-12-01 10:00:14,0.00,0.000,25.0,N/A
2025-12-01 10:00:15,0.00,0.000,25.0,N/A
2025-12-01 10:00:16,0.00,0.000,25.0,N/A
2025-12-01 10:00:17,0.00,0.000,25.0,N/A
2025-12-01 10:00:18,0.00,0.000,25.0,N/A
2025-12-01 10:00:19,0.00,0.000,25.0,N/A
2025-12-01 10:00:20,0.00,0.000,25.0,N/A
2025-12-01 10:00:21,0.00,0.000,25.0,N/A
2025-12-01 10:00:22,0.00,0.000,25.0,N/A
2025-12-01 10:00:23,0.00,0.000,25.0,N/A
2025-12-01 10:00:24,0.00,0.000,25.0,N/A
2025-12-01 10:00:25,0.00,0.000,25.0,N/A
2025-12-01 10:00:26,0.00,0.000,25.0,N/A
2025-12-01 10:00:27,0.00,0.000,25.0,N/A
2025-12-01 10:00:28,0.00,0.000,25.0,N/A
2025-12-01 10:00:29,0.00,0.000,25.0,N/A
2025-12-01 10:00:30,0.00,0.000,25.0,N/A
2025-12-01 10:00:31,0.00,0.000,25.0,N/A
2025-12-01 10:00:32,0.00,0.000,25.0,N/A
2025-12-01 10:00:33,0.00,0.000,25.0,N/A
2025-12-01 10:00:34,0.00,0.000,25.0,N/A
2025-12-01 10:00:35,0.00,0.000,25.0,N/A
2025-12-01 10:00:36,0.00,0.000,25.0,N/A
2025-12-01 10:00:38,0.00,0.000,25.0,N/A
2025-12-01 10:00:39,0.00,0.000,25.0,N/A
2025-12-01 10:00:40,0.00,0.000,25.0,N/A
2025-12-01 10:00:41,0.00,0.000,25.0,N/A
2025-12-01 10:00:42,0.00,0.000,25.0,N/A
2025-12-01 10:00:43,0.00,0.000,25.0,N/A
2025-12-01 10:00:44,0.00,0.000,25.0,N/A
2025-12-01 10:00:45,0.00,0.000,25.0,N/A
2025-12-01 10:00:46,0.00,0.000,25.0,N/A
2025-12-01 10:00:47,0.00,0.000,25.0,N/A
2025-12-01 10:00:48,0.00,0.000,25.0,N/A
2025-12-01 10:00:49,0.00,0.000,25.0,N/A
