Timestamp,Flow (SLPM),Total (NCM),Temperature (°C)
2025-12-03 08:31:29,4.67,0.005,23.9
2025-12-03 08:31:30,5.63,0.010,23.9
2025-12-03 08:31:31,5.05,0.015,23.9
2025-12-03 08:31:32,5.58,0.021,23.9
2025-12-03 08:31:34,0.00,0.000,25.0
2025-12-03 08:31:35,0.00,0.000,25.0
2025-12-03 08:31:36,0.00,0.000,25.0
2025-12-03 08:31:37,0.00,0.000,25.0
2025-12-03 08:31:38,0.00,0.000,25.0
2025-12-03 08:31:39,0.00,0.000,25.0
2025-12-03 08:31:40,0.00,0.000,25.0
2025-12-03 08:31:41,0.00,0.000,25.0
2025-12-03 08:31:42,0.00,0.000,25.0
2025-12-03 08:31:43,0.00,0.000,25.0
2025-12-03 08:31:44,0.00,0.000,25.0
2025-12-03 08:31:45,0.00,0.000,25.0
2025-12-03 08:31:46,0.00,0.000,25.0
2025-12-03 08:31:47,0.00,0.000,25.0
2025-12-03 08:31:48,0.00,0.000,25.0
2025-12-03 08:31:49,0.00,0.000,25.0
2025-12-03 08:31:51,0.00,0.000,25.0
2025-12-03 08:31:52,0.00,0.000,25.0
2025-12-03 08:31:53,0.00,0.000,25.0
2025-12-03 08:31:54,0.00,0.000,25.0
2025-12-03 08:31:55,0.00,0.000,25.0
2025-12-03 08:31:56,0.00,0.000,25.0
2025-12-03 08:31:57,0.00,0.000,25.0
2025-12-03 08:31:58,0.00,0.000,25.0
2025-12-03 08:32:00,0.00,0.000,25.0
2025-12-03 08:32:01,0.00,0.000,25.0
2025-12-03 08:32:02,0.00,0.000,25.0
2025-12-03 08:32:03,0.00,0.000,25.0
2025-12-03 08:32:04,0.00,0.000,25.0
2025-12-03 08:32:05,0.00,0.000,25.0
2025-12-03 08:32:06,0.00,0.000,25.0
2025-12-03 08:32:07,0.00,0.000,25.0
2025-12-03 08:32:09,0.00,0.000,25.0
2025-12-03 08:32:10,0.00,0.000,25.0
2025-12-03 08:32:11,0.00,0.000,25.0
2025-12-03 08:32:12,0.00,0.000,25.0
2025-12-03 08:32:13,0.00,0.000,25.0
2025-12-03 08:32:14,0.00,0.000,25.0
2025-12-03 08:32:15,0.00,0.000,25.0
2025-12-03 08:32:16,0.00,0.000,25.0
2025-12-03 08:32:18,0.00,0.000,25.0
2025-12-03 08:32:19,0.00,0.000,25.0
2025-12-03 08:32:20,0.00,0.000,25.0
2025-12-03 08:32:21,0.00,0.000,25.0
2025-12-03 08:32:22,0.00,0.000,25.0
2025-12-03 08:32:23,0.00,0.000,25.0
2025-12-03 08:32:24,0.00,0.000,25.0
2025-12-03 08:32:26,0.00,0.000,25.0
2025-12-03 08:32:27,0.00,0.000,25.0
2025-12-03 08:32:28,0.00,0.000,25.0
2025-12-03 08:32:29,0.00,0.000,25.0
2025-12-03 08:32:30,0.00,0.000,25.0
2025-12-03 08:32:31,0.00,0.000,25.0
2025-12-03 08:32:32,0.00,0.000,25.0
2025-12-03 08:32:33,0.00,0.000,25.0
2025-12-03 08:32:35,0.00,0.000,25.0
