Timestamp,Flow (SLPM),Total (NCM)
2026-01-16 08:09:37,0.00,0.000
2026-01-16 08:09:38,0.00,0.000
2026-01-16 08:09:39,0.00,0.000
2026-01-16 08:09:40,0.00,0.000
2026-01-16 08:09:41,0.00,0.000
2026-01-16 08:09:42,0.00,0.000
2026-01-16 08:09:43,0.00,0.000
2026-01-16 08:35:00,0.00,0.000
2026-01-16 08:35:01,0.00,0.000
2026-01-16 08:35:02,0.00,0.000
2026-01-16 08:35:03,0.00,0.000
2026-01-16 08:35:04,0.00,0.000
2026-01-16 08:35:05,0.00,0.000
2026-01-16 08:35:29,0.00,0.000
2026-01-16 08:35:30,0.00,0.000
2026-01-16 08:35:31,0.00,0.000
2026-01-16 08:35:32,0.00,0.000
2026-01-16 08:35:33,0.00,0.000
2026-01-16 08:35:34,0.00,0.000
2026-01-16 08:35:35,0.00,0.000
2026-01-16 08:35:36,0.00,0.000
2026-01-16 08:35:37,0.00,0.000
2026-01-16 08:35:38,0.00,0.000
2026-01-16 08:35:39,0.00,0.000
2026-01-16 08:35:40,0.00,0.000
2026-01-16 08:35:41,0.00,0.000
2026-01-16 08:35:42,0.00,0.000
2026-01-16 08:35:43,0.00,0.000
2026-01-16 08:35:44,0.00,0.000
2026-01-16 08:38:36,0.00,0.000
2026-01-16 08:38:37,0.00,0.000
2026-01-16 08:38:38,0.00,0.000
2026-01-16 08:38:39,0.00,0.000
2026-01-16 08:38:40,0.00,0.000
2026-01-16 08:38:41,0.00,0.000
2026-01-16 08:38:42,0.00,0.000
2026-01-16 08:38:43,0.00,0.000
2026-01-16 08:38:44,0.00,0.000
2026-01-16 08:38:45,0.00,0.000
2026-01-16 08:38:46,0.00,0.000
2026-01-16 08:38:47,0.00,0.000
2026-01-16 08:38:49,0.00,0.000
2026-01-16 08:38:50,0.00,0.000
2026-01-16 08:38:51,0.00,0.000
2026-01-16 08:38:52,0.00,0.000
2026-01-16 08:38:53,0.00,0.000
2026-01-16 08:38:54,0.00,0.000
2026-01-16 08:38:55,0.00,0.000
2026-01-16 08:38:56,0.00,0.000
2026-01-16 08:38:57,0.00,0.000
2026-01-16 08:38:58,0.00,0.000
2026-01-16 08:38:59,0.00,0.000
2026-01-16 08:39:00,0.00,0.000
2026-01-16 08:39:01,0.00,0.000
2026-01-16 08:39:02,0.00,0.000
2026-01-16 08:39:03,0.00,0.000
2026-01-16 08:39:04,0.00,0.000
2026-01-16 08:39:05,0.00,0.000
2026-01-16 08:39:06,0.00,0.000
2026-01-16 08:39:07,0.00,0.000
2026-01-16 08:39:08,0.00,0.000
2026-01-16 08:39:09,0.00,0.000
2026-01-16 08:39:10,0.00,0.000
2026-01-16 08:39:11,0.00,0.000
2026-01-16 08:39:12,0.00,0.000
2026-01-16 08:39:13,0.00,0.000
2026-01-16 08:39:14,0.00,0.000
2026-01-16 08:39:15,0.00,0.000
2026-01-16 08:39:16,0.00,0.000
2026-01-16 08:39:18,0.00,0.000
2026-01-16 08:39:19,0.00,0.000
2026-01-16 08:39:20,0.00,0.000
2026-01-16 08:39:21,0.00,0.000
2026-01-16 08:39:22,0.00,0.000
2026-01-16 08:39:23,0.00,0.000
2026-01-16 08:39:24,0.00,0.000
2026-01-16 08:39:25,0.00,0.000
2026-01-16 08:39:58,0.00,0.000
2026-01-16 08:39:59,0.00,0.000
2026-01-16 08:40:00,0.00,0.000
2026-01-16 08:40:01,0.00,0.000
2026-01-16 08:40:02,0.00,0.000
2026-01-16 08:40:03,0.00,0.000
2026-01-16 08:40:04,0.00,0.000
2026-01-16 08:40:05,0.00,0.000
2026-01-16 08:40:06,0.00,0.000
2026-01-16 08:40:08,0.00,0.000
2026-01-16 08:40:09,0.00,0.000
2026-01-16 08:40:10,0.00,0.000
2026-01-16 08:40:11,0.00,0.000
2026-01-16 08:40:12,0.00,0.000
2026-01-16 08:40:13,0.00,0.000
2026-01-16 08:40:14,0.00,0.000
2026-01-16 08:40:15,0.00,0.000
2026-01-16 08:40:16,0.00,0.000
2026-01-16 08:40:17,0.00,0.000
